nb_cycle_retour,moy_cycle_retour,dist_perturb,jour_perturb,propor_utilisa_retour
22,16,2.0,1,52.92397660818714
0,0,2.0,1,0.0
22,16,2.0,1,52.92397660818714
0,0,2.0,1,0.0
22,16,2.0,1,52.92397660818714
22,16,2.0,1,52.85087719298246
23,16,2.0,1,52.85087719298246
23,16,2.0,1,52.85087719298246
23,16,2.0,1,52.85087719298246
23,16,2.0,1,52.85087719298246
23,16,2.0,1,52.85087719298246
23,16,2.0,1,52.85087719298246
23,16,2.0,1,52.85087719298246
23,16,2.0,1,52.85087719298246
23,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
25,16,2.0,1,52.85087719298246
25,16,2.0,1,52.85087719298246
0,0,2.0,1,0.0
23,16,2.0,1,52.85087719298246
23,16,2.0,1,52.85087719298246
23,16,2.0,1,52.85087719298246
23,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
23,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
0,0,2.0,2,0.0
22,16,2.0,2,52.85087719298246
24,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
23,16,2.0,2,52.85087719298246
23,16,2.0,1,52.85087719298246
23,16,2.0,2,52.85087719298246
23,16,2.0,1,52.85087719298246
25,16,2.0,1,52.85087719298246
23,16,2.0,2,52.85087719298246
24,16,2.0,1,52.85087719298246
23,16,2.0,2,52.85087719298246
23,16,2.0,2,52.85087719298246
25,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
24,16,2.0,1,52.85087719298246
23,16,2.0,2,52.85087719298246
24,16,2.0,1,52.85087719298246
24,16,2.0,2,52.85087719298246
24,16,2.0,1,52.85087719298246
24,16,2.0,2,52.92397660818714
24,16,2.0,2,52.85087719298246
25,16,2.0,1,52.85087719298246
24,16,2.0,2,52.85087719298246
25,16,2.0,1,52.85087719298246
24,16,2.0,2,52.85087719298246
23,16,2.0,2,52.92397660818714
23,16,2.0,2,52.85087719298246
23,16,2.0,2,52.85087719298246
0,0,2.0,2,0.0
23,16,2.0,2,52.85087719298246
23,16,2.0,2,52.85087719298246
23,16,2.0,2,52.85087719298246
23,16,2.0,2,52.85087719298246
24,16,2.0,2,52.85087719298246
22,15,2.0,2,52.85087719298246
24,16,2.0,2,52.85087719298246
23,15,2.0,2,52.85087719298246
23,15,2.0,2,52.85087719298246
23,15,2.0,2,52.85087719298246
23,16,2.0,2,52.85087719298246
23,15,2.0,2,52.85087719298246
24,16,2.0,2,52.85087719298246
24,15,2.0,2,52.85087719298246
24,16,2.0,2,52.85087719298246
23,16,2.0,2,52.92397660818714
23,15,2.0,2,52.85087719298246
23,16,2.0,2,52.92397660818714
24,16,2.0,2,52.85087719298246
23,15,2.0,2,52.85087719298246
24,15,2.0,2,52.85087719298246
24,16,2.0,2,52.85087719298246
25,16,2.0,2,52.85087719298246
24,15,2.0,2,52.85087719298246
24,15,2.0,2,52.85087719298246
25,16,2.0,2,52.85087719298246
23,16,2.0,3,52.92397660818714
0,0,2.0,3,0.0
23,16,2.0,3,52.92397660818714
24,16,2.0,3,52.92397660818714
22,16,2.0,3,52.85087719298246
23,16,2.0,3,52.85087719298246
24,16,2.0,3,52.92397660818714
23,16,2.0,3,52.85087719298246
0,0,2.0,3,0.0
23,16,2.0,3,52.85087719298246
23,16,2.0,3,52.85087719298246
22,16,2.0,3,52.85087719298246
22,16,2.0,3,52.85087719298246
23,16,2.0,3,52.85087719298246
23,16,2.0,3,52.85087719298246
23,16,2.0,3,52.85087719298246
23,16,2.0,3,52.85087719298246
24,16,2.0,3,52.85087719298246
23,16,2.0,3,52.85087719298246
23,16,2.0,3,52.85087719298246
24,16,2.0,3,52.85087719298246
22,16,2.0,3,52.85087719298246
23,16,2.0,3,52.85087719298246
24,16,2.0,3,52.85087719298246
21,16,2.0,3,52.85087719298246
23,16,2.0,3,52.85087719298246
23,16,2.0,3,52.85087719298246
22,16,2.0,3,52.85087719298246
24,16,2.0,3,52.85087719298246
23,16,2.0,3,52.85087719298246
23,16,2.0,3,52.85087719298246
24,16,2.0,3,52.85087719298246
24,16,2.0,3,52.85087719298246
24,16,2.0,3,52.85087719298246
24,16,2.0,3,52.92397660818714
24,16,2.0,3,52.85087719298246
23,16,2.0,3,52.85087719298246
24,16,2.0,3,52.92397660818714
23,16,2.0,3,52.85087719298246
23,16,2.0,4,52.92397660818714
23,16,2.0,3,52.85087719298246
23,16,2.0,3,52.92397660818714
23,16,2.0,4,52.92397660818714
0,0,2.0,4,0.0
24,16,2.0,3,52.85087719298246
22,16,2.0,4,52.85087719298246
23,16,2.0,4,52.92397660818714
24,16,2.0,3,52.85087719298246
24,16,2.0,3,52.92397660818714
23,16,2.0,4,52.85087719298246
24,16,2.0,3,52.85087719298246
23,16,2.0,4,52.92397660818714
24,16,2.0,3,52.85087719298246
24,16,2.0,3,52.85087719298246
24,16,2.0,3,52.85087719298246
23,16,2.0,4,52.85087719298246
24,16,2.0,4,52.92397660818714
24,16,2.0,3,52.85087719298246
23,16,2.0,4,52.85087719298246
24,16,2.0,4,52.92397660818714
25,16,2.0,3,52.85087719298246
25,16,2.0,3,52.85087719298246
24,16,2.0,4,52.92397660818714
23,16,2.0,4,52.92397660818714
23,16,2.0,4,52.92397660818714
24,16,2.0,4,52.92397660818714
25,16,2.0,4,52.92397660818714
24,16,2.0,4,52.92397660818714
25,16,2.0,4,52.92397660818714
23,16,2.0,4,52.85087719298246
23,16,2.0,4,52.85087719298246
0,0,2.0,4,0.0
24,16,2.0,4,52.85087719298246
24,16,2.0,4,52.85087719298246
24,16,2.0,4,52.85087719298246
24,16,2.0,4,52.85087719298246
25,16,2.0,4,52.85087719298246
23,16,2.0,4,52.85087719298246
24,16,2.0,4,52.85087719298246
24,16,2.0,4,52.85087719298246
22,16,2.0,4,52.85087719298246
24,16,2.0,4,52.85087719298246
22,16,2.0,4,52.85087719298246
0,0,2.0,4,0.0
24,16,2.0,4,52.85087719298246
23,16,2.0,4,52.85087719298246
23,16,2.0,4,52.85087719298246
24,16,2.0,4,52.85087719298246
23,16,2.0,4,52.92397660818714
23,16,2.0,4,52.85087719298246
24,16,2.0,4,52.85087719298246
24,16,2.0,4,52.92397660818714
25,16,2.0,4,52.85087719298246
24,16,2.0,4,52.92397660818714
23,16,2.0,4,52.92397660818714
24,16,2.0,4,52.92397660818714
24,16,2.0,4,52.92397660818714
24,16,2.0,4,52.92397660818714
24,16,2.0,4,52.92397660818714
24,16,2.0,4,52.92397660818714
24,16,2.0,4,52.92397660818714
24,16,2.0,4,52.85087719298246
25,16,2.0,4,52.85087719298246
24,16,2.0,4,52.92397660818714
25,16,2.0,4,52.92397660818714
24,16,2.0,4,52.85087719298246
25,16,2.0,4,52.92397660818714
24,16,2.0,4,52.85087719298246
23,16,4.0,1,52.85087719298246
23,16,4.0,1,52.85087719298246
24,16,4.0,1,52.85087719298246
24,16,4.0,1,52.85087719298246
24,16,4.0,1,52.85087719298246
22,16,4.0,1,52.92397660818714
24,16,4.0,1,52.85087719298246
0,0,4.0,1,0.0
22,16,4.0,1,52.85087719298246
23,16,4.0,1,52.85087719298246
23,16,4.0,1,52.85087719298246
23,16,4.0,1,52.85087719298246
23,16,4.0,1,52.85087719298246
0,0,4.0,1,0.0
24,16,4.0,1,52.85087719298246
23,16,4.0,1,52.85087719298246
23,16,4.0,1,52.85087719298246
23,16,4.0,1,52.85087719298246
22,16,4.0,1,52.92397660818714
24,16,4.0,1,52.92397660818714
22,16,4.0,1,52.92397660818714
24,16,4.0,1,52.92397660818714
23,16,4.0,1,52.92397660818714
24,16,4.0,1,52.92397660818714
23,16,4.0,1,52.92397660818714
23,16,4.0,1,52.92397660818714
24,16,4.0,1,52.85087719298246
0,0,4.0,1,0.0
24,16,4.0,1,52.85087719298246
23,16,4.0,1,52.92397660818714
24,16,4.0,1,52.92397660818714
24,16,4.0,1,52.92397660818714
0,0,4.0,1,0.0
22,16,4.0,1,52.85087719298246
22,16,4.0,1,52.85087719298246
23,16,4.0,1,52.85087719298246
23,16,4.0,1,52.85087719298246
23,16,4.0,1,52.85087719298246
23,16,4.0,1,52.85087719298246
24,16,4.0,1,52.85087719298246
24,16,4.0,1,52.85087719298246
24,16,4.0,1,52.92397660818714
24,16,4.0,1,52.92397660818714
0,0,4.0,1,0.0
23,16,4.0,1,52.92397660818714
23,16,4.0,1,52.92397660818714
23,16,4.0,1,52.92397660818714
23,16,4.0,1,52.92397660818714
23,16,4.0,1,52.92397660818714
24,16,4.0,1,52.92397660818714
24,16,4.0,1,52.85087719298246
23,16,4.0,2,52.85087719298246
23,16,4.0,2,52.85087719298246
23,16,4.0,2,52.85087719298246
24,16,4.0,2,52.85087719298246
23,16,4.0,2,52.85087719298246
24,16,4.0,2,52.85087719298246
22,16,4.0,2,52.92397660818714
23,16,4.0,2,52.85087719298246
23,16,4.0,2,52.85087719298246
24,16,4.0,2,52.85087719298246
24,16,4.0,2,52.85087719298246
24,16,4.0,2,52.85087719298246
0,0,4.0,2,0.0
24,16,4.0,2,52.85087719298246
22,16,4.0,2,52.85087719298246
24,16,4.0,2,52.85087719298246
22,16,4.0,2,52.92397660818714
22,16,4.0,2,52.92397660818714
22,16,4.0,2,52.92397660818714
23,16,4.0,2,52.92397660818714
23,16,4.0,2,52.85087719298246
23,16,4.0,2,52.92397660818714
23,16,4.0,2,52.85087719298246
23,16,4.0,2,52.85087719298246
23,16,4.0,2,52.92397660818714
23,16,4.0,2,52.92397660818714
23,16,4.0,2,52.85087719298246
24,16,4.0,2,52.85087719298246
24,16,4.0,2,52.92397660818714
24,16,4.0,2,52.92397660818714
24,16,4.0,2,52.92397660818714
24,16,4.0,2,52.92397660818714
24,16,4.0,2,52.92397660818714
24,16,4.0,2,52.92397660818714
25,16,4.0,2,52.92397660818714
23,16,4.0,2,52.85087719298246
24,16,4.0,2,52.85087719298246
22,16,4.0,3,52.92397660818714
23,16,4.0,3,52.92397660818714
22,16,4.0,3,52.92397660818714
23,16,4.0,3,52.92397660818714
23,16,4.0,3,52.85087719298246
22,16,4.0,3,52.92397660818714
23,16,4.0,3,52.85087719298246
24,16,4.0,3,52.85087719298246
23,16,4.0,3,52.92397660818714
24,16,4.0,3,52.92397660818714
22,16,4.0,3,52.85087719298246
22,16,4.0,3,52.85087719298246
22,16,4.0,3,52.85087719298246
22,16,4.0,3,52.85087719298246
23,16,4.0,3,52.85087719298246
23,16,4.0,3,52.85087719298246
23,16,4.0,3,52.85087719298246
23,16,4.0,3,52.85087719298246
23,16,4.0,3,52.85087719298246
23,16,4.0,3,52.85087719298246
0,0,4.0,3,0.0
24,16,4.0,3,52.85087719298246
24,16,4.0,3,52.85087719298246
23,16,4.0,3,52.85087719298246
23,16,4.0,3,52.85087719298246
24,16,4.0,3,52.85087719298246
24,16,4.0,3,52.85087719298246
0,0,4.0,3,0.0
24,16,4.0,3,52.85087719298246
24,16,4.0,3,52.85087719298246
24,16,4.0,3,52.85087719298246
24,16,4.0,3,52.85087719298246
24,16,4.0,3,52.85087719298246
25,16,4.0,3,52.85087719298246
25,16,4.0,3,52.85087719298246
23,16,4.0,3,52.85087719298246
0,0,4.0,3,0.0
23,16,4.0,3,52.92397660818714
23,16,4.0,3,52.92397660818714
23,16,4.0,3,52.92397660818714
24,16,4.0,3,52.92397660818714
24,16,4.0,3,52.92397660818714
0,0,4.0,3,0.0
24,16,4.0,3,52.92397660818714
22,16,4.0,3,52.85087719298246
24,16,4.0,3,52.92397660818714
24,16,4.0,3,52.92397660818714
24,16,4.0,3,52.92397660818714
23,16,4.0,3,52.85087719298246
23,16,4.0,3,52.85087719298246
