nb_cycle_aller,moy_cycle_aller,d_eau,propor_utilisa_aller
59,31,20.0,44.88304093567251
59,31,20.0,44.88304093567251
63,30,20.0,46.271929824561404
63,31,20.0,45.687134502923975
63,31,20.0,45.687134502923975
65,31,20.0,45.97953216374269
63,31,20.0,45.687134502923975
65,31,20.0,45.97953216374269
63,31,20.0,45.687134502923975
63,31,20.0,45.687134502923975
65,31,20.0,45.97953216374269
63,31,20.0,45.687134502923975
65,31,20.0,45.97953216374269
66,32,20.0,46.05263157894737
66,32,20.0,46.05263157894737
66,32,20.0,46.05263157894737
66,32,20.0,46.05263157894737
66,32,20.0,46.05263157894737
66,32,20.0,46.05263157894737
66,32,20.0,46.05263157894737
73,32,20.0,46.41812865497076
73,32,20.0,46.41812865497076
73,32,20.0,46.41812865497076
73,32,20.0,46.41812865497076
73,32,20.0,46.41812865497076
73,32,20.0,46.41812865497076
73,32,20.0,46.41812865497076
71,31,20.0,44.590643274853804
73,32,20.0,46.41812865497076
71,31,20.0,44.590643274853804
73,32,20.0,46.41812865497076
71,31,20.0,44.590643274853804
73,32,20.0,46.41812865497076
73,32,20.0,46.41812865497076
73,32,20.0,46.41812865497076
73,32,20.0,46.41812865497076
73,32,20.0,46.41812865497076
73,32,20.0,46.41812865497076
75,32,20.0,44.73684210526316
75,32,20.0,44.73684210526316
75,32,20.0,44.73684210526316
75,32,20.0,44.73684210526316
75,32,20.0,44.73684210526316
75,32,20.0,44.73684210526316
74,31,20.0,45.760233918128655
74,31,20.0,45.760233918128655
74,31,20.0,45.760233918128655
74,31,20.0,45.760233918128655
74,31,20.0,45.760233918128655
74,31,20.0,45.760233918128655
73,32,20.0,44.95614035087719
73,32,20.0,44.95614035087719
73,32,20.0,44.95614035087719
73,32,20.0,44.95614035087719
73,32,20.0,44.95614035087719
73,32,20.0,44.95614035087719
73,32,20.0,44.95614035087719
73,32,20.0,44.95614035087719
73,32,20.0,44.95614035087719
73,32,20.0,44.95614035087719
73,32,20.0,44.95614035087719
73,32,20.0,44.95614035087719
73,32,20.0,44.95614035087719
58,30,20.0,44.590643274853804
58,30,20.0,44.590643274853804
58,30,20.0,44.590643274853804
58,30,20.0,44.590643274853804
62,31,20.0,45.248538011695906
62,31,20.0,45.248538011695906
62,31,20.0,45.248538011695906
62,31,20.0,45.248538011695906
62,31,20.0,45.248538011695906
62,31,20.0,45.248538011695906
62,31,20.0,45.248538011695906
56,31,20.0,45.39473684210527
62,31,20.0,45.248538011695906
62,31,20.0,45.248538011695906
56,31,20.0,45.39473684210527
62,31,20.0,45.248538011695906
56,31,20.0,45.39473684210527
56,31,20.0,45.39473684210527
62,31,20.0,45.248538011695906
62,31,20.0,45.248538011695906
56,31,20.0,45.39473684210527
62,31,20.0,45.248538011695906
56,31,20.0,45.39473684210527
62,31,20.0,45.248538011695906
56,31,20.0,45.39473684210527
56,31,20.0,45.39473684210527
62,31,20.0,45.248538011695906
56,31,20.0,45.39473684210527
56,31,20.0,45.39473684210527
56,31,20.0,45.39473684210527
56,31,20.0,45.39473684210527
56,31,20.0,45.39473684210527
56,31,20.0,45.39473684210527
56,31,20.0,45.39473684210527
56,31,20.0,45.39473684210527
56,31,20.0,45.39473684210527
56,31,20.0,45.39473684210527
56,31,20.0,45.39473684210527
56,31,20.0,45.39473684210527
63,32,20.0,46.12573099415205
56,31,20.0,45.39473684210527
63,32,20.0,46.12573099415205
56,31,20.0,45.39473684210527
63,32,20.0,46.12573099415205
56,31,20.0,45.39473684210527
63,32,20.0,46.12573099415205
56,31,20.0,45.39473684210527
63,32,20.0,46.12573099415205
56,31,20.0,45.39473684210527
