nb_cycle_retour,moy_cycle_retour,d_eau,propor_utilisa_retour
28,19,10.0,59.06432748538012
29,19,10.0,59.06432748538012
29,19,10.0,59.06432748538012
29,19,10.0,58.260233918128655
29,19,10.0,59.06432748538012
29,19,10.0,58.260233918128655
29,19,10.0,59.06432748538012
29,19,10.0,58.260233918128655
30,19,10.0,58.260233918128655
30,19,10.0,59.06432748538012
0,0,10.0,0.0
30,19,10.0,58.260233918128655
30,19,10.0,59.06432748538012
30,19,10.0,58.260233918128655
30,19,10.0,59.06432748538012
30,19,10.0,57.675438596491226
30,20,10.0,58.69883040935673
30,19,10.0,59.06432748538012
30,20,10.0,58.69883040935673
30,19,10.0,58.260233918128655
30,19,10.0,57.675438596491226
31,19,10.0,58.260233918128655
31,20,10.0,58.69883040935673
31,19,10.0,57.675438596491226
31,19,10.0,59.06432748538012
31,19,10.0,57.675438596491226
31,19,10.0,59.06432748538012
31,20,10.0,58.55263157894737
31,19,10.0,58.260233918128655
31,20,10.0,58.69883040935673
31,19,10.0,59.06432748538012
31,20,10.0,58.55263157894737
31,19,10.0,57.675438596491226
31,20,10.0,58.69883040935673
31,19,10.0,58.260233918128655
31,20,10.0,58.55263157894737
31,19,10.0,57.675438596491226
31,19,10.0,58.260233918128655
31,19,10.0,59.06432748538012
31,20,10.0,58.69883040935673
32,19,10.0,57.675438596491226
32,19,10.0,59.06432748538012
32,20,10.0,58.69883040935673
32,19,10.0,58.187134502923975
32,20,10.0,58.55263157894737
32,19,10.0,59.06432748538012
32,19,10.0,57.675438596491226
32,20,10.0,58.55263157894737
32,19,10.0,58.187134502923975
32,20,10.0,58.69883040935673
32,19,10.0,59.06432748538012
32,19,10.0,57.675438596491226
32,19,10.0,58.187134502923975
32,20,10.0,58.69883040935673
32,20,10.0,58.55263157894737
32,20,10.0,58.55263157894737
32,19,10.0,59.06432748538012
32,19,10.0,57.675438596491226
32,20,10.0,58.69883040935673
32,19,10.0,58.187134502923975
33,19,10.0,59.06432748538012
33,20,10.0,58.55263157894737
33,19,10.0,58.187134502923975
33,19,10.0,57.675438596491226
33,20,10.0,58.69883040935673
33,19,10.0,59.06432748538012
33,19,10.0,57.675438596491226
33,20,10.0,58.55263157894737
33,19,10.0,58.187134502923975
33,20,10.0,58.69883040935673
33,19,10.0,59.06432748538012
33,19,10.0,58.187134502923975
33,20,10.0,58.55263157894737
33,20,10.0,58.69883040935673
33,19,10.0,57.675438596491226
33,19,10.0,58.187134502923975
33,20,10.0,58.55263157894737
33,19,10.0,57.675438596491226
33,20,10.0,58.69883040935673
33,19,10.0,59.06432748538012
34,19,10.0,59.06432748538012
34,19,10.0,57.675438596491226
34,20,10.0,58.55263157894737
34,19,10.0,58.187134502923975
34,20,10.0,58.69883040935673
34,19,10.0,57.675438596491226
34,19,10.0,59.06432748538012
34,20,10.0,58.55263157894737
34,19,10.0,58.187134502923975
34,20,10.0,58.69883040935673
34,19,10.0,58.187134502923975
34,19,10.0,58.62573099415205
34,20,10.0,58.55263157894737
34,19,10.0,57.675438596491226
34,19,10.0,59.06432748538012
34,20,10.0,58.69883040935673
34,20,10.0,58.91812865497076
34,19,10.0,58.62573099415205
34,19,10.0,57.675438596491226
34,20,10.0,58.69883040935673
34,19,10.0,59.06432748538012
34,19,10.0,58.187134502923975
34,20,10.0,58.55263157894737
35,20,10.0,58.55263157894737
35,20,10.0,58.91812865497076
35,19,10.0,58.77192982456141
35,19,10.0,58.77192982456141
35,20,10.0,58.69883040935673
35,19,10.0,59.06432748538012
35,19,10.0,57.675438596491226
35,19,10.0,59.06432748538012
