nb_cycle_aller,moy_cycle_aller,d_res_soc,jour_res_soc,nbr_elmt_res_soc,propor_utilisa_aller
66,32,75.0,4,5,80.55555555555556
66,32,75.0,4,5,80.55555555555556
66,32,75.0,4,5,80.55555555555556
66,32,75.0,4,5,80.55555555555556
66,32,75.0,4,5,80.55555555555556
65,31,75.0,2,5,80.55555555555556
65,31,75.0,2,5,80.55555555555556
66,32,75.0,4,5,80.55555555555556
65,31,75.0,2,5,80.55555555555556
66,32,75.0,4,5,80.55555555555556
65,31,75.0,2,5,80.55555555555556
66,32,75.0,4,5,80.55555555555556
65,31,75.0,2,5,80.55555555555556
66,32,75.0,4,5,80.55555555555556
66,32,75.0,4,5,80.55555555555556
65,31,75.0,2,5,80.55555555555556
66,32,75.0,4,5,80.55555555555556
65,31,75.0,2,5,80.55555555555556
65,31,75.0,2,5,80.55555555555556
65,31,75.0,2,5,80.55555555555556
65,31,75.0,2,5,80.55555555555556
65,31,75.0,2,5,80.55555555555556
65,31,75.0,2,5,80.55555555555556
65,31,75.0,2,5,80.55555555555556
65,31,75.0,2,5,80.55555555555556
67,33,75.0,6,5,80.55555555555556
69,31,75.0,2,5,81.35964912280701
65,31,75.0,2,5,80.55555555555556
67,33,75.0,6,5,80.55555555555556
69,32,75.0,6,5,81.35964912280701
69,32,75.0,4,5,81.35964912280701
69,31,75.0,2,5,81.35964912280701
69,31,75.0,2,5,81.35964912280701
69,32,75.0,6,5,81.35964912280701
69,32,75.0,4,5,81.35964912280701
69,32,75.0,4,5,81.35964912280701
69,31,75.0,2,5,81.35964912280701
69,32,75.0,6,5,81.35964912280701
69,32,75.0,4,5,81.35964912280701
69,32,75.0,6,5,81.35964912280701
69,31,75.0,2,5,81.35964912280701
69,32,75.0,6,5,81.35964912280701
72,31,75.0,4,5,78.80116959064327
69,31,75.0,2,5,81.35964912280701
69,32,75.0,4,5,81.35964912280701
71,31,75.0,2,5,78.80116959064327
69,32,75.0,6,5,81.35964912280701
72,31,75.0,4,5,78.80116959064327
69,31,75.0,2,5,81.35964912280701
69,32,75.0,4,5,81.35964912280701
69,32,75.0,6,5,81.35964912280701
71,31,75.0,2,5,78.80116959064327
69,32,75.0,4,5,81.35964912280701
69,31,75.0,2,5,81.35964912280701
72,31,75.0,4,5,78.80116959064327
71,31,75.0,2,5,78.80116959064327
69,32,75.0,4,5,81.35964912280701
69,31,75.0,2,5,81.35964912280701
69,32,75.0,6,5,81.35964912280701
69,32,75.0,4,5,81.35964912280701
69,32,75.0,6,5,81.35964912280701
69,31,75.0,2,5,81.35964912280701
69,32,75.0,4,5,81.35964912280701
69,32,75.0,6,5,81.35964912280701
69,32,75.0,6,5,81.35964912280701
69,32,75.0,4,5,81.35964912280701
69,32,75.0,6,5,81.35964912280701
69,32,75.0,4,5,81.35964912280701
69,32,75.0,6,5,81.35964912280701
