nb_cycle_aller,moy_cycle_aller,d_res_soc,jour_res_soc,nbr_elmt_res_soc,propor_utilisa_aller
49,29,75.0,2,5,89.03508771929825
49,29,75.0,2,5,89.03508771929825
49,29,75.0,2,5,89.03508771929825
49,29,75.0,2,5,89.03508771929825
49,29,75.0,2,5,89.03508771929825
49,29,75.0,2,5,89.03508771929825
49,30,75.0,4,5,89.03508771929825
49,29,75.0,2,5,89.03508771929825
49,30,75.0,4,5,89.03508771929825
49,30,75.0,4,5,89.03508771929825
49,29,75.0,2,5,89.03508771929825
49,29,75.0,2,5,89.03508771929825
49,30,75.0,4,5,89.03508771929825
49,29,75.0,2,5,89.03508771929825
49,29,75.0,2,5,89.03508771929825
49,30,75.0,4,5,89.03508771929825
49,30,75.0,4,5,89.03508771929825
49,30,75.0,4,5,89.03508771929825
49,30,75.0,4,5,89.03508771929825
49,30,75.0,4,5,89.03508771929825
49,30,75.0,4,5,89.03508771929825
52,31,75.0,6,5,89.03508771929825
52,31,75.0,6,5,89.03508771929825
52,31,75.0,6,5,89.03508771929825
52,31,75.0,6,5,89.03508771929825
52,31,75.0,6,5,89.03508771929825
52,31,75.0,6,5,89.03508771929825
50,30,92.0,2,5,88.30409356725146
50,30,92.0,2,5,88.30409356725146
50,30,92.0,2,5,88.30409356725146
51,31,92.0,4,5,88.30409356725146
50,30,92.0,2,5,88.30409356725146
51,31,92.0,4,5,88.30409356725146
50,30,92.0,2,5,88.30409356725146
52,31,75.0,6,5,89.03508771929825
50,30,92.0,2,5,88.30409356725146
51,31,92.0,4,5,88.30409356725146
50,30,92.0,2,5,88.30409356725146
51,31,92.0,4,5,88.30409356725146
51,31,92.0,4,5,88.30409356725146
50,30,92.0,2,5,88.30409356725146
51,31,92.0,4,5,88.30409356725146
51,31,92.0,4,5,88.30409356725146
51,31,92.0,4,5,88.30409356725146
51,31,92.0,4,5,88.30409356725146
51,31,92.0,4,5,88.30409356725146
51,31,92.0,4,5,88.30409356725146
51,31,92.0,4,5,88.30409356725146
51,31,92.0,4,5,88.30409356725146
54,32,92.0,6,5,88.30409356725146
54,32,92.0,6,5,88.30409356725146
54,32,92.0,6,5,88.30409356725146
54,32,92.0,6,5,88.30409356725146
52,30,109.0,2,5,89.40058479532163
54,32,92.0,6,5,88.30409356725146
54,32,92.0,6,5,88.30409356725146
54,32,92.0,6,5,88.30409356725146
54,32,92.0,6,5,88.30409356725146
52,30,109.0,2,5,89.40058479532163
54,32,92.0,6,5,88.30409356725146
52,30,109.0,2,5,89.40058479532163
54,32,92.0,6,5,88.30409356725146
54,32,92.0,6,5,88.30409356725146
52,30,109.0,2,5,89.40058479532163
54,32,92.0,6,5,88.30409356725146
54,32,92.0,6,5,88.30409356725146
54,32,92.0,6,5,88.30409356725146
52,30,109.0,2,5,89.40058479532163
54,32,92.0,6,5,88.30409356725146
52,30,109.0,2,5,89.40058479532163
52,30,109.0,2,5,89.40058479532163
52,30,109.0,2,5,89.40058479532163
52,30,109.0,2,5,89.40058479532163
53,31,109.0,4,5,89.40058479532163
53,31,109.0,4,5,89.40058479532163
53,31,109.0,4,5,89.40058479532163
53,31,109.0,4,5,89.40058479532163
53,31,109.0,4,5,89.40058479532163
53,31,109.0,4,5,89.40058479532163
53,31,109.0,4,5,89.40058479532163
53,31,75.0,2,7,87.71929824561403
53,31,109.0,4,5,89.40058479532163
53,31,75.0,2,7,87.71929824561403
53,31,75.0,2,7,87.71929824561403
55,32,109.0,6,5,89.40058479532163
55,32,109.0,6,5,89.40058479532163
55,32,109.0,6,5,89.40058479532163
55,32,109.0,6,5,89.40058479532163
55,32,109.0,6,5,89.40058479532163
55,32,109.0,6,5,89.40058479532163
53,31,75.0,2,7,87.71929824561403
55,32,109.0,6,5,89.40058479532163
53,31,75.0,2,7,87.71929824561403
55,32,109.0,6,5,89.40058479532163
53,31,75.0,2,7,87.71929824561403
55,32,109.0,6,5,89.40058479532163
55,32,109.0,6,5,89.40058479532163
55,32,109.0,6,5,89.40058479532163
53,31,75.0,2,7,87.71929824561403
55,32,109.0,6,5,89.40058479532163
55,32,109.0,6,5,89.40058479532163
53,31,75.0,2,7,87.71929824561403
55,32,109.0,6,5,89.40058479532163
53,31,75.0,2,7,87.71929824561403
53,31,75.0,2,7,87.71929824561403
53,31,75.0,2,7,87.71929824561403
55,32,109.0,6,5,89.40058479532163
53,31,75.0,2,7,87.71929824561403
53,31,75.0,2,7,87.71929824561403
53,31,75.0,2,7,87.71929824561403
53,31,75.0,2,7,87.71929824561403
53,32,75.0,4,7,87.71929824561403
53,32,75.0,4,7,87.71929824561403
53,32,75.0,4,7,87.71929824561403
53,32,75.0,4,7,87.71929824561403
53,32,75.0,4,7,87.71929824561403
53,32,75.0,4,7,87.71929824561403
53,32,75.0,4,7,87.71929824561403
53,32,75.0,4,7,87.71929824561403
53,33,75.0,6,7,87.79239766081871
53,33,75.0,6,7,87.79239766081871
53,33,75.0,6,7,87.79239766081871
53,33,75.0,6,7,87.79239766081871
53,33,75.0,6,7,87.79239766081871
53,33,75.0,6,7,87.79239766081871
53,33,75.0,6,7,87.79239766081871
53,33,75.0,6,7,87.79239766081871
53,33,75.0,6,7,87.79239766081871
55,31,92.0,2,7,88.74269005847954
53,33,75.0,6,7,87.79239766081871
55,31,92.0,2,7,88.74269005847954
55,31,92.0,2,7,88.74269005847954
55,31,92.0,2,7,88.74269005847954
55,31,92.0,2,7,88.74269005847954
55,31,92.0,2,7,88.74269005847954
56,32,92.0,4,7,88.74269005847954
55,31,92.0,2,7,88.74269005847954
55,31,92.0,2,7,88.74269005847954
55,31,92.0,2,7,88.74269005847954
55,31,92.0,2,7,88.74269005847954
55,31,92.0,2,7,88.74269005847954
56,32,92.0,4,7,88.74269005847954
56,32,92.0,4,7,88.74269005847954
56,32,92.0,4,7,88.74269005847954
56,32,92.0,4,7,88.74269005847954
56,32,92.0,4,7,88.74269005847954
59,33,92.0,6,7,88.74269005847954
59,33,92.0,6,7,88.74269005847954
59,33,92.0,6,7,88.74269005847954
59,33,92.0,6,7,88.74269005847954
59,33,92.0,6,7,88.74269005847954
59,33,92.0,6,7,88.74269005847954
59,33,92.0,6,7,88.74269005847954
59,33,92.0,6,7,88.74269005847954
59,33,92.0,6,7,88.74269005847954
59,33,92.0,6,7,88.74269005847954
59,33,92.0,6,7,88.74269005847954
58,31,109.0,2,7,88.74269005847954
58,31,109.0,2,7,88.74269005847954
58,31,109.0,2,7,88.74269005847954
58,31,109.0,2,7,88.74269005847954
58,31,109.0,2,7,88.74269005847954
58,31,109.0,2,7,88.74269005847954
58,31,109.0,2,7,88.74269005847954
58,31,109.0,2,7,88.74269005847954
58,31,109.0,2,7,88.74269005847954
58,31,109.0,2,7,88.74269005847954
58,31,109.0,2,7,88.74269005847954
60,32,109.0,4,7,88.74269005847954
60,32,109.0,4,7,88.74269005847954
60,32,109.0,4,7,88.74269005847954
60,32,109.0,4,7,88.74269005847954
60,32,109.0,4,7,88.74269005847954
60,32,109.0,4,7,88.74269005847954
60,32,109.0,4,7,88.74269005847954
60,32,109.0,4,7,88.74269005847954
63,33,109.0,6,7,88.74269005847954
63,33,109.0,6,7,88.74269005847954
63,33,109.0,6,7,88.74269005847954
63,33,109.0,6,7,88.74269005847954
63,33,109.0,6,7,88.74269005847954
50,32,75.0,2,9,89.546783625731
50,32,75.0,2,9,89.546783625731
50,32,75.0,2,9,89.546783625731
50,32,75.0,2,9,89.546783625731
53,33,75.0,4,9,89.546783625731
63,33,109.0,6,7,88.74269005847954
53,33,75.0,4,9,89.546783625731
63,33,109.0,6,7,88.74269005847954
63,33,109.0,6,7,88.74269005847954
63,33,109.0,6,7,88.74269005847954
63,33,109.0,6,7,88.74269005847954
63,33,109.0,6,7,88.74269005847954
63,33,109.0,6,7,88.74269005847954
53,33,75.0,4,9,89.546783625731
53,33,75.0,4,9,89.546783625731
53,33,75.0,4,9,89.546783625731
53,33,75.0,4,9,89.546783625731
53,33,75.0,4,9,89.546783625731
53,33,75.0,4,9,89.546783625731
53,33,75.0,4,9,89.546783625731
53,33,75.0,4,9,89.546783625731
53,33,75.0,4,9,89.546783625731
53,33,75.0,4,9,89.546783625731
53,33,75.0,4,9,89.546783625731
53,33,75.0,4,9,89.546783625731
53,33,75.0,4,9,89.546783625731
55,34,75.0,6,9,89.546783625731
55,34,75.0,6,9,89.546783625731
55,34,75.0,6,9,89.546783625731
55,34,75.0,6,9,89.546783625731
55,34,75.0,6,9,89.546783625731
55,34,75.0,6,9,89.546783625731
55,34,75.0,6,9,89.546783625731
55,34,75.0,6,9,89.546783625731
55,34,75.0,6,9,89.546783625731
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,32,92.0,2,9,90.8625730994152
52,33,92.0,4,9,90.8625730994152
52,33,92.0,4,9,90.8625730994152
