nb_cycle_retour,moy_cycle_retour,d_res_soc,jour_res_soc,nbr_elmt_res_soc,propor_utilisa_retour
22,15,75.0,2,5,89.69298245614034
22,15,75.0,2,5,89.69298245614034
22,15,75.0,2,5,89.69298245614034
22,15,75.0,2,5,89.69298245614034
22,15,75.0,2,5,89.69298245614034
22,15,75.0,2,5,89.69298245614034
22,16,75.0,4,5,89.69298245614034
22,15,75.0,2,5,89.69298245614034
23,16,75.0,4,5,0.0
23,16,75.0,4,5,89.69298245614034
23,15,75.0,2,5,89.69298245614034
23,15,75.0,2,5,89.69298245614034
23,16,75.0,4,5,89.69298245614034
23,15,75.0,2,5,89.69298245614034
23,15,75.0,2,5,89.69298245614034
23,16,75.0,4,5,89.69298245614034
23,16,75.0,4,5,89.69298245614034
23,16,75.0,4,5,89.69298245614034
23,16,75.0,4,5,89.69298245614034
23,16,75.0,4,5,89.69298245614034
24,16,75.0,4,5,89.69298245614034
22,16,75.0,6,5,0.0
22,16,75.0,6,5,89.69298245614034
23,16,75.0,6,5,89.69298245614034
23,16,75.0,6,5,89.69298245614034
23,16,75.0,6,5,89.69298245614034
24,16,75.0,6,5,89.69298245614034
22,16,92.0,2,5,0.0
22,16,92.0,2,5,88.88888888888889
23,16,92.0,2,5,88.96198830409357
23,16,92.0,2,5,88.96198830409357
22,16,92.0,4,5,0.0
22,16,92.0,4,5,88.96198830409357
23,16,92.0,2,5,88.96198830409357
22,16,92.0,4,5,88.96198830409357
23,15,75.0,6,5,89.69298245614034
23,16,92.0,2,5,88.96198830409357
23,16,92.0,2,5,88.96198830409357
22,16,92.0,4,5,88.96198830409357
24,16,92.0,2,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
22,16,92.0,6,5,88.96198830409357
22,16,92.0,6,5,88.96198830409357
22,16,92.0,6,5,88.96198830409357
23,16,109.0,2,5,89.8391812865497
22,16,92.0,6,5,88.96198830409357
23,16,92.0,6,5,88.96198830409357
22,15,92.0,6,5,88.96198830409357
23,16,92.0,6,5,88.96198830409357
22,15,92.0,6,5,88.96198830409357
22,16,109.0,2,5,89.8391812865497
23,16,92.0,6,5,88.96198830409357
23,16,109.0,2,5,89.8391812865497
23,16,92.0,6,5,88.96198830409357
23,16,92.0,6,5,88.96198830409357
23,16,109.0,2,5,89.8391812865497
23,16,92.0,6,5,88.96198830409357
23,16,92.0,6,5,88.96198830409357
22,16,92.0,6,5,0.0
23,16,109.0,2,5,0.0
24,16,92.0,6,5,88.96198830409357
23,16,109.0,2,5,89.8391812865497
23,16,109.0,2,5,89.8391812865497
