nb_cycle_aller,moy_cycle_aller,d_veg,propor_utilisa_aller
37,100,15.0,44.44444444444444
37,100,15.0,44.44444444444444
37,100,15.0,44.44444444444444
40,98,15.0,48.026315789473685
37,100,15.0,44.44444444444444
40,98,15.0,48.026315789473685
40,98,15.0,47.514619883040936
36,102,15.0,45.39473684210527
40,98,15.0,47.514619883040936
36,102,15.0,45.39473684210527
40,98,15.0,47.514619883040936
36,102,15.0,45.39473684210527
40,98,15.0,47.514619883040936
36,102,15.0,45.39473684210527
40,98,15.0,47.514619883040936
36,102,15.0,45.39473684210527
40,98,15.0,47.514619883040936
40,98,15.0,47.514619883040936
36,102,15.0,45.39473684210527
36,102,15.0,45.39473684210527
36,102,15.0,45.39473684210527
36,102,15.0,45.39473684210527
36,102,15.0,45.39473684210527
36,102,15.0,45.39473684210527
36,102,15.0,45.39473684210527
36,102,15.0,45.39473684210527
36,102,15.0,45.39473684210527
41,102,15.0,46.63742690058479
36,102,15.0,45.39473684210527
41,102,15.0,46.63742690058479
36,102,15.0,45.39473684210527
41,102,15.0,46.63742690058479
36,102,15.0,45.39473684210527
41,102,15.0,46.63742690058479
41,102,15.0,46.63742690058479
36,102,15.0,45.39473684210527
36,102,15.0,45.39473684210527
41,102,15.0,46.63742690058479
41,102,15.0,46.63742690058479
36,102,15.0,45.39473684210527
41,102,15.0,46.63742690058479
40,100,15.0,45.46783625730994
36,102,15.0,45.39473684210527
36,102,15.0,45.39473684210527
36,102,15.0,45.39473684210527
36,102,15.0,45.39473684210527
42,102,15.0,48.83040935672515
36,102,15.0,45.39473684210527
36,102,15.0,45.39473684210527
42,102,15.0,48.83040935672515
36,102,15.0,45.39473684210527
42,102,15.0,48.83040935672515
36,102,15.0,45.39473684210527
42,102,15.0,48.83040935672515
36,102,15.0,45.39473684210527
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
36,102,15.0,45.39473684210527
42,102,15.0,48.83040935672515
36,102,15.0,45.39473684210527
43,99,15.0,47.07602339181287
42,102,15.0,48.83040935672515
36,102,15.0,45.39473684210527
42,104,15.0,47.514619883040936
43,99,15.0,47.07602339181287
36,102,15.0,45.39473684210527
42,104,15.0,47.514619883040936
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
43,99,15.0,47.07602339181287
42,102,15.0,48.83040935672515
36,102,15.0,45.39473684210527
42,104,15.0,47.514619883040936
43,99,15.0,47.07602339181287
36,102,15.0,45.39473684210527
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
36,102,15.0,45.39473684210527
42,104,15.0,47.514619883040936
36,102,15.0,45.39473684210527
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
36,102,15.0,45.39473684210527
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
42,102,15.0,48.83040935672515
36,102,15.0,45.39473684210527
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
36,102,15.0,45.39473684210527
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
36,102,15.0,45.39473684210527
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
36,102,15.0,45.39473684210527
42,104,15.0,47.514619883040936
36,102,15.0,45.39473684210527
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
36,102,15.0,45.39473684210527
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
36,102,15.0,45.39473684210527
42,104,15.0,47.514619883040936
42,102,15.0,48.83040935672515
36,102,15.0,45.39473684210527
42,104,15.0,47.514619883040936
36,102,15.0,45.39473684210527
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
36,102,15.0,45.39473684210527
42,104,15.0,47.514619883040936
42,102,15.0,48.83040935672515
36,102,15.0,45.39473684210527
42,104,15.0,47.514619883040936
36,102,15.0,45.39473684210527
42,104,15.0,47.514619883040936
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
36,102,15.0,45.39473684210527
42,104,15.0,47.514619883040936
36,102,15.0,45.39473684210527
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
36,102,15.0,45.39473684210527
42,104,15.0,47.514619883040936
42,104,15.0,47.514619883040936
36,102,15.0,45.39473684210527
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
42,104,15.0,47.514619883040936
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
42,104,15.0,47.514619883040936
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
42,102,15.0,48.83040935672515
42,104,15.0,47.514619883040936
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
42,102,15.0,48.83040935672515
41,100,15.0,47.514619883040936
41,100,15.0,47.514619883040936
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
39,98,15.0,46.856725146198826
40,103,15.0,47.07602339181287
40,103,15.0,47.07602339181287
40,100,15.0,45.39473684210527
40,100,15.0,45.39473684210527
43,104,15.0,50.58479532163743
43,104,15.0,50.58479532163743
43,104,15.0,50.58479532163743
43,104,15.0,50.58479532163743
43,104,15.0,50.58479532163743
43,104,15.0,50.58479532163743
38,98,15.0,46.783625730994146
38,98,15.0,46.783625730994146
38,98,15.0,46.783625730994146
40,102,15.0,46.856725146198826
38,98,15.0,46.783625730994146
40,102,15.0,46.856725146198826
40,102,15.0,46.856725146198826
38,98,15.0,46.783625730994146
38,98,15.0,46.783625730994146
48,105,15.0,44.22514619883041
48,105,15.0,44.22514619883041
48,105,15.0,44.22514619883041
48,105,15.0,44.22514619883041
48,105,15.0,44.22514619883041
48,105,15.0,44.22514619883041
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
42,101,15.0,47.07602339181287
40,101,15.0,46.345029239766085
42,101,15.0,47.07602339181287
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
42,101,15.0,47.07602339181287
42,101,15.0,47.07602339181287
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,101,15.0,46.345029239766085
40,97,15.0,46.856725146198826
40,97,15.0,46.856725146198826
40,97,15.0,46.856725146198826
44,116,20.0,40.57017543859649
44,116,20.0,40.57017543859649
44,116,20.0,40.57017543859649
44,116,20.0,40.57017543859649
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
50,128,20.0,39.10818713450293
43,119,20.0,38.45029239766082
50,128,20.0,39.10818713450293
43,119,20.0,38.45029239766082
50,128,20.0,39.10818713450293
43,119,20.0,38.45029239766082
50,128,20.0,39.10818713450293
43,119,20.0,38.45029239766082
43,119,20.0,38.45029239766082
50,128,20.0,39.10818713450293
43,119,20.0,38.45029239766082
50,121,20.0,42.10526315789473
43,119,20.0,38.45029239766082
50,121,20.0,42.10526315789473
42,115,20.0,39.69298245614035
42,115,20.0,39.69298245614035
42,115,20.0,39.69298245614035
42,115,20.0,39.69298245614035
42,115,20.0,39.69298245614035
42,115,20.0,39.69298245614035
42,115,20.0,39.69298245614035
42,115,20.0,39.69298245614035
42,115,20.0,39.69298245614035
42,115,20.0,39.69298245614035
42,115,20.0,39.69298245614035
42,115,20.0,39.69298245614035
42,115,20.0,39.69298245614035
42,115,20.0,39.69298245614035
42,118,20.0,41.52046783625731
42,115,20.0,39.69298245614035
42,115,20.0,39.69298245614035
47,120,20.0,41.95906432748538
47,120,20.0,41.95906432748538
45,115,20.0,41.95906432748538
45,115,20.0,41.95906432748538
45,115,20.0,41.95906432748538
45,115,20.0,41.95906432748538
45,115,20.0,41.95906432748538
45,115,20.0,41.95906432748538
45,115,20.0,41.95906432748538
45,115,20.0,41.95906432748538
45,115,20.0,41.95906432748538
45,115,20.0,41.95906432748538
45,115,20.0,41.95906432748538
45,115,20.0,41.95906432748538
45,115,20.0,41.95906432748538
45,115,20.0,41.95906432748538
45,115,20.0,41.95906432748538
44,115,20.0,42.32456140350877
44,115,20.0,42.32456140350877
45,117,20.0,41.739766081871345
45,117,20.0,41.739766081871345
45,117,20.0,41.739766081871345
45,117,20.0,41.739766081871345
45,117,20.0,41.739766081871345
43,118,20.0,42.98245614035088
45,117,20.0,41.739766081871345
45,117,20.0,41.739766081871345
45,117,20.0,41.739766081871345
46,116,20.0,41.812865497076025
46,116,20.0,41.812865497076025
46,116,20.0,41.812865497076025
46,116,20.0,41.812865497076025
46,116,20.0,41.812865497076025
46,116,20.0,41.812865497076025
46,116,20.0,41.812865497076025
48,126,20.0,40.57017543859649
48,124,20.0,41.44736842105263
48,124,20.0,41.44736842105263
48,124,20.0,41.44736842105263
48,124,20.0,41.44736842105263
48,124,20.0,41.44736842105263
46,118,20.0,42.909356725146196
46,118,20.0,42.909356725146196
46,118,20.0,42.909356725146196
46,118,20.0,42.909356725146196
46,118,20.0,42.909356725146196
46,118,20.0,42.909356725146196
46,118,20.0,42.909356725146196
46,118,20.0,42.909356725146196
46,118,20.0,42.909356725146196
46,118,20.0,42.909356725146196
46,118,20.0,42.909356725146196
46,118,20.0,42.909356725146196
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
42,115,20.0,39.32748538011696
47,120,20.0,41.885964912280706
47,120,20.0,41.885964912280706
44,116,25.0,40.57017543859649
44,116,25.0,40.57017543859649
