nb_cycle_retour,moy_cycle_retour,d_veg,propor_utilisa_retour
35,23,15.0,51.24269005847953
35,23,15.0,51.24269005847953
36,23,15.0,51.24269005847953
33,23,15.0,52.41228070175439
36,23,15.0,51.24269005847953
33,23,15.0,52.41228070175439
37,24,15.0,54.312865497076025
41,24,15.0,54.166666666666664
37,24,15.0,54.312865497076025
41,24,15.0,54.166666666666664
37,24,15.0,54.312865497076025
42,24,15.0,54.166666666666664
38,24,15.0,54.312865497076025
42,24,15.0,54.166666666666664
38,24,15.0,54.312865497076025
42,24,15.0,54.166666666666664
38,24,15.0,54.312865497076025
38,24,15.0,54.312865497076025
42,24,15.0,54.166666666666664
43,24,15.0,54.166666666666664
43,24,15.0,54.166666666666664
43,24,15.0,54.166666666666664
43,24,15.0,54.166666666666664
44,24,15.0,54.166666666666664
44,24,15.0,54.166666666666664
44,24,15.0,54.166666666666664
44,24,15.0,54.166666666666664
39,23,15.0,54.67836257309941
45,24,15.0,54.166666666666664
40,23,15.0,54.67836257309941
45,24,15.0,54.166666666666664
40,23,15.0,54.67836257309941
45,24,15.0,54.166666666666664
40,23,15.0,54.67836257309941
40,23,15.0,54.67836257309941
45,24,15.0,54.166666666666664
46,24,15.0,54.166666666666664
41,23,15.0,54.67836257309941
41,23,15.0,54.67836257309941
46,24,15.0,54.166666666666664
42,24,15.0,53.50877192982456
46,24,15.0,54.166666666666664
41,23,15.0,54.67836257309941
46,24,15.0,54.166666666666664
47,24,15.0,54.166666666666664
47,24,15.0,54.166666666666664
41,24,15.0,52.55847953216374
47,24,15.0,54.166666666666664
47,24,15.0,54.166666666666664
41,24,15.0,52.55847953216374
48,24,15.0,54.166666666666664
42,24,15.0,52.55847953216374
42,24,15.0,52.55847953216374
48,24,15.0,54.166666666666664
48,24,15.0,54.166666666666664
42,24,15.0,52.55847953216374
42,24,15.0,52.55847953216374
48,24,15.0,54.166666666666664
43,24,15.0,52.55847953216374
49,24,15.0,54.166666666666664
42,24,15.0,52.119883040935676
43,24,15.0,52.55847953216374
43,24,15.0,54.53216374269005
49,24,15.0,54.166666666666664
42,24,15.0,52.119883040935676
43,24,15.0,54.53216374269005
49,24,15.0,54.166666666666664
43,24,15.0,52.55847953216374
43,24,15.0,54.53216374269005
42,24,15.0,52.119883040935676
43,24,15.0,52.55847953216374
49,24,15.0,54.166666666666664
43,24,15.0,52.119883040935676
44,24,15.0,54.53216374269005
44,24,15.0,52.55847953216374
50,24,15.0,54.166666666666664
44,24,15.0,52.55847953216374
44,24,15.0,54.53216374269005
50,24,15.0,54.166666666666664
44,24,15.0,54.53216374269005
50,24,15.0,54.166666666666664
44,24,15.0,52.55847953216374
44,24,15.0,54.53216374269005
50,24,15.0,54.166666666666664
44,24,15.0,52.55847953216374
45,24,15.0,54.53216374269005
45,24,15.0,52.55847953216374
51,24,15.0,54.166666666666664
45,24,15.0,54.53216374269005
45,24,15.0,52.55847953216374
51,24,15.0,54.166666666666664
45,24,15.0,54.53216374269005
45,24,15.0,52.55847953216374
51,24,15.0,54.166666666666664
45,24,15.0,52.55847953216374
45,24,15.0,54.53216374269005
51,24,15.0,54.166666666666664
46,24,15.0,54.53216374269005
52,24,15.0,54.166666666666664
46,24,15.0,52.55847953216374
46,24,15.0,54.53216374269005
52,24,15.0,54.166666666666664
46,24,15.0,52.55847953216374
46,24,15.0,52.55847953216374
46,24,15.0,54.53216374269005
52,24,15.0,54.166666666666664
46,24,15.0,54.53216374269005
46,24,15.0,52.55847953216374
