nb_cycle_aller,moy_cycle_aller,d_veg,propor_utilisa_aller
46,25,15.0,43.567251461988306
43,26,15.0,46.63742690058479
47,27,15.0,45.54093567251462
48,27,15.0,44.590643274853804
49,27,15.0,42.83625730994152
47,25,15.0,48.3187134502924
49,26,15.0,45.97953216374269
49,27,15.0,45.10233918128655
50,28,15.0,45.614035087719294
48,27,15.0,43.494152046783626
47,25,15.0,46.49122807017544
49,27,15.0,45.614035087719294
46,26,15.0,45.54093567251462
46,27,15.0,42.83625730994152
50,26,15.0,44.44444444444444
50,26,15.0,45.10233918128655
49,27,15.0,46.05263157894737
50,26,15.0,44.590643274853804
48,26,15.0,43.71345029239766
51,27,15.0,43.932748538011694
51,31,20.0,40.2046783625731
53,33,20.0,39.83918128654971
48,30,20.0,42.98245614035088
51,31,20.0,42.17836257309941
59,31,20.0,43.05555555555556
56,31,20.0,40.27777777777778
57,34,20.0,38.81578947368421
57,33,20.0,41.301169590643276
49,31,20.0,40.86257309941521
54,32,20.0,40.49707602339181
52,31,20.0,42.83625730994152
51,32,20.0,39.400584795321635
50,31,20.0,42.39766081871345
51,31,20.0,40.2046783625731
59,32,20.0,39.91228070175439
53,31,20.0,41.812865497076025
51,32,20.0,40.131578947368425
57,31,20.0,40.49707602339181
56,31,20.0,40.93567251461988
54,31,20.0,40.86257309941521
51,31,25.0,40.2046783625731
53,33,25.0,39.83918128654971
48,30,25.0,42.98245614035088
59,31,25.0,43.05555555555556
51,31,25.0,42.17836257309941
57,34,25.0,38.81578947368421
56,31,25.0,40.27777777777778
57,33,25.0,41.301169590643276
49,31,25.0,40.86257309941521
54,32,25.0,40.49707602339181
52,31,25.0,42.83625730994152
51,32,25.0,39.400584795321635
51,31,25.0,40.2046783625731
50,31,25.0,42.39766081871345
59,32,25.0,39.91228070175439
53,31,25.0,41.812865497076025
51,32,25.0,40.131578947368425
57,31,25.0,40.49707602339181
56,31,25.0,40.93567251461988
54,31,25.0,40.86257309941521
