nb_cycle_retour,moy_cycle_retour,d_veg,propor_utilisa_retour
41,24,15.0,52.19298245614035
48,25,15.0,52.26608187134503
46,25,15.0,53.65497076023392
49,25,15.0,52.33918128654971
48,26,15.0,52.119883040935676
51,26,15.0,53.289473684210535
49,26,15.0,53.3625730994152
49,25,15.0,53.216374269005854
50,25,15.0,53.289473684210535
57,25,15.0,52.26608187134503
44,25,15.0,51.53508771929825
48,26,15.0,52.119883040935676
41,25,15.0,53.3625730994152
44,26,15.0,52.046783625730995
42,25,15.0,51.827485380116954
49,27,15.0,52.046783625730995
49,26,15.0,52.26608187134503
51,25,15.0,52.26608187134503
52,25,15.0,52.55847953216374
49,26,15.0,52.046783625730995
54,31,20.0,52.046783625730995
51,30,20.0,51.973684210526315
56,32,20.0,51.75438596491229
60,30,20.0,51.09649122807017
49,29,20.0,51.75438596491229
45,30,20.0,52.119883040935676
53,31,20.0,50.877192982456144
51,29,20.0,51.68128654970761
61,30,20.0,50.58479532163743
59,32,20.0,51.31578947368421
46,29,20.0,50.73099415204678
53,31,20.0,50.950292397660824
53,29,20.0,51.68128654970761
61,31,20.0,52.19298245614035
57,30,20.0,51.60818713450293
50,30,20.0,51.60818713450293
70,30,20.0,51.02339181286549
56,31,20.0,52.48538011695907
64,31,20.0,51.68128654970761
56,29,20.0,51.388888888888886
54,31,25.0,52.046783625730995
51,30,25.0,51.973684210526315
56,32,25.0,51.75438596491229
49,29,25.0,51.75438596491229
60,30,25.0,51.09649122807017
53,31,25.0,50.877192982456144
45,30,25.0,52.119883040935676
51,29,25.0,51.68128654970761
61,30,25.0,50.58479532163743
59,32,25.0,51.31578947368421
46,29,25.0,50.73099415204678
53,31,25.0,50.950292397660824
61,31,25.0,52.19298245614035
53,29,25.0,51.68128654970761
57,30,25.0,51.60818713450293
50,30,25.0,51.60818713450293
70,30,25.0,51.02339181286549
56,31,25.0,52.48538011695907
64,31,25.0,51.68128654970761
56,29,25.0,51.388888888888886
