nb_cycle_retour,moy_cycle_retour,dist_veto,jour_veto,propor_utilisa_retour
0,0,15.0,0,0.0
22,16,15.0,0,50.80409356725146
23,16,15.0,0,50.80409356725146
23,16,15.0,0,50.80409356725146
23,16,15.0,0,50.80409356725146
23,16,15.0,0,50.80409356725146
23,16,15.0,0,50.877192982456144
0,0,15.0,0,0.0
23,16,15.0,0,50.80409356725146
23,16,15.0,0,50.877192982456144
24,16,15.0,0,50.80409356725146
24,16,15.0,0,50.80409356725146
24,16,15.0,0,50.80409356725146
0,0,15.0,0,0.0
24,16,15.0,0,50.80409356725146
24,16,15.0,0,50.80409356725146
24,16,15.0,0,50.80409356725146
24,16,15.0,0,50.80409356725146
24,16,15.0,0,50.80409356725146
24,16,15.0,0,50.80409356725146
24,16,15.0,0,50.80409356725146
24,16,15.0,0,50.950292397660824
23,16,15.0,0,50.877192982456144
23,16,15.0,0,50.80409356725146
24,16,15.0,0,50.950292397660824
22,16,15.0,0,50.950292397660824
24,16,15.0,0,50.950292397660824
22,16,15.0,0,50.950292397660824
23,16,15.0,0,50.950292397660824
23,16,15.0,0,50.950292397660824
25,16,15.0,0,50.80409356725146
24,16,15.0,0,50.950292397660824
0,0,15.0,0,0.0
24,16,15.0,0,50.950292397660824
24,16,15.0,0,50.950292397660824
24,16,15.0,0,50.950292397660824
23,16,15.0,0,50.877192982456144
24,16,15.0,0,50.950292397660824
25,16,15.0,0,50.80409356725146
24,16,15.0,0,50.877192982456144
24,16,15.0,0,50.950292397660824
25,16,15.0,0,50.950292397660824
25,16,15.0,0,50.950292397660824
0,0,15.0,1,0.0
23,16,15.0,1,50.80409356725146
23,16,15.0,1,50.80409356725146
24,16,15.0,1,50.80409356725146
22,16,15.0,1,50.80409356725146
23,16,15.0,1,50.80409356725146
24,16,15.0,1,50.80409356725146
24,16,15.0,1,50.80409356725146
23,16,15.0,1,50.80409356725146
24,16,15.0,1,50.80409356725146
24,16,15.0,1,50.80409356725146
24,16,15.0,1,50.80409356725146
0,0,15.0,1,0.0
24,16,15.0,1,50.80409356725146
24,16,15.0,1,50.80409356725146
23,16,15.0,1,50.80409356725146
24,16,15.0,1,50.80409356725146
24,16,15.0,1,50.80409356725146
23,16,15.0,1,50.877192982456144
23,16,15.0,1,50.877192982456144
0,0,15.0,1,0.0
23,16,15.0,1,50.80409356725146
23,16,15.0,1,50.877192982456144
24,16,15.0,1,50.950292397660824
24,16,15.0,1,50.950292397660824
22,16,15.0,1,50.950292397660824
22,16,15.0,1,50.950292397660824
24,16,15.0,1,50.950292397660824
23,16,15.0,1,50.950292397660824
25,16,15.0,1,50.80409356725146
23,16,15.0,1,50.950292397660824
24,16,15.0,1,50.950292397660824
24,16,15.0,1,50.950292397660824
0,0,15.0,1,0.0
24,16,15.0,1,50.950292397660824
24,16,15.0,1,50.950292397660824
25,16,15.0,1,50.950292397660824
23,16,15.0,1,50.877192982456144
24,16,15.0,1,50.950292397660824
24,16,15.0,1,50.877192982456144
24,16,15.0,1,50.950292397660824
25,16,15.0,1,50.80409356725146
25,16,15.0,1,50.950292397660824
0,0,15.0,2,0.0
24,16,15.0,2,50.950292397660824
24,16,15.0,2,50.950292397660824
24,16,15.0,2,50.950292397660824
24,16,15.0,2,50.950292397660824
0,0,15.0,2,0.0
24,16,15.0,2,51.02339181286549
24,16,15.0,2,51.09649122807017
23,16,15.0,2,50.950292397660824
23,16,15.0,2,50.950292397660824
23,16,15.0,2,50.950292397660824
23,16,15.0,2,50.950292397660824
23,16,15.0,2,51.02339181286549
23,16,15.0,2,51.02339181286549
23,16,15.0,2,51.02339181286549
23,16,15.0,2,51.02339181286549
0,0,15.0,2,0.0
23,16,15.0,2,50.950292397660824
22,16,15.0,2,50.950292397660824
24,16,15.0,2,50.950292397660824
24,16,15.0,2,50.950292397660824
