grid_x,grid_y,nb_trp_inside,impact_trp_aller,s_nb_trp_inside,impact_trp_aller
0,0,0,0.0,0,0.0
1,0,0,0.0,0,0.0
2,0,0,0.0,0,0.0
3,0,0,0.0,0,0.0
4,0,1,0.0,2,0.0
5,0,0,0.0,0,0.0
6,0,1,0.0,2,0.0
7,0,1,0.0,2,0.0
8,0,1,0.0,5,0.0
0,0,0,0.0,0,0.0
9,0,2,0.0,4,0.0
1,0,0,0.0,0,0.0
8,1,1,0.000016127,12,0.000016127
2,0,0,0.0,0,0.0
11,4,1,0.0000158298,23,0.0000158298
3,0,0,0.0,0,0.0
14,0,1,0.0000178363,13,0.0000178363
4,0,1,0.0,2,0.0
13,0,1,0.0,6,0.0
5,0,1,0.0,2,0.0
14,0,1,0.0,11,0.0
6,0,0,0.0,0,0.0
15,0,1,0.0,1,0.0
7,0,0,0.0,0,0.0
16,0,1,0.0,5,0.0
8,0,0,0.0,0,0.0
17,0,0,0.0,0,0.0
18,0,0,0.0,0,0.0
9,0,1,0.0,12,0.0
19,0,0,0.0,0,0.0
10,0,2,0.0,4,0.0
20,0,0,0.0,0,0.0
19,3,4,0.0000134059,14,0.0000134059
21,0,0,0.0,0,0.0
23,2,3,0.0000693107,9,0.0000693107
22,0,0,0.0,0,0.0
13,0,1,0.0,11,0.0
23,0,0,0.0,0,0.0
24,0,0,0.0,0,0.0
25,0,0,0.0,0,0.0
26,0,0,0.0,0,0.0
27,0,0,0.0,0,0.0
28,0,0,0.0,0,0.0
29,0,0,0.0,0,0.0
30,0,0,0.0,0,0.0
31,0,0,0.0,0,0.0
32,0,0,0.0,0,0.0
33,0,0,0.0,0,0.0
34,0,0,0.0,0,0.0
35,0,0,0.0,0,0.0
0,1,0,0.0,0,0.0
1,1,0,0.0,0,0.0
2,1,0,0.0,0,0.0
3,1,0,0.0,0,0.0
4,1,0,0.0,0,0.0
5,1,1,0.0,2,0.0
18,1,1,0.0000335175,6,0.0000335175
20,3,2,0.0000309411,18,0.0000309411
23,7,1,0.0000269765,119,0.0000269765
9,2,1,0.0000167711,12,0.0000167711
14,0,1,0.0,11,0.0
15,0,1,0.0,3,0.0
16,0,3,0.0,6,0.0
10,1,1,0.0,18,0.0
17,0,0,0.0,0,0.0
15,2,1,0.0000317834,10,0.0000317834
18,0,0,0.0,0,0.0
12,1,1,0.0,7,0.0
19,0,0,0.0,0,0.0
20,4,1,0.000047415,42,0.000047415
20,0,0,0.0,0,0.0
22,4,1,0.0000141948,15,0.0000141948
21,0,0,0.0,0,0.0
16,0,2,0.0000157802,4,0.0000157802
22,0,0,0.0,0,0.0
27,10,1,0.0000499418,14,0.0000499418
23,0,0,0.0,0,0.0
15,1,1,0.0000829638,9,0.0000829638
24,0,0,0.0,0,0.0
30,7,2,0.0000334184,6,0.0000334184
25,0,0,0.0,0,0.0
19,1,1,0.0,3,0.0
26,0,0,0.0,0,0.0
20,1,0,0.0,0,0.0
27,0,0,0.0,0,0.0
