grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_aller
0,0,0,0,0.0
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,0,0,0.0
5,0,1,1,0.0
6,0,1,7,0.0
7,0,1,10,0.0
8,0,0,0,0.0
9,0,0,0,0.0
30,9,2,7,0.0000192778
19,4,1,8,0.0000131618
26,5,1,2,0.0000069185
13,0,1,4,0.0
14,0,3,3,0.0
15,0,0,0,0.0
16,0,0,0,0.0
17,0,0,0,0.0
18,0,0,0,0.0
19,0,0,0,0.0
20,0,0,0,0.0
21,0,0,0,0.0
22,0,0,0,0.0
23,0,0,0,0.0
24,0,0,0,0.0
25,0,0,0,0.0
26,0,0,0,0.0
27,0,0,0,0.0
28,0,0,0,0.0
29,0,0,0,0.0
30,0,0,0,0.0
31,0,0,0,0.0
32,0,0,0,0.0
33,0,0,0,0.0
34,0,0,0,0.0
35,0,0,0,0.0
0,1,0,0,0.0
1,1,0,0,0.0
2,1,0,0,0.0
3,1,0,0,0.0
4,1,1,2,0.0
18,4,1,35,0.0000123691
25,9,2,61,0.0000195518
18,1,1,3,0.0000064488
28,8,1,10,0.0000063999
16,1,1,5,0.0000059595
28,11,1,42,0.0000195029
14,3,1,20,0.0000131716
29,5,1,2,0.0000132303
26,9,2,31,0.0000128291
31,12,1,66,0.0000061356
30,9,1,4,0.0000259517
16,1,1,4,0.0
17,1,0,0,0.0
23,2,1,3,0.0000189745
19,1,1,5,0.0
20,1,1,2,0.0
21,1,1,1,0.0
22,1,0,0,0.0
23,1,0,0,0.0
24,1,0,0,0.0
25,1,0,0,0.0
26,1,0,0,0.0
27,1,0,0,0.0
28,1,0,0,0.0
29,1,0,0,0.0
30,1,0,0,0.0
31,1,0,0,0.0
32,1,0,0,0.0
33,1,0,0,0.0
34,1,0,0,0.0
35,1,0,0,0.0
0,2,0,0,0.0
1,2,0,0,0.0
2,2,0,0,0.0
3,2,0,0,0.0
4,2,1,2,0.0
10,4,1,5,0.0000124572
30,8,1,6,0.0000130737
32,11,1,21,0.0000133379
8,2,1,8,0.0
17,3,1,3,0.0000126333
26,3,1,2,0.0000124181
31,11,1,35,0.0000127116
29,10,1,7,0.0000187494
20,2,1,5,0.0000060867
27,9,1,2,0.0000129073
28,12,1,51,0.0000058225
20,5,2,15,0.0000059595
30,11,1,4,0.0000196791
21,3,2,34,0.0000186711
19,2,1,8,0.0
29,8,1,7,0.0000255309
25,8,2,68,0.0000127899
20,3,1,12,0.0000139446
23,2,1,1,0.0
24,2,0,0,0.0
25,2,0,0,0.0
26,2,0,0,0.0
27,2,0,0,0.0
28,2,0,0,0.0
29,2,0,0,0.0
30,2,0,0,0.0
31,2,0,0,0.0
32,2,0,0,0.0
33,2,0,0,0.0
34,2,0,0,0.0
35,2,0,0,0.0
0,3,0,0,0.0
1,3,0,0,0.0
2,3,0,0,0.0
3,3,0,0,0.0
4,3,1,5,0.0
5,3,2,4,0.0
13,4,1,22,0.0000138174
26,8,1,22,0.0000069479
7,1,1,21,0.0000128878
10,4,1,4,0.0000189451
31,9,1,7,0.0000062041
16,1,1,7,0.0000331931
30,11,4,7,0.00000685
16,2,1,9,0.000005891
25,7,1,57,0.0000122713
15,3,1,8,0.0
16,3,1,8,0.0
26,7,1,16,0.0000060574
13,1,1,4,0.0000199922
19,3,1,3,0.0
27,5,1,16,0.0000315883
14,0,1,2,0.0000123593
25,3,1,2,0.0000065956
23,3,0,0,0.0
24,3,1,2,0.0
25,3,1,2,0.0
26,3,1,1,0.0
27,3,0,0,0.0
28,3,0,0,0.0
29,3,0,0,0.0
30,3,0,0,0.0
31,3,0,0,0.0
32,3,0,0,0.0
33,3,0,0,0.0
34,3,0,0,0.0
35,3,0,0,0.0
0,4,0,0,0.0
1,4,0,0,0.0
2,4,0,0,0.0
3,4,0,0,0.0
4,4,1,9,0.0
5,4,2,8,0.0
6,4,0,0,0.0
7,4,2,12,0.0
8,4,1,163,0.0
9,4,1,40,0.0
10,4,1,12,0.0
11,4,1,2,0.0
12,4,1,9,0.0
13,4,2,7,0.0
14,4,1,20,0.0
15,4,2,12,0.0
16,4,1,3,0.0
17,4,1,5,0.0
18,4,1,21,0.0
26,6,1,2,0.0000067815
26,4,1,3,0.0000276544
26,7,1,9,0.0000125453
28,5,1,11,0.0000123691
23,4,1,4,0.0
20,2,2,13,0.0000186124
25,4,1,6,0.0
26,4,2,7,0.0
27,4,1,2,0.0
28,4,0,0,0.0
29,4,0,0,0.0
30,4,0,0,0.0
31,4,0,0,0.0
32,4,0,0,0.0
33,4,0,0,0.0
34,4,0,0,0.0
35,4,0,0,0.0
0,5,0,0,0.0
1,5,0,0,0.0
2,5,0,0,0.0
3,5,0,0,0.0
4,5,1,1,0.0
5,5,1,13,0.0
6,5,0,0,0.0
7,5,0,0,0.0
8,5,1,92,0.0
9,5,1,4,0.0
10,5,1,1,0.0
11,5,1,4,0.0
12,5,1,6,0.0
13,5,1,29,0.0
14,5,1,8,0.0
15,5,2,16,0.0
16,5,0,0,0.0
17,5,0,0,0.0
18,5,1,45,0.0
19,5,1,4,0.0
5,2,2,12,0.0000067032
21,5,1,1,0.0
22,5,1,32,0.0
23,5,1,3,0.0
31,12,1,54,0.0000189647
8,1,1,2,0.0000193757
17,3,1,11,0.0000247383
7,1,1,23,0.0000195518
28,5,1,5,0.0
29,5,1,1,0.0
30,5,0,0,0.0
31,5,0,0,0.0
32,5,0,0,0.0
33,5,0,0,0.0
34,5,0,0,0.0
35,5,0,0,0.0
0,6,0,0,0.0
1,6,0,0,0.0
2,6,0,0,0.0
3,6,0,0,0.0
4,6,0,0,0.0
5,6,1,16,0.0
6,6,0,0,0.0
7,6,0,0,0.0
8,6,1,12,0.0
9,6,2,137,0.0
10,6,2,3,0.0
11,6,1,2,0.0
12,6,1,1,0.0
13,6,2,49,0.0
14,6,1,4,0.0
15,6,1,9,0.0
16,6,0,0,0.0
17,6,0,0,0.0
18,6,1,37,0.0
19,6,1,13,0.0
20,6,1,6,0.0
21,6,1,3,0.0
32,12,1,2,0.0000197965
22,3,1,7,0.0000204032
23,8,1,34,0.0000185537
22,2,1,3,0.0000191604
14,1,1,19,0.0000190136
20,5,1,10,0.0000066543
25,6,1,3,0.0000255211
29,6,1,2,0.0
30,6,1,1,0.0
31,6,0,0,0.0
32,6,0,0,0.0
33,6,0,0,0.0
34,6,0,0,0.0
35,6,0,0,0.0
0,7,0,0,0.0
1,7,0,0,0.0
2,7,0,0,0.0
3,7,0,0,0.0
4,7,1,12,0.0
5,7,1,8,0.0
6,7,0,0,0.0
7,7,0,0,0.0
8,7,1,1,0.0
9,7,1,118,0.0
10,7,1,3,0.0
11,7,0,0,0.0
12,7,1,6,0.0
13,7,1,46,0.0
14,7,0,0,0.0
15,7,1,8,0.0
16,7,0,0,0.0
17,7,0,0,0.0
18,7,1,71,0.0
19,7,1,5,0.0
20,7,0,0,0.0
21,7,0,0,0.0
22,7,1,33,0.0
23,7,1,2,0.0
24,7,1,22,0.0
7,3,1,43,0.0000208142
15,1,1,7,0.0000128388
24,7,1,19,0.0000065956
12,0,1,2,0.0000134651
7,0,1,13,0.0000180253
10,3,1,26,0.0000058519
31,7,1,3,0.0
32,7,1,1,0.0
33,7,0,0,0.0
34,7,0,0,0.0
35,7,0,0,0.0
0,8,0,0,0.0
1,8,0,0,0.0
2,8,0,0,0.0
3,8,1,11,0.0
4,8,2,5,0.0
5,8,1,2,0.0
6,8,0,0,0.0
7,8,0,0,0.0
8,8,0,0,0.0
9,8,1,136,0.0
10,8,1,7,0.0
11,8,0,0,0.0
12,8,2,43,0.0
13,8,1,1,0.0
14,8,1,3,0.0
15,8,1,7,0.0
16,8,1,5,0.0
17,8,2,85,0.0
18,8,1,1,0.0
19,8,0,0,0.0
20,8,0,0,0.0
21,8,0,0,0.0
22,8,1,34,0.0
23,8,1,23,0.0
28,12,1,17,0.0000188766
5,3,1,3,0.0000188668
25,9,1,71,0.0000061356
30,12,1,4,0.0000064977
28,8,1,8,0.0
25,5,1,7,0.0000127214
26,4,1,6,0.0000258636
31,8,0,0,0.0
32,8,1,5,0.0
33,8,1,1,0.0
34,8,0,0,0.0
35,8,0,0,0.0
0,9,0,0,0.0
1,9,0,0,0.0
2,9,1,5,0.0
3,9,2,19,0.0
4,9,0,0,0.0
5,9,1,1,0.0
6,9,1,3,0.0
7,9,0,0,0.0
8,9,0,0,0.0
9,9,1,117,0.0
10,9,0,0,0.0
11,9,0,0,0.0
12,9,2,55,0.0
13,9,2,42,0.0
14,9,1,61,0.0
15,9,1,17,0.0
16,9,2,66,0.0
17,9,0,0,0.0
18,9,0,0,0.0
19,9,0,0,0.0
20,9,0,0,0.0
21,9,0,0,0.0
22,9,1,39,0.0
23,9,0,0,0.0
24,9,1,58,0.0
25,9,1,69,0.0
14,2,2,18,0.0000064194
8,4,1,115,0.0000202956
26,7,1,6,0.0000185439
21,1,1,2,0.0000066347
6,0,1,7,0.0000065956
14,0,1,2,0.0000059693
32,9,1,3,0.0
33,9,0,0,0.0
34,9,0,0,0.0
