grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_retour
0,0,0,0,0.0
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,0,0,0.0
5,0,3,265,0.0
6,0,1,11,0.0
7,0,1,119,0.0
8,0,1,52,0.0
9,0,1,139,0.0
20,5,2,269,0.0001741813
15,2,2,137,0.0000888056
25,5,1,8,0.0002659913
13,0,1,122,0.0
14,0,1,121,0.0
15,0,1,117,0.0
16,0,0,0,0.0
17,0,2,238,0.0
18,0,0,0,0.0
19,0,0,0,0.0
20,0,0,0,0.0
21,0,0,0,0.0
22,0,0,0,0.0
23,0,0,0,0.0
24,0,0,0,0.0
25,0,0,0,0.0
26,0,0,0,0.0
27,0,0,0,0.0
28,0,0,0,0.0
29,0,0,0,0.0
30,0,0,0,0.0
31,0,0,0,0.0
32,0,0,0,0.0
33,0,0,0,0.0
34,0,0,0,0.0
35,0,0,0,0.0
0,1,0,0,0.0
1,1,0,0,0.0
2,1,0,0,0.0
3,1,0,0,0.0
4,1,1,2,0.0
12,2,3,338,0.0000856961
24,3,3,318,0.0000916556
9,1,1,40,0.0001651712
24,3,3,318,0.0001654488
32,11,2,115,0.0001778224
25,8,1,162,0.0000865801
23,2,3,343,0.000174585
30,12,3,167,0.000263778
18,4,2,268,0.0000808189
26,7,1,11,0.0000021165
29,6,4,324,0.0000817919
30,9,2,138,0.0000864465
17,0,3,348,0.0000947936
30,12,3,236,0.0002457882
19,1,3,397,0.0
20,1,1,118,0.0
21,1,1,110,0.0
22,1,0,0,0.0
23,1,0,0,0.0
24,1,0,0,0.0
25,1,0,0,0.0
26,1,0,0,0.0
27,1,0,0,0.0
28,1,0,0,0.0
29,1,0,0,0.0
30,1,0,0,0.0
31,1,0,0,0.0
32,1,0,0,0.0
33,1,0,0,0.0
34,1,0,0,0.0
35,1,0,0,0.0
0,2,0,0,0.0
1,2,0,0,0.0
2,2,0,0,0.0
3,2,0,0,0.0
4,2,1,117,0.0
30,13,1,58,0.0000841132
7,3,2,275,0.0000892235
22,7,1,116,0.000166007
25,7,1,15,0.0000018236
9,2,1,5,0.0
7,1,1,132,0.0001674722
27,5,4,322,0.0001783228
30,10,2,130,0.0002543153
13,2,1,4,0.0
25,10,1,137,0.0002505358
15,2,2,139,0.0
31,9,2,140,0.000162703
30,8,2,173,0.0001744415
10,4,1,122,0.0000875278
29,6,5,411,0.0004329744
21,4,3,368,0.0004375713
19,4,4,487,0.0000926969
22,2,1,1,0.0
23,2,2,235,0.0
24,2,0,0,0.0
25,2,0,0,0.0
26,2,0,0,0.0
27,2,0,0,0.0
28,2,0,0,0.0
29,2,0,0,0.0
30,2,0,0,0.0
31,2,0,0,0.0
32,2,0,0,0.0
33,2,0,0,0.0
34,2,0,0,0.0
35,2,0,0,0.0
0,3,0,0,0.0
1,3,0,0,0.0
2,3,0,0,0.0
3,3,0,0,0.0
4,3,1,129,0.0
5,3,1,131,0.0
6,2,1,122,0.0000916275
13,1,4,467,0.0001633094
17,1,1,102,0.0001698455
27,8,1,94,0.0003490337
21,4,2,253,0.0000860931
30,9,1,84,0.0003488621
20,3,3,381,0.0001850468
6,3,3,195,0.0002455333
16,1,4,471,0.000090386
15,3,1,10,0.0
16,3,1,14,0.0
29,9,2,127,0.0002645175
31,12,2,134,0.0002555787
13,1,4,467,0.0002655908
23,2,2,237,0.0001611038
11,2,2,240,0.0000771857
5,0,2,245,0.0000896819
29,12,2,44,0.000176503
24,3,4,404,0.0
25,3,1,98,0.0
26,3,0,0,0.0
27,3,0,0,0.0
28,3,0,0,0.0
29,3,0,0,0.0
30,3,0,0,0.0
31,3,0,0,0.0
32,3,0,0,0.0
33,3,0,0,0.0
34,3,0,0,0.0
35,3,0,0,0.0
0,4,0,0,0.0
1,4,0,0,0.0
2,4,0,0,0.0
3,4,0,0,0.0
4,4,0,0,0.0
5,4,1,9,0.0
6,4,1,6,0.0
7,4,1,147,0.0
8,4,2,195,0.0
9,4,1,9,0.0
10,4,1,121,0.0
11,4,1,6,0.0
12,4,1,15,0.0
13,4,1,2,0.0
14,4,1,16,0.0
15,4,1,12,0.0
16,4,1,11,0.0
17,4,1,8,0.0
18,4,2,267,0.0
19,4,3,370,0.0
27,9,3,268,0.0000867935
21,4,4,482,0.0
24,7,2,218,0.000088469
18,1,4,472,0.0002527841
24,4,1,118,0.0002661228
6,3,3,200,0.0000829544
26,4,2,189,0.0
27,4,0,0,0.0
28,4,0,0,0.0
29,4,0,0,0.0
30,4,0,0,0.0
31,4,0,0,0.0
32,4,0,0,0.0
33,4,0,0,0.0
34,4,0,0,0.0
35,4,0,0,0.0
0,5,0,0,0.0
1,5,0,0,0.0
2,5,0,0,0.0
3,5,0,0,0.0
4,5,0,0,0.0
5,5,1,8,0.0
6,5,0,0,0.0
7,5,1,17,0.0
8,5,1,35,0.0
9,5,1,10,0.0
10,5,1,8,0.0
11,5,2,4,0.0
12,5,1,12,0.0
13,5,1,13,0.0
14,5,1,12,0.0
15,5,1,14,0.0
16,5,1,5,0.0
17,5,1,12,0.0
18,5,1,21,0.0
19,5,1,144,0.0
21,7,1,113,0.0001635452
4,3,2,258,0.0002492302
22,5,1,142,0.0
9,0,2,190,0.0002670951
26,10,3,280,0.0000841871
20,1,1,119,0.000080306
8,2,4,345,0.0001714112
11,2,3,373,0.0000845504
28,5,1,86,0.0
29,5,0,0,0.0
30,5,0,0,0.0
31,5,0,0,0.0
32,5,0,0,0.0
33,5,0,0,0.0
34,5,0,0,0.0
35,5,0,0,0.0
0,6,0,0,0.0
1,6,0,0,0.0
2,6,0,0,0.0
3,6,0,0,0.0
4,6,0,0,0.0
5,6,1,8,0.0
6,6,0,0,0.0
7,6,1,11,0.0
8,6,1,64,0.0
9,6,1,4,0.0
10,6,1,9,0.0
11,6,1,7,0.0
12,6,1,18,0.0
13,6,1,9,0.0
14,6,2,10,0.0
15,6,1,11,0.0
16,6,1,6,0.0
17,6,1,26,0.0
18,6,1,33,0.0
19,6,1,45,0.0
20,6,2,260,0.0
28,5,2,145,0.0003401488
22,6,1,115,0.0
9,1,1,136,0.0000815365
30,8,1,101,0.0000958443
24,6,1,105,0.0001768736
4,1,2,125,0.0001635712
28,8,1,78,0.0002557184
29,6,3,238,0.0004339878
29,6,4,319,0.0
30,6,0,0,0.0
31,6,0,0,0.0
32,6,0,0,0.0
33,6,0,0,0.0
34,6,0,0,0.0
35,6,0,0,0.0
0,7,0,0,0.0
1,7,0,0,0.0
2,7,0,0,0.0
3,7,0,0,0.0
4,7,0,0,0.0
5,7,1,6,0.0
6,7,1,3,0.0
7,7,1,25,0.0
8,7,1,43,0.0
9,7,1,1,0.0
10,7,1,10,0.0
11,7,1,7,0.0
12,7,1,27,0.0
13,7,1,7,0.0
14,7,1,12,0.0
15,7,1,10,0.0
16,7,1,9,0.0
17,7,1,25,0.0
18,7,1,78,0.0
19,7,1,34,0.0
20,7,1,24,0.0
21,7,1,118,0.0
22,7,3,329,0.0
22,8,1,32,0.0000004677
24,7,2,218,0.0
26,5,4,341,0.0001544189
26,7,1,12,0.0
15,1,3,341,0.0003311037
28,7,1,89,0.0
8,0,2,190,0.0000910333
29,7,1,70,0.0000841872
31,7,0,0,0.0
32,7,0,0,0.0
33,7,0,0,0.0
34,7,0,0,0.0
35,7,0,0,0.0
0,8,0,0,0.0
1,8,0,0,0.0
2,8,0,0,0.0
3,8,0,0,0.0
4,8,0,0,0.0
5,8,1,3,0.0
6,8,1,5,0.0
7,8,1,18,0.0
8,8,1,57,0.0
9,8,1,2,0.0
10,8,1,8,0.0
11,8,1,14,0.0
12,8,1,13,0.0
13,8,3,12,0.0
14,8,1,12,0.0
15,8,1,7,0.0
16,8,1,24,0.0
17,8,1,106,0.0
18,8,1,67,0.0
19,8,1,105,0.0
20,8,1,115,0.0
21,8,1,101,0.0
22,8,1,91,0.0
23,8,1,98,0.0
24,8,2,69,0.0
26,8,1,16,0.0002667438
27,5,3,217,0.0000832689
24,3,3,317,0.0003575446
29,8,2,134,0.0001861909
18,1,4,473,0.0000839366
30,8,2,181,0.0
31,8,3,185,0.0
32,8,0,0,0.0
33,8,0,0,0.0
34,8,0,0,0.0
35,8,0,0,0.0
0,9,0,0,0.0
1,9,0,0,0.0
2,9,0,0,0.0
3,9,0,0,0.0
4,9,0,0,0.0
5,9,0,0,0.0
6,9,1,10,0.0
7,9,1,7,0.0
8,9,1,53,0.0
9,9,1,8,0.0
10,9,1,7,0.0
11,9,1,20,0.0
12,9,1,7,0.0
13,9,1,13,0.0
14,9,1,11,0.0
15,9,1,6,0.0
16,9,1,101,0.0
17,9,1,110,0.0
18,9,2,85,0.0
19,9,1,58,0.0
20,9,1,30,0.0
21,9,1,29,0.0
22,9,1,29,0.0
23,9,1,26,0.0
24,9,1,44,0.0
25,9,1,69,0.0
17,0,2,241,0.0002560936
26,8,1,18,0.0001656037
30,11,2,134,0.0000920724
6,2,1,56,0.0003514507
5,0,1,23,0.0002529229
13,0,3,375,0.0001552925
32,9,0,0,0.0
33,9,0,0,0.0
34,9,0,0,0.0
