grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_retour
0,0,0,0,0.0
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,0,0,0.0
5,0,0,0,0.0
6,0,4,114,0.0
7,0,2,62,0.0
8,0,2,43,0.0
9,0,4,129,0.0
8,0,2,39,0.0001178356
23,3,2,97,0.0001912654
23,5,2,82,0.0000608786
13,0,2,48,0.0
14,0,0,0,0.0
15,0,2,69,0.0
16,0,0,0,0.0
17,0,1,30,0.0
18,0,1,40,0.0
19,0,0,0,0.0
20,0,0,0,0.0
21,0,0,0,0.0
22,0,0,0,0.0
23,0,0,0,0.0
24,0,0,0,0.0
25,0,0,0,0.0
26,0,0,0,0.0
27,0,0,0,0.0
28,0,0,0,0.0
29,0,0,0,0.0
30,0,0,0,0.0
31,0,0,0,0.0
32,0,0,0,0.0
33,0,0,0,0.0
34,0,0,0,0.0
35,0,0,0,0.0
0,1,0,0,0.0
1,1,0,0,0.0
2,1,0,0,0.0
3,1,0,0,0.0
4,1,2,99,0.0
19,1,3,113,0.0002559393
24,7,3,111,0.0000603305
26,7,3,147,0.0001894204
28,13,3,121,0.0002576816
27,7,2,82,0.0002608797
30,12,1,20,0.0002492415
8,3,2,138,0.0001786522
21,5,4,204,0.0002512371
25,3,3,50,0.0000651963
6,0,5,182,0.0001266952
8,1,1,5,0.0001244666
21,2,2,71,0.0000610828
17,1,1,29,0.0
6,1,2,80,0.000063632
19,1,3,95,0.0
20,1,6,235,0.0
21,1,0,0,0.0
22,1,1,23,0.0
23,1,0,0,0.0
24,1,0,0,0.0
25,1,0,0,0.0
26,1,0,0,0.0
27,1,0,0,0.0
28,1,0,0,0.0
29,1,0,0,0.0
30,1,0,0,0.0
31,1,0,0,0.0
32,1,0,0,0.0
33,1,0,0,0.0
34,1,0,0,0.0
35,1,0,0,0.0
0,2,0,0,0.0
1,2,0,0,0.0
2,2,0,0,0.0
3,2,1,1,0.0
4,2,1,74,0.0
31,11,2,69,0.0001282811
17,1,1,29,0.0000630739
20,5,3,147,0.0003079943
24,9,2,93,0.0002483969
21,2,1,33,0.0001262056
10,2,1,30,0.0
21,4,5,247,0.0001238618
13,0,2,50,0.0001317068
22,1,2,67,0.0000679288
9,0,3,98,0.0000601665
23,6,1,73,0.0000576117
27,8,3,99,0.0000642783
30,10,4,113,0.0001279958
32,10,1,28,0.0001259548
19,2,1,41,0.0
22,7,1,83,0.0001843192
7,3,2,133,0.0001280352
15,0,2,69,0.0001244544
23,2,0,0,0.0
24,2,0,0,0.0
25,2,0,0,0.0
26,2,0,0,0.0
27,2,0,0,0.0
28,2,0,0,0.0
29,2,0,0,0.0
30,2,0,0,0.0
31,2,0,0,0.0
32,2,0,0,0.0
33,2,0,0,0.0
34,2,0,0,0.0
35,2,0,0,0.0
0,3,0,0,0.0
1,3,0,0,0.0
2,3,0,0,0.0
3,3,2,43,0.0
4,3,1,81,0.0
19,5,2,91,0.0001273168
6,3,2,74,0.0
26,7,3,113,0.0000549575
15,0,2,69,0.0001781478
9,3,5,227,0.0
10,3,1,29,0.0
12,2,2,70,0.0001297493
27,12,2,106,0.0001228357
13,3,1,62,0.0
16,3,1,54,0.0001177705
15,3,3,11,0.0
16,3,1,52,0.0
18,3,4,231,0.0001244627
24,8,3,119,0.0001173595
26,6,2,27,0.0002966931
32,10,1,30,0.0001296375
21,3,1,65,0.0
19,4,2,148,0.0001290061
6,1,5,183,0.0000641705
24,3,1,6,0.0
25,3,2,43,0.0
26,3,0,0,0.0
27,3,0,0,0.0
28,3,0,0,0.0
29,3,0,0,0.0
30,3,0,0,0.0
31,3,0,0,0.0
32,3,0,0,0.0
33,3,0,0,0.0
34,3,0,0,0.0
35,3,0,0,0.0
0,4,0,0,0.0
1,4,0,0,0.0
2,4,0,0,0.0
3,4,0,0,0.0
4,4,2,29,0.0
5,4,2,17,0.0
6,4,1,2,0.0
7,4,0,0,0.0
8,4,1,85,0.0
9,4,1,51,0.0
10,4,1,50,0.0
11,4,1,6,0.0
12,4,1,18,0.0
13,4,2,16,0.0
14,4,1,15,0.0
15,4,1,9,0.0
16,4,1,7,0.0
17,4,3,96,0.0
18,4,2,144,0.0
28,13,3,127,0.0000706674
20,4,1,87,0.0
12,2,2,99,0.0000590355
11,2,2,67,0.0002428775
23,4,1,42,0.000056788
18,3,3,159,0.0000650781
5,3,3,123,0.0001294556
26,4,1,19,0.0
27,4,0,0,0.0
28,4,0,0,0.0
29,4,0,0,0.0
30,4,0,0,0.0
31,4,0,0,0.0
32,4,0,0,0.0
33,4,0,0,0.0
34,4,0,0,0.0
35,4,0,0,0.0
0,5,0,0,0.0
1,5,0,0,0.0
2,5,0,0,0.0
3,5,0,0,0.0
4,5,1,4,0.0
5,5,2,45,0.0
6,5,1,1,0.0
7,5,0,0,0.0
8,5,1,42,0.0
9,5,1,34,0.0
10,5,0,0,0.0
11,5,0,0,0.0
12,5,1,11,0.0
13,5,1,32,0.0
14,5,2,19,0.0
15,5,1,9,0.0
16,5,1,4,0.0
17,5,1,15,0.0
18,5,1,130,0.0
19,5,3,117,0.0
4,1,2,97,0.0000619297
18,0,1,41,0.0002401038
6,1,5,180,0.0000572354
19,1,2,76,0.0001929108
12,1,2,81,0.000064352
25,5,1,38,0.0
24,5,1,29,0.0001807642
7,0,3,102,0.0000656298
28,5,0,0,0.0
29,5,0,0,0.0
30,5,0,0,0.0
31,5,0,0,0.0
32,5,0,0,0.0
33,5,0,0,0.0
34,5,0,0,0.0
35,5,0,0,0.0
0,6,0,0,0.0
1,6,0,0,0.0
2,6,0,0,0.0
3,6,1,2,0.0
4,6,1,13,0.0
5,6,1,11,0.0
6,6,1,17,0.0
7,6,1,2,0.0
8,6,1,11,0.0
9,6,1,75,0.0
10,6,0,0,0.0
11,6,0,0,0.0
12,6,0,0,0.0
13,6,1,79,0.0
14,6,1,7,0.0
15,6,0,0,0.0
16,6,1,1,0.0
17,6,1,90,0.0
18,6,1,39,0.0
19,6,1,76,0.0
20,6,1,26,0.0
28,10,1,39,0.0000639811
21,5,5,232,0.0001742399
20,3,2,70,0.000134626
11,3,3,108,0.0000593125
25,8,2,85,0.0000621667
9,3,3,107,0.0001233484
8,2,1,36,0.000061431
9,3,3,176,0.0000581997
29,6,0,0,0.0
30,6,0,0,0.0
31,6,0,0,0.0
32,6,0,0,0.0
33,6,0,0,0.0
34,6,0,0,0.0
35,6,0,0,0.0
0,7,0,0,0.0
1,7,0,0,0.0
2,7,0,0,0.0
3,7,1,4,0.0
4,7,2,11,0.0
5,7,0,0,0.0
6,7,1,13,0.0
7,7,1,6,0.0
8,7,1,6,0.0
9,7,1,86,0.0
10,7,1,8,0.0
11,7,0,0,0.0
12,7,1,7,0.0
13,7,1,55,0.0
14,7,0,0,0.0
15,7,1,68,0.0
16,7,1,130,0.0
17,7,1,178,0.0
18,7,1,135,0.0
19,7,1,57,0.0
20,7,1,38,0.0
21,7,1,34,0.0
22,7,1,76,0.0
23,7,1,18,0.0
29,10,2,65,0.0001309705
19,6,2,113,0.0001850165
12,1,3,109,0.0001191033
22,2,2,69,0.0002492006
19,5,2,69,0.0004309968
5,2,1,49,0.0001235617
25,4,3,50,0.0001285921
31,7,0,0,0.0
32,7,0,0,0.0
33,7,0,0,0.0
34,7,0,0,0.0
35,7,0,0,0.0
0,8,0,0,0.0
1,8,0,0,0.0
2,8,0,0,0.0
3,8,2,21,0.0
4,8,0,0,0.0
5,8,0,0,0.0
6,8,2,10,0.0
7,8,1,15,0.0
8,8,0,0,0.0
9,8,1,58,0.0
10,8,1,53,0.0
11,8,1,5,0.0
12,8,1,45,0.0
13,8,1,20,0.0
14,8,1,20,0.0
15,8,1,226,0.0
16,8,1,24,0.0
17,8,1,4,0.0
18,8,1,12,0.0
19,8,1,14,0.0
20,8,1,10,0.0
21,8,1,10,0.0
22,8,1,15,0.0
23,8,1,19,0.0
20,1,5,179,0.0001310249
30,7,1,12,0.0000579946
17,3,3,143,0.0000612121
29,11,2,61,0.0000554811
31,11,2,47,0.0000604535
19,2,2,65,0.0000562429
18,4,5,206,0.0001237128
31,8,0,0,0.0
32,8,0,0,0.0
33,8,0,0,0.0
34,8,0,0,0.0
35,8,0,0,0.0
0,9,0,0,0.0
1,9,0,0,0.0
2,9,2,8,0.0
3,9,2,9,0.0
4,9,0,0,0.0
5,9,0,0,0.0
6,9,1,3,0.0
7,9,1,24,0.0
8,9,0,0,0.0
9,9,1,17,0.0
10,9,1,1,0.0
11,9,1,126,0.0
12,9,1,78,0.0
13,9,1,2,0.0
14,9,1,95,0.0
15,9,1,87,0.0
16,9,1,6,0.0
17,9,1,5,0.0
18,9,1,5,0.0
19,9,1,29,0.0
20,9,1,4,0.0
21,9,1,3,0.0
22,9,1,10,0.0
23,9,1,7,0.0
24,9,1,60,0.0
25,9,1,15,0.0
21,5,2,80,0.0000584652
27,9,1,17,0.0
6,0,4,111,0.0000645242
6,3,1,24,0.0002619825
30,10,3,94,0.0000647084
17,0,2,67,0.0003164647
32,9,0,0,0.0
33,9,0,0,0.0
