grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_retour
0,0,0,0,0.0
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,0,0,0.0
5,0,2,151,0.0
6,0,1,1,0.0
7,0,3,269,0.0
8,0,1,83,0.0
9,0,1,100,0.0
24,3,1,64,0.0004952367
26,7,3,196,0.0022766331
29,9,3,148,0.0008502512
13,0,2,134,0.0
14,0,2,139,0.0
15,0,2,161,0.0
16,0,1,2,0.0
17,0,1,69,0.0
18,0,0,0,0.0
19,0,0,0,0.0
20,0,0,0,0.0
21,0,0,0,0.0
22,0,0,0,0.0
23,0,0,0,0.0
24,0,0,0,0.0
25,0,0,0,0.0
26,0,0,0,0.0
27,0,0,0,0.0
28,0,0,0,0.0
29,0,0,0,0.0
30,0,0,0,0.0
31,0,0,0,0.0
32,0,0,0,0.0
33,0,0,0,0.0
34,0,0,0,0.0
35,0,0,0,0.0
0,1,0,0,0.0
1,1,0,0,0.0
2,1,0,0,0.0
3,1,0,0,0.0
4,1,3,249,0.0
25,9,2,166,0.0004438622
24,4,1,43,0.0004445247
14,0,3,226,0.0013366782
30,12,3,202,0.0025940727
27,8,2,117,0.0008601251
10,1,1,12,0.0
8,3,2,236,0.0004607789
26,8,2,131,0.0009610374
13,1,1,36,0.0
26,6,1,41,0.0013199918
31,12,2,171,0.0014495547
26,9,3,132,0.0004482104
20,2,4,301,0.0004450947
28,10,3,158,0.0008461022
19,1,1,28,0.0
20,1,1,43,0.0
21,1,0,0,0.0
22,1,0,0,0.0
23,1,0,0,0.0
24,1,0,0,0.0
25,1,0,0,0.0
26,1,0,0,0.0
27,1,0,0,0.0
28,1,0,0,0.0
29,1,0,0,0.0
30,1,0,0,0.0
31,1,0,0,0.0
32,1,0,0,0.0
33,1,0,0,0.0
34,1,0,0,0.0
35,1,0,0,0.0
0,2,0,0,0.0
1,2,0,0,0.0
2,2,0,0,0.0
3,2,0,0,0.0
4,2,1,4,0.0
21,2,3,207,0.0008925449
19,3,4,263,0.0009016567
5,2,2,182,0.0013124372
15,2,1,83,0.0009417152
23,2,3,174,0.0004493976
10,2,2,201,0.0
29,12,3,194,0.0004610287
8,3,1,157,0.0027750192
17,2,3,243,0.0004392481
10,4,2,266,0.0004418579
15,2,2,171,0.0
21,5,2,186,0.0004252705
4,1,2,151,0.0009168441
19,2,3,174,0.0013865951
8,2,1,126,0.0009258123
22,3,3,249,0.0014003391
9,3,1,143,0.0009266372
22,2,1,75,0.0
23,2,2,107,0.0
24,2,0,0,0.0
25,2,0,0,0.0
26,2,0,0,0.0
27,2,0,0,0.0
28,2,0,0,0.0
29,2,0,0,0.0
30,2,0,0,0.0
31,2,0,0,0.0
32,2,0,0,0.0
33,2,0,0,0.0
34,2,0,0,0.0
35,2,0,0,0.0
0,3,0,0,0.0
1,3,0,0,0.0
2,3,0,0,0.0
3,3,0,0,0.0
4,3,1,5,0.0
24,4,1,86,0.0004455061
31,11,2,135,0.0009179485
5,2,1,95,0.0008860701
12,1,1,125,0.000440399
9,3,1,93,0.0
28,9,1,4,0.000451761
20,1,2,97,0.0004508856
30,12,1,104,0.0013794313
27,7,2,137,0.0004198076
14,3,1,95,0.0
15,3,3,284,0.0
16,3,1,45,0.0
5,0,2,154,0.0022765722
30,6,1,68,0.0019363389
28,6,2,86,0.0008943791
21,2,3,210,0.0026976304
25,4,3,201,0.0008684612
12,1,2,154,0.0008862047
31,12,2,154,0.0009174232
24,3,2,127,0.0
25,3,1,3,0.0
26,3,1,3,0.0
27,3,0,0,0.0
28,3,0,0,0.0
29,3,0,0,0.0
30,3,0,0,0.0
31,3,0,0,0.0
32,3,0,0,0.0
33,3,0,0,0.0
34,3,0,0,0.0
35,3,0,0,0.0
0,4,0,0,0.0
1,4,0,0,0.0
2,4,0,0,0.0
3,4,0,0,0.0
4,4,1,10,0.0
5,4,2,2,0.0
6,4,1,96,0.0
7,4,1,21,0.0
8,4,1,44,0.0
9,4,1,53,0.0
10,4,2,193,0.0
11,4,1,3,0.0
12,4,1,8,0.0
13,4,1,17,0.0
14,4,1,45,0.0
15,4,1,28,0.0
16,4,1,18,0.0
17,4,1,64,0.0
18,4,2,167,0.0
24,7,2,140,0.0004572232
15,3,2,231,0.0017707849
21,4,2,194,0.0
20,2,4,306,0.0012695334
19,3,2,174,0.0004711335
25,9,3,264,0.0004417247
27,9,3,171,0.000430595
26,4,4,261,0.0
27,4,1,39,0.0
28,4,0,0,0.0
29,4,0,0,0.0
30,4,0,0,0.0
31,4,0,0,0.0
32,4,0,0,0.0
33,4,0,0,0.0
34,4,0,0,0.0
35,4,0,0,0.0
0,5,0,0,0.0
1,5,0,0,0.0
2,5,0,0,0.0
3,5,0,0,0.0
4,5,1,4,0.0
5,5,1,6,0.0
6,5,1,13,0.0
7,5,1,2,0.0
8,5,1,71,0.0
9,5,1,63,0.0
10,5,2,6,0.0
11,5,2,7,0.0
12,5,1,21,0.0
13,5,1,26,0.0
14,5,2,24,0.0
15,5,1,54,0.0
16,5,1,35,0.0
17,5,1,23,0.0
18,5,1,17,0.0
19,5,1,17,0.0
25,5,1,86,0.0032667623
22,7,2,210,0.0009818863
14,0,3,228,0.0004599191
28,12,1,87,0.0009241043
29,9,2,65,0.0008969675
22,3,3,241,0.0004550889
23,2,3,174,0.00087489
27,5,2,144,0.0
28,5,2,40,0.0
29,5,0,0,0.0
30,5,0,0,0.0
31,5,0,0,0.0
32,5,0,0,0.0
33,5,0,0,0.0
34,5,0,0,0.0
35,5,0,0,0.0
0,6,0,0,0.0
1,6,0,0,0.0
2,6,0,0,0.0
3,6,0,0,0.0
4,6,1,3,0.0
5,6,1,14,0.0
6,6,1,114,0.0
7,6,1,74,0.0
8,6,1,156,0.0
9,6,0,0,0.0
10,6,0,0,0.0
11,6,0,0,0.0
12,6,1,39,0.0
13,6,1,38,0.0
14,6,1,22,0.0
15,6,1,44,0.0
16,6,1,16,0.0
17,6,1,10,0.0
18,6,1,11,0.0
19,6,1,10,0.0
20,6,1,16,0.0
22,7,3,276,0.0004111571
17,1,1,62,0.0008966065
17,1,2,144,0.0019162314
7,1,2,133,0.0004291523
31,10,2,136,0.0004447181
5,2,2,184,0.0004800972
7,2,1,111,0.0009907587
15,0,2,161,0.0009378471
29,6,1,1,0.0
30,6,1,69,0.0
31,6,0,0,0.0
32,6,0,0,0.0
33,6,0,0,0.0
34,6,0,0,0.0
35,6,0,0,0.0
0,7,0,0,0.0
1,7,0,0,0.0
2,7,0,0,0.0
3,7,1,4,0.0
4,7,1,33,0.0
5,7,1,121,0.0
6,7,0,0,0.0
7,7,1,19,0.0
8,7,1,51,0.0
9,7,0,0,0.0
10,7,0,0,0.0
11,7,1,9,0.0
12,7,1,88,0.0
13,7,1,6,0.0
14,7,1,17,0.0
15,7,1,24,0.0
16,7,1,13,0.0
17,7,1,11,0.0
18,7,1,9,0.0
19,7,1,11,0.0
20,7,1,20,0.0
21,7,1,137,0.0
22,7,2,209,0.0
8,2,3,242,0.00091606
26,4,3,170,0.0004250687
6,3,3,278,0.0017982613
7,0,2,180,0.0004845179
21,4,2,194,0.0012702179
6,4,2,195,0.0009744915
6,2,2,182,0.000473286
26,3,2,38,0.0004699955
31,7,0,0,0.0
32,7,0,0,0.0
33,7,0,0,0.0
34,7,0,0,0.0
35,7,0,0,0.0
0,8,0,0,0.0
1,8,1,5,0.0
2,8,1,13,0.0
3,8,1,93,0.0
4,8,1,60,0.0
5,8,1,2,0.0
6,8,1,1,0.0
7,8,1,15,0.0
8,8,1,96,0.0
9,8,1,18,0.0
10,8,1,17,0.0
11,8,1,31,0.0
12,8,1,41,0.0
13,8,1,14,0.0
14,8,1,119,0.0
15,8,1,48,0.0
16,8,1,38,0.0
17,8,1,33,0.0
18,8,1,32,0.0
19,8,1,27,0.0
20,8,1,99,0.0
21,8,1,42,0.0
22,8,1,20,0.0
23,8,2,162,0.0
31,10,1,42,0.0004195546
30,8,1,25,0.0004244443
27,12,1,108,0.0008805522
23,8,2,164,0.0004239604
22,6,2,154,0.0013867995
16,2,2,146,0.0009871629
11,1,3,253,0.0018167942
31,8,0,0,0.0
32,8,0,0,0.0
33,8,0,0,0.0
34,8,0,0,0.0
35,8,0,0,0.0
0,9,1,1,0.0
1,9,1,20,0.0
2,9,1,52,0.0
3,9,1,33,0.0
4,9,1,1,0.0
5,9,1,2,0.0
6,9,1,37,0.0
7,9,1,22,0.0
8,9,1,64,0.0
9,9,1,6,0.0
10,9,1,4,0.0
11,9,1,45,0.0
12,9,1,53,0.0
13,9,1,24,0.0
14,9,1,45,0.0
15,9,1,25,0.0
16,9,1,20,0.0
17,9,1,16,0.0
18,9,1,18,0.0
19,9,1,24,0.0
20,9,1,50,0.0
21,9,1,46,0.0
22,9,1,31,0.0
23,9,1,31,0.0
24,9,1,24,0.0
25,9,3,264,0.0
26,9,1,47,0.000437762
27,9,5,293,0.0
27,9,3,162,0.0004440298
15,1,1,62,0.0004510933
22,5,3,260,0.0009638031
7,3,2,172,0.0004654772
32,9,1,65,0.0
33,9,0,0,0.0
