grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_aller
0,0,0,0,0.0
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,1,1,0.0
5,0,0,0,0.0
6,0,1,3,0.0
7,0,0,0,0.0
8,0,1,1,0.0
9,0,1,4,0.0
4,3,1,6,0.538098665
25,8,1,10,0.5141632189
24,8,1,10,0.262151224
13,0,1,1,0.0
14,0,1,5,0.0
15,0,0,0,0.0
16,0,0,0,0.0
17,0,0,0,0.0
18,0,0,0,0.0
19,0,0,0,0.0
20,0,0,0,0.0
21,0,0,0,0.0
22,0,0,0,0.0
23,0,0,0,0.0
24,0,0,0,0.0
25,0,0,0,0.0
26,0,0,0,0.0
27,0,0,0,0.0
28,0,0,0,0.0
29,0,0,0,0.0
30,0,0,0,0.0
31,0,0,0,0.0
32,0,0,0,0.0
33,0,0,0,0.0
34,0,0,0,0.0
35,0,0,0,0.0
0,1,0,0,0.0
1,1,0,0,0.0
2,1,0,0,0.0
3,1,0,0,0.0
4,1,1,3,0.0
5,1,1,3,0.0
29,10,1,5,0.7506495189
28,7,1,3,0.25198229
12,3,2,2,0.002122241
26,8,1,38,0.2799608858
10,1,1,15,0.0
22,4,2,9,0.256655841
23,3,2,5,0.2562663784
7,2,1,13,0.0023796824
32,11,1,3,0.5109749065
4,0,1,2,0.2565205193
21,4,3,27,0.261329392
18,4,1,4,0.0041751709
14,1,1,6,0.7575047205
19,1,1,3,0.0
20,1,1,2,0.0
21,1,1,1,0.0
22,1,0,0,0.0
23,1,0,0,0.0
24,1,0,0,0.0
25,1,0,0,0.0
26,1,0,0,0.0
27,1,0,0,0.0
28,1,0,0,0.0
29,1,0,0,0.0
30,1,0,0,0.0
31,1,0,0,0.0
32,1,0,0,0.0
33,1,0,0,0.0
34,1,0,0,0.0
35,1,0,0,0.0
0,2,0,0,0.0
1,2,0,0,0.0
2,2,0,0,0.0
3,2,0,0,0.0
4,2,1,7,0.0
10,3,4,23,0.0021651479
5,1,1,2,0.2637849866
16,3,1,4,0.0021090389
15,2,2,38,0.2677324209
9,2,3,3,0.0
28,5,2,6,0.5203220085
30,12,1,27,0.2824890921
23,5,1,6,0.256655841
8,2,2,2,0.2966582689
25,7,1,9,0.2582136913
20,2,1,4,0.2418562629
32,12,1,3,0.2391300249
22,7,1,54,0.2815814462
9,2,2,2,0.0021486453
19,6,1,8,0.5558786219
21,5,2,34,0.2554346448
21,2,1,3,0.0
22,2,1,4,0.0
23,2,0,0,0.0
24,2,0,0,0.0
25,2,0,0,0.0
26,2,0,0,0.0
27,2,0,0,0.0
28,2,0,0,0.0
29,2,0,0,0.0
30,2,0,0,0.0
31,2,0,0,0.0
32,2,0,0,0.0
33,2,0,0,0.0
34,2,0,0,0.0
35,2,0,0,0.0
0,3,0,0,0.0
1,3,0,0,0.0
2,3,0,0,0.0
3,3,0,0,0.0
4,3,1,7,0.0
32,12,1,8,0.7629571966
12,2,3,3,0.7790835879
32,12,2,12,0.7523855979
27,9,1,5,0.2578968404
21,5,2,11,0.2823603714
7,1,1,2,0.4883860768
13,2,4,4,1.0010277512
8,0,1,2,0.5254147268
27,9,1,6,0.0044029075
26,5,3,5,1.2709022163
15,3,1,31,0.0
16,3,2,2,0.0
17,3,1,6,0.0
23,5,1,5,0.5117538317
12,3,2,2,0.2497577326
11,4,1,1,0.2662141769
21,6,2,22,0.2512033649
14,0,1,4,0.5257744846
6,3,1,6,0.4969542536
24,3,1,2,0.0
25,3,0,0,0.0
26,3,0,0,0.0
27,3,0,0,0.0
28,3,0,0,0.0
29,3,0,0,0.0
30,3,0,0,0.0
31,3,0,0,0.0
32,3,0,0,0.0
33,3,0,0,0.0
34,3,0,0,0.0
35,3,0,0,0.0
0,4,0,0,0.0
1,4,0,0,0.0
2,4,0,0,0.0
3,4,0,0,0.0
4,4,1,5,0.0
5,4,1,9,0.0
6,4,1,12,0.0
7,4,1,10,0.0
8,4,2,4,0.0
9,4,1,4,0.0
10,4,1,30,0.0
11,4,1,1,0.0
12,4,0,0,0.0
13,4,0,0,0.0
14,4,1,18,0.0
15,4,1,8,0.0
16,4,0,0,0.0
17,4,1,4,0.0
18,4,1,4,0.0
16,1,1,2,0.2586031539
31,10,1,5,0.2987177998
21,4,2,27,0.0
30,10,3,6,0.2523717526
14,1,1,17,0.2597715417
20,4,1,12,0.2558769159
28,10,1,13,0.7829254052
26,4,0,0,0.0
27,4,0,0,0.0
28,4,0,0,0.0
29,4,0,0,0.0
30,4,0,0,0.0
31,4,0,0,0.0
32,4,0,0,0.0
33,4,0,0,0.0
34,4,0,0,0.0
35,4,0,0,0.0
0,5,0,0,0.0
1,5,0,0,0.0
2,5,0,0,0.0
3,5,0,0,0.0
4,5,1,5,0.0
5,5,1,19,0.0
6,5,2,7,0.0
7,5,2,6,0.0
8,5,1,9,0.0
9,5,1,12,0.0
10,5,3,20,0.0
11,5,0,0,0.0
12,5,0,0,0.0
13,5,0,0,0.0
14,5,1,29,0.0
15,5,0,0,0.0
16,5,1,6,0.0
17,5,0,0,0.0
18,5,1,2,0.0
19,5,1,4,0.0
20,5,3,31,0.0
7,3,1,16,0.5055587362
24,8,1,8,0.2519492847
6,2,1,1,0.2522529335
10,1,2,16,0.2601610042
29,9,1,10,0.7427909562
27,8,1,14,0.2792446707
31,12,2,16,0.5222693214
28,5,2,2,0.0
29,5,0,0,0.0
30,5,0,0,0.0
31,5,0,0,0.0
32,5,0,0,0.0
33,5,0,0,0.0
34,5,0,0,0.0
35,5,0,0,0.0
0,6,0,0,0.0
1,6,0,0,0.0
2,6,0,0,0.0
3,6,0,0,0.0
4,6,1,4,0.0
5,6,1,17,0.0
6,6,2,6,0.0
7,6,1,6,0.0
8,6,1,6,0.0
9,6,2,13,0.0
10,6,1,14,0.0
11,6,0,0,0.0
12,6,0,0,0.0
13,6,1,6,0.0
14,6,3,18,0.0
15,6,1,1,0.0
16,6,1,3,0.0
17,6,1,1,0.0
18,6,1,2,0.0
19,6,1,10,0.0
20,6,1,51,0.0
28,13,1,9,0.505911893
12,3,2,2,0.004300591
27,7,2,13,0.771914836
27,7,1,17,0.2512033649
25,9,2,18,0.00211564
27,5,2,4,0.2305618481
25,7,1,10,0.5080209319
30,11,1,12,0.2730132694
29,6,0,0,0.0
30,6,1,1,0.0
31,6,0,0,0.0
32,6,0,0,0.0
33,6,0,0,0.0
34,6,0,0,0.0
35,6,0,0,0.0
0,7,0,0,0.0
1,7,0,0,0.0
2,7,0,0,0.0
3,7,0,0,0.0
4,7,1,5,0.0
5,7,1,11,0.0
6,7,3,12,0.0
7,7,1,6,0.0
8,7,1,6,0.0
9,7,1,16,0.0
10,7,2,14,0.0
11,7,0,0,0.0
12,7,0,0,0.0
13,7,1,19,0.0
14,7,3,9,0.0
15,7,1,4,0.0
16,7,0,0,0.0
17,7,1,3,0.0
18,7,1,3,0.0
19,7,1,41,0.0
20,7,1,12,0.0
21,7,1,5,0.0
22,7,1,58,0.0
9,3,1,3,0.2695081062
15,2,2,37,0.0023862834
25,6,2,4,0.5031856549
19,5,1,8,0.5221009944
10,1,3,12,0.2767461693
19,2,1,4,1.0388089221
9,2,2,2,0.5084202961
30,7,2,2,0.0
31,7,0,0,0.0
32,7,0,0,0.0
33,7,0,0,0.0
34,7,0,0,0.0
35,7,0,0,0.0
0,8,0,0,0.0
1,8,0,0,0.0
2,8,0,0,0.0
3,8,0,0,0.0
4,8,1,5,0.0
5,8,1,12,0.0
6,8,1,11,0.0
7,8,1,7,0.0
8,8,1,11,0.0
9,8,1,18,0.0
10,8,1,15,0.0
11,8,0,0,0.0
12,8,1,3,0.0
13,8,3,17,0.0
14,8,2,9,0.0
15,8,1,3,0.0
16,8,1,1,0.0
17,8,1,2,0.0
18,8,1,23,0.0
19,8,2,35,0.0
20,8,1,3,0.0
21,8,1,6,0.0
22,8,3,41,0.0
23,8,1,20,0.0
6,3,2,13,0.2605504668
30,10,1,6,0.2570288009
19,1,1,2,0.2589926165
30,8,4,8,0.2582136913
21,4,2,18,0.264217356
4,2,1,1,0.5291509272
31,11,2,7,0.7956720534
31,8,1,2,0.0
32,8,0,0,0.0
33,8,0,0,0.0
34,8,0,0,0.0
35,8,0,0,0.0
0,9,0,0,0.0
1,9,0,0,0.0
2,9,0,0,0.0
3,9,0,0,0.0
4,9,1,5,0.0
5,9,1,11,0.0
6,9,2,12,0.0
7,9,1,5,0.0
8,9,2,16,0.0
9,9,1,11,0.0
10,9,1,13,0.0
11,9,0,0,0.0
12,9,1,13,0.0
13,9,1,13,0.0
14,9,1,6,0.0
15,9,0,0,0.0
16,9,1,2,0.0
17,9,1,10,0.0
18,9,1,35,0.0
19,9,1,12,0.0
20,9,1,5,0.0
21,9,3,44,0.0
22,9,1,15,0.0
23,9,1,14,0.0
24,9,1,10,0.0
25,9,1,27,0.0
26,9,1,19,0.0
13,3,1,1,0.274864867
21,4,2,47,0.4969542536
29,9,1,9,0.0
31,10,1,3,0.7617888088
26,9,1,24,0.8017351277
32,9,0,0,0.0
33,9,0,0,0.0
34,9,0,0,0.0
