grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_retour
0,0,0,0,0.0
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,1,35,0.0
5,0,0,0,0.0
6,0,2,55,0.0
7,0,0,0,0.0
8,0,1,29,0.0
9,0,1,21,0.0
4,3,2,90,1.4287731839
25,8,1,9,1.3873152222
24,8,1,15,0.7029997623
13,0,1,5,0.0
14,0,2,32,0.0
15,0,0,0,0.0
16,0,0,0,0.0
17,0,0,0,0.0
18,0,0,0,0.0
19,0,0,0,0.0
20,0,0,0,0.0
21,0,0,0,0.0
22,0,0,0,0.0
23,0,0,0,0.0
24,0,0,0,0.0
25,0,0,0,0.0
26,0,0,0,0.0
27,0,0,0,0.0
28,0,0,0,0.0
29,0,0,0,0.0
30,0,0,0,0.0
31,0,0,0,0.0
32,0,0,0,0.0
33,0,0,0,0.0
34,0,0,0,0.0
35,0,0,0,0.0
0,1,0,0,0.0
1,1,0,0,0.0
2,1,0,0,0.0
3,1,0,0,0.0
4,1,1,2,0.0
5,1,1,32,0.0
29,10,1,8,1.9863977864
28,7,1,29,0.674912249
12,3,1,11,0.002122241
26,8,1,15,0.7408106379
10,1,4,149,0.0
22,4,2,53,0.6788860875
23,3,3,67,0.6882529927
7,2,1,2,0.0023796824
32,11,2,52,1.3436558068
4,0,1,35,0.6931344771
21,4,5,128,0.7041252431
18,4,1,28,0.0041751709
14,1,1,34,2.0465796568
19,1,1,27,0.0
20,1,1,37,0.0
21,1,1,19,0.0
22,1,0,0,0.0
23,1,0,0,0.0
24,1,0,0,0.0
25,1,0,0,0.0
26,1,0,0,0.0
27,1,0,0,0.0
28,1,0,0,0.0
29,1,0,0,0.0
30,1,0,0,0.0
31,1,0,0,0.0
32,1,0,0,0.0
33,1,0,0,0.0
34,1,0,0,0.0
35,1,0,0,0.0
0,2,0,0,0.0
1,2,0,0,0.0
2,2,0,0,0.0
3,2,0,0,0.0
4,2,1,34,0.0
10,3,0,0,0.0021651479
5,1,1,31,0.6851339915
16,3,2,4,0.0021090389
15,2,1,3,0.7178521488
9,2,1,5,0.0
28,5,4,124,1.3880644426
30,12,2,49,0.7569535319
23,5,2,70,0.690632675
8,2,0,0,0.2966582689
25,7,2,70,0.7073993692
20,2,1,32,0.6365699879
32,12,2,68,0.6398342124
22,7,5,146,0.7326715301
9,2,1,14,0.0021486453
19,6,1,16,1.4936583101
21,5,4,100,0.6833781093
21,2,1,2,0.0
22,2,3,61,0.0
23,2,0,0,0.0
24,2,0,0,0.0
25,2,0,0,0.0
26,2,0,0,0.0
27,2,0,0,0.0
28,2,0,0,0.0
29,2,0,0,0.0
30,2,0,0,0.0
31,2,0,0,0.0
32,2,0,0,0.0
33,2,0,0,0.0
34,2,0,0,0.0
35,2,0,0,0.0
0,3,0,0,0.0
1,3,0,0,0.0
2,3,0,0,0.0
3,3,0,0,0.0
4,3,2,89,0.0
32,12,4,115,2.0543094989
12,2,1,8,2.078083219
32,12,5,101,2.0015142154
27,9,1,10,0.688510434
21,5,2,48,0.7580427069
7,1,1,27,1.3036170731
13,2,1,37,2.6938466636
8,0,1,29,1.4112275646
27,9,2,12,0.0044029075
26,5,2,32,3.4316472179
15,3,1,3,0.0
16,3,1,4,0.0
17,3,1,2,0.0
23,5,2,68,1.3889390832
12,3,1,11,0.6561289308
11,4,1,10,0.7169940109
21,6,3,74,0.6742158371
14,0,1,17,1.4098974509
6,3,2,64,1.3303711721
24,3,1,17,0.0
25,3,0,0,0.0
26,3,0,0,0.0
27,3,0,0,0.0
28,3,0,0,0.0
29,3,0,0,0.0
30,3,0,0,0.0
31,3,0,0,0.0
32,3,0,0,0.0
33,3,0,0,0.0
34,3,0,0,0.0
35,3,0,0,0.0
0,4,0,0,0.0
1,4,0,0,0.0
2,4,0,0,0.0
3,4,0,0,0.0
4,4,1,7,0.0
5,4,2,4,0.0
6,4,1,14,0.0
7,4,1,2,0.0
8,4,2,67,0.0
9,4,1,14,0.0
10,4,1,2,0.0
11,4,1,9,0.0
12,4,1,11,0.0
13,4,1,7,0.0
14,4,1,3,0.0
15,4,1,1,0.0
16,4,1,5,0.0
17,4,2,3,0.0
18,4,1,28,0.0
16,1,1,29,0.69165914
31,10,2,42,0.7899258301
21,4,5,128,0.0
30,10,3,80,0.6717602425
14,1,1,35,0.6883652107
20,4,1,38,0.6857148848
28,10,1,9,2.1033289757
26,4,0,0,0.0
27,4,0,0,0.0
28,4,0,0,0.0
29,4,0,0,0.0
30,4,0,0,0.0
31,4,0,0,0.0
32,4,0,0,0.0
33,4,0,0,0.0
34,4,0,0,0.0
35,4,0,0,0.0
0,5,0,0,0.0
1,5,0,0,0.0
2,5,0,0,0.0
3,5,0,0,0.0
4,5,1,8,0.0
5,5,2,4,0.0
6,5,1,14,0.0
7,5,1,1,0.0
8,5,1,7,0.0
9,5,1,15,0.0
10,5,1,2,0.0
11,5,1,10,0.0
12,5,1,11,0.0
13,5,1,4,0.0
14,5,1,4,0.0
15,5,1,5,0.0
16,5,1,3,0.0
17,5,1,4,0.0
18,5,2,14,0.0
19,5,1,8,0.0
20,5,1,20,0.0
7,3,2,76,1.3693867414
24,8,1,16,0.6803284193
6,2,1,6,0.6821800168
10,1,4,152,0.7019534941
29,9,1,10,1.9884606179
27,8,1,46,0.7397247635
31,12,5,97,1.3924673501
28,5,2,73,0.0
29,5,0,0,0.0
30,5,0,0,0.0
31,5,0,0,0.0
32,5,0,0,0.0
33,5,0,0,0.0
34,5,0,0,0.0
35,5,0,0,0.0
0,6,0,0,0.0
1,6,0,0,0.0
2,6,0,0,0.0
3,6,0,0,0.0
4,6,1,7,0.0
5,6,1,6,0.0
6,6,1,12,0.0
7,6,1,2,0.0
8,6,3,6,0.0
9,6,1,13,0.0
10,6,1,4,0.0
11,6,1,11,0.0
12,6,1,9,0.0
13,6,1,6,0.0
14,6,1,1,0.0
15,6,1,7,0.0
16,6,2,4,0.0
17,6,1,7,0.0
18,6,1,8,0.0
19,6,2,17,0.0
20,6,1,20,0.0
28,13,1,56,1.3619803513
12,3,1,11,0.004300591
27,7,1,36,2.0774099108
27,7,3,70,0.6638686744
25,9,1,15,0.00211564
27,5,2,50,0.6227044599
25,7,2,72,1.3427778657
30,11,1,41,0.7359885631
29,6,0,0,0.0
30,6,1,4,0.0
31,6,0,0,0.0
32,6,0,0,0.0
33,6,0,0,0.0
34,6,0,0,0.0
35,6,0,0,0.0
0,7,0,0,0.0
1,7,0,0,0.0
2,7,0,0,0.0
3,7,0,0,0.0
4,7,1,7,0.0
5,7,1,8,0.0
6,7,1,13,0.0
7,7,1,3,0.0
8,7,1,8,0.0
9,7,1,11,0.0
10,7,1,8,0.0
11,7,1,10,0.0
12,7,1,10,0.0
13,7,1,4,0.0
14,7,1,2,0.0
15,7,1,5,0.0
16,7,1,6,0.0
17,7,2,10,0.0
18,7,3,14,0.0
19,7,1,17,0.0
20,7,1,16,0.0
21,7,1,47,0.0
22,7,4,116,0.0
9,3,1,58,0.7224101813
15,2,1,3,0.0023862834
25,6,2,66,1.3498509022
19,5,2,8,1.387618871
10,1,3,111,0.727499599
19,2,1,3,2.756150775
9,2,1,4,1.3818363418
30,7,2,28,0.0
31,7,0,0,0.0
32,7,0,0,0.0
33,7,0,0,0.0
34,7,0,0,0.0
35,7,0,0,0.0
0,8,0,0,0.0
1,8,0,0,0.0
2,8,0,0,0.0
3,8,0,0,0.0
4,8,1,6,0.0
5,8,1,8,0.0
6,8,1,12,0.0
7,8,1,3,0.0
8,8,1,13,0.0
9,8,1,8,0.0
10,8,1,10,0.0
11,8,1,12,0.0
12,8,1,8,0.0
13,8,1,4,0.0
14,8,1,5,0.0
15,8,1,7,0.0
16,8,1,4,0.0
17,8,1,13,0.0
18,8,1,23,0.0
19,8,1,17,0.0
20,8,1,18,0.0
21,8,1,19,0.0
22,8,1,11,0.0
23,8,1,10,0.0
6,3,3,104,0.7042638654
30,10,3,79,0.6809159137
19,1,1,26,0.6865763232
30,8,4,57,0.7049206709
21,4,4,111,0.7098648654
4,2,1,3,1.398434709
31,11,2,68,2.151599232
31,8,1,5,0.0
32,8,0,0,0.0
33,8,0,0,0.0
34,8,0,0,0.0
35,8,0,0,0.0
0,9,0,0,0.0
1,9,0,0,0.0
2,9,0,0,0.0
3,9,0,0,0.0
4,9,1,6,0.0
5,9,1,10,0.0
6,9,1,10,0.0
7,9,1,4,0.0
8,9,1,12,0.0
9,9,2,6,0.0
10,9,1,11,0.0
11,9,1,11,0.0
12,9,1,6,0.0
13,9,1,6,0.0
14,9,1,5,0.0
15,9,1,6,0.0
16,9,1,7,0.0
17,9,2,19,0.0
18,9,1,17,0.0
19,9,1,17,0.0
20,9,2,16,0.0
21,9,1,19,0.0
22,9,1,5,0.0
23,9,1,16,0.0
24,9,1,15,0.0
25,9,1,13,0.0
26,9,1,15,0.0
13,3,1,10,0.7485272779
21,4,3,77,1.3231001038
29,9,1,8,0.0
31,10,2,41,2.0279679662
26,9,1,12,2.14050945
32,9,0,0,0.0
33,9,0,0,0.0
34,9,0,0,0.0
