grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_retour
0,0,0,0,0.0
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,2,62,0.0
5,0,1,29,0.0000003687
6,0,1,24,0.0000000303
7,0,1,32,0.0000010767
8,0,1,30,0.0000000196
9,0,3,88,0.0000000567
4,0,2,63,0.0000004339
25,7,3,87,0.000000029
30,7,3,63,0.0000012118
13,0,2,37,0.0000000003
14,0,1,28,-0.0000004053
15,0,0,0,0.0
16,0,0,0,0.0
17,0,0,0,0.0
18,0,0,0,0.0
19,0,0,0,0.0
20,0,0,0,0.0
21,0,0,0,0.0
22,0,0,0,0.0
23,0,0,0,0.0
24,0,0,0,0.0
25,0,0,0,0.0
26,0,0,0,0.0
27,0,0,0,0.0
28,0,0,0,0.0
29,0,0,0,0.0
30,0,0,0,0.0
31,0,0,0,0.0
32,0,0,0,0.0
33,0,0,0,0.0
34,0,0,0,0.0
35,0,0,0,0.0
0,1,0,0,0.0
1,1,0,0,0.0
2,1,0,0,0.0
3,1,0,0,0.0
4,1,1,4,0.0000000016
18,4,1,52,-0.0000004765
19,4,1,48,0.0000020628
9,3,2,77,0.0000010417
11,0,2,62,0.0000002882
9,1,3,117,0.00000022
9,3,3,115,0.0000017839
22,3,2,51,0.000002606
12,1,1,37,0.0000000123
5,3,4,103,0.0000002453
30,10,2,30,0.0000014926
20,2,2,36,0.0000012505
28,9,4,103,0.0000018684
21,3,2,61,-0.0000006646
12,1,1,37,-0.0000003315
19,1,2,55,0.0000000026
20,1,1,29,0.0000000111
21,1,2,55,-0.0000002475
22,1,0,0,0.0
23,1,0,0,0.0
24,1,0,0,0.0
25,1,0,0,0.0
26,1,0,0,0.0
27,1,0,0,0.0
28,1,0,0,0.0
29,1,0,0,0.0
30,1,0,0,0.0
31,1,0,0,0.0
32,1,0,0,0.0
33,1,0,0,0.0
34,1,0,0,0.0
35,1,0,0,0.0
0,2,0,0,0.0
1,2,0,0,0.0
2,2,0,0,0.0
3,2,0,0,0.0
4,2,2,85,0.0000000037
5,2,1,47,0.0000000073
5,3,4,120,0.0000027737
7,2,1,7,0.0000000253
8,2,1,3,0.0000000092
30,10,1,28,0.00000075
10,2,4,131,0.0000000148
20,4,1,28,0.0000022013
26,5,1,18,-0.0000013055
17,2,2,47,0.0000007216
25,6,1,37,-0.0000000006
23,2,3,79,0.0000002024
13,0,2,37,-0.0000002015
30,9,2,61,-0.0000001386
18,2,1,1,-0.0000000014
30,6,1,4,-0.0000000538
14,2,2,65,0.000000735
21,2,1,5,0.0000005203
9,1,4,150,0.0000017789
23,2,2,64,-0.000000013
24,2,0,0,0.0
25,2,0,0,0.0
26,2,0,0,0.0
27,2,0,0,0.0
28,2,0,0,0.0
29,2,0,0,0.0
30,2,0,0,0.0
31,2,0,0,0.0
32,2,0,0,0.0
33,2,0,0,0.0
34,2,0,0,0.0
35,2,0,0,0.0
0,3,0,0,0.0
1,3,0,0,0.0
2,3,0,0,0.0
3,3,0,0,0.0
4,3,1,3,0.0000000177
20,1,1,28,0.0000014057
26,6,2,52,0.0000004488
26,9,2,80,0.0000012362
8,0,1,31,0.0000012982
5,0,1,29,0.0000012681
19,2,1,42,0.0000014708
17,3,4,114,0.0000030521
12,3,1,8,-0.0000001976
13,3,3,86,-0.0000001558
27,12,3,123,0.0000007151
15,3,0,0,0.0
16,3,1,1,0.0000001143
19,1,1,33,0.0000020521
27,8,3,88,0.0000007726
26,8,4,140,0.0000007596
5,2,2,69,-0.0000005564
21,3,2,60,0.0000000314
21,1,2,57,0.0000040445
17,3,4,114,-0.0000006463
24,3,1,23,0.0000000199
25,3,2,45,0.0000000036
26,3,0,0,0.0
27,3,0,0,0.0
28,3,0,0,0.0
29,3,0,0,0.0
30,3,0,0,0.0
31,3,0,0,0.0
32,3,0,0,0.0
33,3,0,0,0.0
34,3,0,0,0.0
35,3,0,0,0.0
0,4,0,0,0.0
1,4,0,0,0.0
2,4,0,0,0.0
3,4,0,0,0.0
4,4,1,4,0.0000000035
5,4,1,20,0.0000000057
6,4,1,11,-0.0000000003
7,4,1,6,0.0000001923
8,4,1,11,0.0000000157
9,4,1,55,0.0000000085
10,4,1,19,-0.0000000028
11,4,1,13,0.0000000417
12,4,1,54,0.0000000239
13,4,1,7,0.0000000086
14,4,1,6,0.0000000891
15,4,0,0,0.0
16,4,1,12,0.0000000721
17,4,2,59,0.0000000152
18,4,3,117,-0.0000000031
9,4,2,86,0.0000012588
23,4,1,36,0.0000019399
10,2,2,78,0.0000007645
32,9,4,69,0.0000003973
13,3,3,84,0.0000011026
31,8,3,62,0.000003482
6,3,3,121,0.0000014285
26,4,0,0,0.0
27,4,0,0,0.0
28,4,0,0,0.0
29,4,0,0,0.0
30,4,0,0,0.0
31,4,0,0,0.0
32,4,0,0,0.0
33,4,0,0,0.0
34,4,0,0,0.0
35,4,0,0,0.0
0,5,0,0,0.0
1,5,0,0,0.0
2,5,0,0,0.0
3,5,0,0,0.0
4,5,1,4,0.0000001381
5,5,1,20,0.0000001665
6,5,1,11,-0.0000000042
7,5,1,6,-0.0000000025
8,5,1,14,0.0000005168
9,5,1,21,-0.0000000312
10,5,1,18,0.0000000099
11,5,1,14,-0.0000003236
12,5,1,13,-0.000000004
13,5,1,7,0.000000015
14,5,1,4,0.0
15,5,0,0,0.0
16,5,2,17,0.0000000143
17,5,2,18,0.0000000085
18,5,1,13,0.0000000085
19,5,1,37,0.000000044
23,4,1,26,-0.0000005398
21,7,2,73,0.0000023501
26,5,2,51,0.0000000044
9,0,3,88,-0.0000001336
6,2,1,40,0.0000009224
30,12,2,45,0.0000009854
27,12,3,123,0.0000007637
27,5,0,0,0.0
28,5,0,0,0.0
29,5,1,14,0.0000000126
30,5,0,0,0.0
31,5,0,0,0.0
32,5,0,0,0.0
33,5,0,0,0.0
34,5,0,0,0.0
35,5,0,0,0.0
0,6,0,0,0.0
1,6,0,0,0.0
2,6,0,0,0.0
3,6,1,1,-0.0000000053
4,6,1,4,0.0000002375
5,6,2,16,-0.0000000067
6,6,1,11,-0.0000000039
7,6,2,9,-0.0000000049
8,6,1,13,-0.0000000025
9,6,1,19,0.000000004
10,6,1,21,0.0000000173
11,6,1,15,0.0
12,6,1,11,0.0
13,6,2,8,0.0000000005
14,6,1,3,0.0000000015
15,6,1,8,0.000000009
16,6,1,15,0.0000000085
17,6,1,20,0.0000000217
18,6,1,11,0.0000000004
19,6,1,13,0.0000000033
20,6,1,22,0.0000000068
21,6,1,18,0.0000000191
22,6,1,32,0.0000000107
24,7,1,40,0.0000003103
27,11,3,122,0.0000037644
25,6,1,36,0.000000538
26,7,1,21,0.0000007345
13,3,3,84,0.0000003315
29,5,2,48,0.00000171
29,6,1,35,-0.000000016
30,6,1,3,0.0000000162
31,6,0,0,0.0
32,6,0,0,0.0
33,6,0,0,0.0
34,6,0,0,0.0
35,6,0,0,0.0
0,7,0,0,0.0
1,7,0,0,0.0
2,7,0,0,0.0
3,7,1,2,-0.0000000067
4,7,1,5,-0.0000000039
5,7,2,15,-0.0000000102
6,7,1,11,-0.0000000064
7,7,1,11,-0.0000000049
8,7,1,14,-0.0000000716
9,7,1,14,-0.0000000074
10,7,1,22,-0.0000001875
11,7,1,11,-0.000000018
12,7,1,12,0.0
13,7,1,10,0.0
14,7,0,0,0.0
15,7,1,12,0.0000000085
16,7,2,20,0.000000009
17,7,1,17,0.0000000245
18,7,1,7,-0.0000000032
19,7,1,21,0.0000000054
20,7,1,23,0.0000000044
21,7,1,51,0.0
22,7,1,30,-0.0000000031
10,2,4,126,-0.0000000364
24,7,2,76,0.0000001171
24,4,3,74,0.0000000466
26,7,1,22,-0.0000008763
30,12,3,90,0.0000010476
21,5,2,80,0.0000002755
27,9,1,15,0.0000007612
22,2,2,55,0.0000022076
31,7,0,0,0.0
32,7,0,0,0.0
33,7,0,0,0.0
34,7,0,0,0.0
35,7,0,0,0.0
0,8,0,0,0.0
1,8,0,0,0.0
2,8,0,0,0.0
3,8,1,2,-0.0000000014
4,8,1,6,0.0
5,8,2,13,-0.0000000049
6,8,1,18,-0.0000000049
7,8,1,12,-0.0000000025
8,8,1,22,-0.0000000025
9,8,2,13,-0.0000000049
10,8,1,22,-0.0000000612
11,8,1,12,0.0000000073
12,8,1,10,0.0
13,8,1,10,0.0
14,8,1,4,0.0
15,8,1,12,0.0000000085
16,8,1,24,0.000000748
17,8,1,13,0.0000000099
18,8,1,15,0.0000000094
19,8,1,24,0.000000167
20,8,1,20,0.0
21,8,1,16,-0.000000001
22,8,1,20,-0.000000002
23,8,2,10,-0.0000000017
23,2,3,79,0.0000028932
29,7,2,55,0.0000014097
13,0,2,37,0.0000021292
4,2,2,83,0.0000000624
17,4,1,36,0.0000012396
30,9,3,81,0.0000005365
30,13,1,39,0.0000009667
31,8,4,85,0.0000000124
32,8,0,0,0.0
33,8,0,0,0.0
34,8,0,0,0.0
35,8,0,0,0.0
0,9,0,0,0.0
1,9,0,0,0.0
2,9,0,0,0.0
3,9,1,2,-0.0000000014
4,9,1,6,-0.0000000028
