grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,d_res_soc / 1000,jour_res_soc,nbr_elmt_res_soc
0,0,0,0,100.0,5,10
1,0,0,0,100.0,5,10
2,0,0,0,100.0,5,10
3,0,0,0,100.0,5,10
4,0,0,0,100.0,5,10
5,0,0,0,100.0,5,10
6,0,1,1,100.0,5,10
7,0,1,2,100.0,5,10
8,0,1,3,100.0,5,10
9,0,1,1,100.0,5,10
15,3,1,17,100.0,5,10
11,0,1,2,100.0,5,10
20,5,1,15,100.0,5,10
13,0,2,4,100.0,5,10
14,0,1,4,100.0,5,10
15,0,0,0,100.0,5,10
16,0,2,2,100.0,5,10
17,0,1,2,100.0,5,10
18,0,1,4,100.0,5,10
19,0,0,0,100.0,5,10
20,0,0,0,100.0,5,10
21,0,0,0,100.0,5,10
22,0,0,0,100.0,5,10
23,0,0,0,100.0,5,10
24,0,0,0,100.0,5,10
25,0,0,0,100.0,5,10
26,0,0,0,100.0,5,10
27,0,0,0,100.0,5,10
28,0,0,0,100.0,5,10
29,0,0,0,100.0,5,10
30,0,0,0,100.0,5,10
31,0,0,0,100.0,5,10
32,0,0,0,100.0,5,10
33,0,0,0,100.0,5,10
34,0,0,0,100.0,5,10
35,0,0,0,100.0,5,10
0,1,0,0,100.0,5,10
1,1,0,0,100.0,5,10
2,1,0,0,100.0,5,10
3,1,1,1,100.0,5,10
4,1,2,4,100.0,5,10
29,11,1,29,100.0,5,10
18,4,1,18,100.0,5,10
19,4,1,14,100.0,5,10
14,0,1,4,100.0,5,10
5,3,1,16,100.0,5,10
24,5,1,8,100.0,5,10
18,4,1,19,100.0,5,10
30,11,1,41,100.0,5,10
7,1,1,9,100.0,5,10
28,8,1,16,100.0,5,10
26,6,1,9,100.0,5,10
19,2,1,6,100.0,5,10
25,6,1,13,100.0,5,10
9,0,1,2,100.0,5,10
19,1,1,4,100.0,5,10
20,1,1,13,100.0,5,10
21,1,1,3,100.0,5,10
22,1,1,5,100.0,5,10
23,1,1,1,100.0,5,10
24,1,0,0,100.0,5,10
25,1,0,0,100.0,5,10
26,1,0,0,100.0,5,10
27,1,0,0,100.0,5,10
28,1,0,0,100.0,5,10
29,1,0,0,100.0,5,10
30,1,0,0,100.0,5,10
31,1,0,0,100.0,5,10
32,1,0,0,100.0,5,10
33,1,0,0,100.0,5,10
34,1,0,0,100.0,5,10
35,1,0,0,100.0,5,10
0,2,0,0,100.0,5,10
1,2,0,0,100.0,5,10
2,2,0,0,100.0,5,10
3,2,1,4,100.0,5,10
4,2,1,5,100.0,5,10
18,2,1,5,100.0,5,10
25,5,1,9,100.0,5,10
12,2,1,15,100.0,5,10
17,1,1,4,100.0,5,10
17,2,1,5,100.0,5,10
30,10,1,50,100.0,5,10
31,10,1,29,100.0,5,10
12,2,1,14,100.0,5,10
17,3,1,23,100.0,5,10
26,4,1,7,100.0,5,10
15,2,1,10,100.0,5,10
8,1,1,14,100.0,5,10
14,1,1,20,100.0,5,10
32,9,1,15,100.0,5,10
19,2,1,7,100.0,5,10
20,2,1,12,100.0,5,10
21,2,1,13,100.0,5,10
8,3,1,16,100.0,5,10
23,2,1,6,100.0,5,10
24,2,1,7,100.0,5,10
25,2,1,6,100.0,5,10
26,2,0,0,100.0,5,10
27,2,0,0,100.0,5,10
28,2,0,0,100.0,5,10
29,2,0,0,100.0,5,10
30,2,0,0,100.0,5,10
31,2,0,0,100.0,5,10
32,2,0,0,100.0,5,10
33,2,0,0,100.0,5,10
34,2,0,0,100.0,5,10
35,2,0,0,100.0,5,10
0,3,0,0,100.0,5,10
