grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,d_res_soc / 1000,jour_res_soc,nbr_elmt_res_soc
0,0,0,0,100.0,5,10
1,0,0,0,100.0,5,10
2,0,0,0,100.0,5,10
3,0,0,0,100.0,5,10
4,0,0,0,100.0,5,10
5,0,0,0,100.0,5,10
6,0,0,0,100.0,5,10
7,0,0,0,100.0,5,10
8,0,1,23,100.0,5,10
9,0,0,0,100.0,5,10
19,4,1,43,100.0,5,10
6,2,2,40,100.0,5,10
24,6,5,96,100.0,5,10
13,0,0,0,100.0,5,10
14,0,1,9,100.0,5,10
15,0,0,0,100.0,5,10
16,0,0,0,100.0,5,10
17,0,0,0,100.0,5,10
18,0,0,0,100.0,5,10
19,0,0,0,100.0,5,10
20,0,0,0,100.0,5,10
21,0,0,0,100.0,5,10
22,0,0,0,100.0,5,10
23,0,0,0,100.0,5,10
24,0,0,0,100.0,5,10
25,0,0,0,100.0,5,10
26,0,0,0,100.0,5,10
27,0,0,0,100.0,5,10
28,0,0,0,100.0,5,10
29,0,0,0,100.0,5,10
30,0,0,0,100.0,5,10
31,0,0,0,100.0,5,10
32,0,0,0,100.0,5,10
33,0,0,0,100.0,5,10
34,0,0,0,100.0,5,10
35,0,0,0,100.0,5,10
0,1,0,0,100.0,5,10
1,1,0,0,100.0,5,10
2,1,0,0,100.0,5,10
3,1,0,0,100.0,5,10
4,1,1,23,100.0,5,10
4,2,1,41,100.0,5,10
6,1,1,27,100.0,5,10
7,4,1,50,100.0,5,10
8,1,1,39,100.0,5,10
30,10,2,48,100.0,5,10
23,5,3,56,100.0,5,10
29,8,2,69,100.0,5,10
29,11,1,25,100.0,5,10
28,6,3,37,100.0,5,10
21,2,2,31,100.0,5,10
15,1,4,78,100.0,5,10
29,13,1,38,100.0,5,10
8,1,2,60,100.0,5,10
31,8,1,9,100.0,5,10
19,1,1,17,100.0,5,10
20,1,1,7,100.0,5,10
21,1,1,14,100.0,5,10
22,1,0,0,100.0,5,10
23,1,0,0,100.0,5,10
24,1,0,0,100.0,5,10
25,1,0,0,100.0,5,10
26,1,0,0,100.0,5,10
27,1,0,0,100.0,5,10
28,1,0,0,100.0,5,10
29,1,0,0,100.0,5,10
30,1,0,0,100.0,5,10
31,1,0,0,100.0,5,10
32,1,0,0,100.0,5,10
33,1,0,0,100.0,5,10
34,1,0,0,100.0,5,10
35,1,0,0,100.0,5,10
0,2,0,0,100.0,5,10
1,2,0,0,100.0,5,10
2,2,0,0,100.0,5,10
3,2,0,0,100.0,5,10
4,2,1,41,100.0,5,10
27,8,5,132,100.0,5,10
29,10,1,27,100.0,5,10
7,2,2,55,100.0,5,10
22,4,2,70,100.0,5,10
23,3,1,15,100.0,5,10
10,2,1,4,100.0,5,10
29,12,2,47,100.0,5,10
24,4,3,56,100.0,5,10
9,1,2,73,100.0,5,10
26,4,1,15,100.0,5,10
28,6,3,22,100.0,5,10
20,6,1,41,100.0,5,10
28,10,1,39,100.0,5,10
21,2,3,31,100.0,5,10
19,1,1,16,100.0,5,10
7,3,3,83,100.0,5,10
7,1,2,42,100.0,5,10
20,3,1,25,100.0,5,10
23,2,0,0,100.0,5,10
24,2,1,7,100.0,5,10
25,2,0,0,100.0,5,10
26,2,0,0,100.0,5,10
27,2,0,0,100.0,5,10
28,2,0,0,100.0,5,10
29,2,0,0,100.0,5,10
30,2,0,0,100.0,5,10
31,2,0,0,100.0,5,10
32,2,0,0,100.0,5,10
33,2,0,0,100.0,5,10
34,2,0,0,100.0,5,10
35,2,0,0,100.0,5,10
0,3,0,0,100.0,5,10
