grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_retour
0,0,0,0,0.0
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,1,129,0.0
5,0,3,355,0.0
6,0,1,125,0.0
7,0,0,0,0.0
8,0,0,0,0.0
9,0,1,116,0.0
6,1,2,249,0.0347058893
6,2,3,388,0.0236053616
28,7,2,113,0.0117752864
13,0,2,201,0.0
14,0,2,200,0.0
15,0,1,93,0.0
16,0,0,0,0.0
17,0,0,0,0.0
18,0,1,74,0.0
19,0,0,0,0.0
20,0,0,0,0.0
21,0,0,0,0.0
22,0,0,0,0.0
23,0,0,0,0.0
24,0,0,0,0.0
25,0,0,0,0.0
26,0,0,0,0.0
27,0,0,0,0.0
28,0,0,0,0.0
29,0,0,0,0.0
30,0,0,0,0.0
31,0,0,0,0.0
32,0,0,0,0.0
33,0,0,0,0.0
34,0,0,0,0.0
35,0,0,0,0.0
0,1,0,0,0.0
1,1,0,0,0.0
2,1,0,0,0.0
3,1,0,0,0.0
4,1,1,128,0.0
5,1,1,16,0.0
14,0,3,316,0.0360547282
13,0,2,197,0.0354790751
28,12,5,464,0.0248162148
14,0,2,201,0.0244904377
6,2,3,374,0.023151388
21,4,1,109,0.0236412182
5,4,3,404,0.0124567628
14,2,2,235,0.0121473761
16,3,1,111,0.0133117442
29,10,2,150,0.0132045638
21,1,2,142,0.0234509413
18,0,1,76,0.0248188569
22,1,2,165,0.0116496237
19,1,1,2,0.0
20,1,1,85,0.0
21,1,2,141,0.0
22,1,2,164,0.0
23,1,0,0,0.0
24,1,0,0,0.0
25,1,0,0,0.0
26,1,0,0,0.0
27,1,0,0,0.0
28,1,0,0,0.0
29,1,0,0,0.0
30,1,0,0,0.0
31,1,0,0,0.0
32,1,0,0,0.0
33,1,0,0,0.0
34,1,0,0,0.0
35,1,0,0,0.0
0,2,0,0,0.0
1,2,0,0,0.0
2,2,1,1,0.0
3,2,1,6,0.0
4,2,1,8,0.0
29,10,3,236,0.0240736497
26,7,4,262,0.0129819196
7,2,1,132,0.0
24,8,2,202,0.0236763039
24,5,2,151,0.0337440769
15,3,1,145,0.0117219392
22,4,4,292,0.0582636536
12,2,1,170,0.0
22,6,5,379,0.0222933269
11,3,4,510,0.0493908292
27,8,2,145,0.0124782165
22,6,3,226,0.0109544512
4,1,2,253,0.025438586
13,1,3,359,0.012305627
10,4,2,269,0.012217182
19,2,1,80,0.010935238
10,3,2,280,0.0235995314
19,4,1,105,0.0125012322
23,2,1,48,0.0
24,2,0,0,0.0
25,2,0,0,0.0
26,2,0,0,0.0
27,2,0,0,0.0
28,2,0,0,0.0
29,2,0,0,0.0
30,2,0,0,0.0
31,2,0,0,0.0
32,2,0,0,0.0
33,2,0,0,0.0
34,2,0,0,0.0
35,2,0,0,0.0
0,3,0,0,0.0
1,3,0,0,0.0
2,3,1,8,0.0
3,3,0,0,0.0
4,3,1,132,0.0
13,2,4,498,0.0352759572
22,1,3,238,0.034667997
23,4,3,211,0.0239902279
22,7,3,218,0.0376092709
4,3,2,271,0.0233312734
10,3,2,275,0.0
23,2,1,48,0.0264305292
30,10,1,124,0.0241888326
22,5,5,349,0.0234279336
24,4,1,59,0.0358274142
15,3,1,141,0.0
16,3,2,208,0.0
30,11,1,105,0.0121090581
20,4,1,79,0.0246187746
7,2,1,132,0.0609583521
18,3,1,127,0.0236116576
21,3,5,349,0.0
26,4,1,77,0.0127370386
23,3,1,7,0.0
24,3,1,52,0.0
25,3,1,44,0.0
26,3,0,0,0.0
27,3,0,0,0.0
28,3,0,0,0.0
29,3,0,0,0.0
30,3,0,0,0.0
31,3,0,0,0.0
32,3,0,0,0.0
33,3,0,0,0.0
34,3,0,0,0.0
35,3,0,0,0.0
0,4,0,0,0.0
1,4,1,5,0.0
2,4,1,2,0.0
3,4,0,0,0.0
4,4,1,11,0.0
5,4,2,289,0.0
6,4,2,294,0.0
7,4,1,166,0.0
8,4,1,23,0.0
9,4,2,284,0.0
10,4,2,287,0.0
11,4,1,38,0.0
12,4,1,170,0.0
13,4,1,177,0.0
14,4,1,21,0.0
15,4,1,31,0.0
16,4,1,24,0.0
17,4,1,35,0.0
18,4,1,132,0.0
31,13,3,185,0.0248969143
21,6,2,157,0.023000461
17,1,2,201,0.0242053957
29,12,3,298,0.0236872456
23,4,2,134,0.0
24,4,2,133,0.0
30,9,1,86,0.0353397442
26,4,1,73,0.0
27,4,0,0,0.0
28,4,0,0,0.0
29,4,0,0,0.0
30,4,0,0,0.0
31,4,0,0,0.0
32,4,0,0,0.0
33,4,0,0,0.0
34,4,0,0,0.0
35,4,0,0,0.0
0,5,0,0,0.0
1,5,1,1,0.0
2,5,1,5,0.0
3,5,1,9,0.0
4,5,1,17,0.0
5,5,1,36,0.0
6,5,1,41,0.0
7,5,1,32,0.0
8,5,1,24,0.0
9,5,2,44,0.0
10,5,1,42,0.0
11,5,1,34,0.0
12,5,1,48,0.0
13,5,1,45,0.0
14,5,1,37,0.0
15,5,1,41,0.0
16,5,1,48,0.0
17,5,1,48,0.0
18,5,1,44,0.0
19,5,2,126,0.0
20,5,2,234,0.0
21,7,3,273,0.0474852652
27,5,1,83,0.0720686209
9,4,4,526,0.0371685598
18,1,2,186,0.0107133566
25,5,1,13,0.0
26,5,1,13,0.0
20,6,3,280,0.0127128103
28,5,1,60,0.0
29,5,0,0,0.0
30,5,0,0,0.0
31,5,0,0,0.0
32,5,0,0,0.0
33,5,0,0,0.0
34,5,0,0,0.0
35,5,0,0,0.0
0,6,0,0,0.0
1,6,0,0,0.0
2,6,1,7,0.0
3,6,1,16,0.0
4,6,1,23,0.0
5,6,1,47,0.0
6,6,1,37,0.0
7,6,1,24,0.0
8,6,1,25,0.0
9,6,1,33,0.0
10,6,1,32,0.0
11,6,1,37,0.0
12,6,1,49,0.0
13,6,1,73,0.0
14,6,1,41,0.0
15,6,1,56,0.0
16,6,1,56,0.0
17,6,1,57,0.0
18,6,1,42,0.0
19,6,1,37,0.0
20,6,2,198,0.0
21,6,2,159,0.0
21,3,3,251,0.0129771092
12,3,4,536,0.0130339177
26,7,4,267,0.0478567124
24,6,2,115,0.0471658362
26,6,1,22,0.0
21,1,4,237,0.021860779
27,10,3,288,0.0130168045
29,6,2,110,0.0
30,6,0,0,0.0
31,6,0,0,0.0
32,6,0,0,0.0
33,6,0,0,0.0
34,6,0,0,0.0
35,6,0,0,0.0
0,7,0,0,0.0
1,7,1,3,0.0
2,7,1,7,0.0
3,7,1,13,0.0
4,7,1,31,0.0
5,7,1,32,0.0
6,7,1,22,0.0
7,7,1,14,0.0
8,7,1,31,0.0
9,7,1,42,0.0
10,7,1,33,0.0
11,7,1,47,0.0
12,7,1,62,0.0
13,7,1,83,0.0
14,7,1,93,0.0
15,7,1,59,0.0
16,7,1,56,0.0
17,7,1,72,0.0
18,7,1,61,0.0
19,7,1,50,0.0
20,7,1,68,0.0
21,7,2,207,0.0
22,7,4,315,0.0
7,3,3,361,0.0230719815
26,8,2,136,0.0351613044
22,5,3,259,0.0236479358
26,7,5,316,0.0
7,4,2,284,0.0240783998
22,7,3,230,0.0248406158
21,6,3,253,0.0362252619
14,1,2,242,0.0468193963
31,7,1,8,0.0
32,7,0,0,0.0
33,7,0,0,0.0
34,7,0,0,0.0
35,7,0,0,0.0
0,8,1,7,0.0
1,8,1,7,0.0
2,8,1,10,0.0
3,8,1,15,0.0
4,8,1,15,0.0
5,8,1,33,0.0
6,8,1,19,0.0
7,8,1,27,0.0
8,8,1,42,0.0
9,8,1,35,0.0
10,8,1,37,0.0
11,8,2,56,0.0
12,8,1,227,0.0
13,8,1,253,0.0
14,8,1,165,0.0
15,8,1,161,0.0
16,8,1,177,0.0
17,8,1,139,0.0
18,8,1,129,0.0
19,8,1,122,0.0
20,8,1,91,0.0
21,8,1,92,0.0
22,8,1,81,0.0
23,8,1,91,0.0
30,7,1,73,0.0112029579
25,8,1,16,0.0
22,4,4,322,0.0336726849
29,13,1,153,0.0353428922
15,1,1,90,0.0128375977
27,8,2,151,0.0122426711
30,8,1,11,0.0
31,8,2,164,0.0
32,8,0,0,0.0
33,8,0,0,0.0
34,8,0,0,0.0
35,8,0,0,0.0
0,9,1,2,0.0
1,9,1,3,0.0
2,9,1,9,0.0
3,9,1,21,0.0
4,9,1,20,0.0
5,9,3,43,0.0
6,9,1,26,0.0
7,9,1,37,0.0
8,9,1,27,0.0
9,9,1,36,0.0
10,9,1,41,0.0
11,9,1,222,0.0
12,9,1,158,0.0
13,9,1,166,0.0
14,9,1,129,0.0
15,9,1,134,0.0
16,9,1,133,0.0
17,9,1,102,0.0
18,9,1,84,0.0
19,9,1,73,0.0
20,9,1,57,0.0
21,9,1,43,0.0
22,9,1,30,0.0
23,9,1,27,0.0
24,9,1,72,0.0
25,9,2,176,0.0
30,12,1,138,0.0377609367
20,5,4,314,0.0232820338
24,3,1,53,0.0244599856
10,0,2,216,0.0110432173
13,4,1,157,0.0346753771
21,5,4,266,0.0340833455
32,9,1,3,0.0
33,9,0,0,0.0
34,9,0,0,0.0
35,9,0,0,0.0
