grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_aller
0,0,0,0,0.0
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,0,0,0.0
5,0,1,1,0.0
6,0,0,0,0.0
7,0,0,0,0.0
8,0,1,2,0.0
9,0,1,3,0.0
4,4,1,11,0.0042289678
16,3,1,17,0.0124188948
28,5,1,7,0.0077026385
13,0,2,5,0.0
14,0,0,0,0.0
15,0,2,2,0.0
16,0,1,1,0.0
17,0,1,1,0.0
18,0,0,0,0.0
19,0,0,0,0.0
20,0,0,0,0.0
21,0,0,0,0.0
22,0,0,0,0.0
23,0,0,0,0.0
24,0,0,0,0.0
25,0,0,0,0.0
26,0,0,0,0.0
27,0,0,0,0.0
28,0,0,0,0.0
29,0,0,0,0.0
30,0,0,0,0.0
31,0,0,0,0.0
32,0,0,0,0.0
33,0,0,0,0.0
34,0,0,0,0.0
35,0,0,0,0.0
0,1,0,0,0.0
1,1,0,0,0.0
2,1,0,0,0.0
3,1,0,0,0.0
4,1,0,0,0.0
5,1,1,5,0.0
11,1,1,8,0.0083970246
7,1,1,3,0.0
18,4,1,32,0.0078818911
26,6,1,14,0.003673807
25,6,1,21,0.0200084128
28,11,1,38,0.0117993423
12,1,1,17,0.0037625631
29,13,1,34,0.0159186702
27,7,2,10,0.0120186221
29,10,1,19,0.0124154142
22,4,1,19,0.0040323121
25,8,1,33,0.003811292
18,1,0,0,0.0
19,1,1,3,0.0
20,1,1,3,0.0
21,1,1,3,0.0
22,1,1,1,0.0
23,1,0,0,0.0
24,1,0,0,0.0
25,1,0,0,0.0
26,1,0,0,0.0
27,1,0,0,0.0
28,1,0,0,0.0
29,1,0,0,0.0
30,1,0,0,0.0
31,1,0,0,0.0
32,1,0,0,0.0
33,1,0,0,0.0
34,1,0,0,0.0
35,1,0,0,0.0
0,2,0,0,0.0
1,2,0,0,0.0
2,2,0,0,0.0
3,2,0,0,0.0
4,2,1,4,0.0
12,1,1,29,0.0078401235
30,7,1,20,0.0162876172
5,1,1,5,0.0079184377
23,3,1,3,0.0120099206
9,2,1,7,0.0117854198
23,4,1,8,0.0080437404
23,6,1,18,0.011433876
12,2,1,28,0.0
15,3,1,22,0.0112859491
22,2,1,6,0.003948777
13,3,1,24,0.0040062074
23,5,1,10,0.0041976421
21,3,1,12,0.0154853316
27,10,1,32,0.0078314219
28,5,1,8,0.0083674392
25,8,1,23,0.0157811853
11,2,1,7,0.0083082685
11,2,1,24,0.0086023819
23,2,1,4,0.0
24,2,0,0,0.0
25,2,0,0,0.0
26,2,0,0,0.0
27,2,0,0,0.0
28,2,0,0,0.0
29,2,0,0,0.0
30,2,0,0,0.0
31,2,0,0,0.0
32,2,0,0,0.0
33,2,0,0,0.0
34,2,0,0,0.0
35,2,0,0,0.0
0,3,0,0,0.0
1,3,0,0,0.0
2,3,1,3,0.0
3,3,1,10,0.0
4,3,1,12,0.0
5,3,1,17,0.0
18,4,1,27,0.0041054054
24,5,1,9,0.0157307161
30,10,1,25,0.0042620338
25,3,1,15,0.0076765338
9,3,1,23,0.0036215975
15,3,1,24,0.0041593552
28,11,1,38,0.0040462346
15,0,1,2,0.0119037613
29,8,1,16,0.0041036651
15,3,1,24,0.0
16,3,1,26,0.0
24,3,1,13,0.0040932232
28,5,1,12,0.012166549
19,3,1,16,0.0
30,8,1,21,0.0114982677
7,3,1,16,0.0079636859
23,6,1,11,0.0041297698
13,0,1,1,0.008322191
24,3,1,9,0.0
25,3,1,16,0.0
26,3,1,1,0.0
27,3,0,0,0.0
28,3,0,0,0.0
29,3,0,0,0.0
30,3,0,0,0.0
31,3,0,0,0.0
32,3,0,0,0.0
33,3,0,0,0.0
34,3,0,0,0.0
35,3,0,0,0.0
0,4,0,0,0.0
1,4,0,0,0.0
2,4,1,3,0.0
3,4,1,5,0.0
4,4,1,12,0.0
5,4,1,13,0.0
6,4,1,12,0.0
7,4,1,27,0.0
8,4,1,30,0.0
9,4,1,24,0.0
10,4,1,19,0.0
11,4,1,15,0.0
12,4,1,18,0.0
13,4,1,24,0.0
14,4,2,13,0.0
15,4,2,21,0.0
16,4,1,24,0.0
17,4,1,20,0.0
18,4,1,24,0.0
13,3,1,25,0.0076347662
15,2,1,20,0.0119768545
13,0,2,7,0.0042985805
12,1,1,11,0.0078331622
9,2,1,20,0.0079358409
29,10,1,10,0.0075581923
18,3,1,18,0.0040671184
26,4,1,6,0.0
27,4,1,8,0.0
28,4,1,5,0.0
29,4,1,5,0.0
30,4,1,1,0.0
31,4,0,0,0.0
32,4,0,0,0.0
33,4,0,0,0.0
34,4,0,0,0.0
35,4,0,0,0.0
0,5,1,3,0.0
1,5,1,2,0.0
2,5,2,7,0.0
3,5,1,5,0.0
4,5,1,4,0.0
5,5,1,25,0.0
6,5,1,24,0.0
7,5,1,19,0.0
8,5,1,21,0.0
9,5,1,11,0.0
10,5,1,22,0.0
11,5,1,27,0.0
12,5,1,14,0.0
13,5,1,17,0.0
14,5,1,14,0.0
15,5,1,6,0.0
16,5,1,8,0.0
17,5,2,34,0.0
18,5,1,21,0.0
19,5,1,21,0.0
20,4,1,14,0.0082160317
6,4,1,15,0.0164494666
23,6,1,20,0.0041506536
31,9,1,25,0.0119942577
24,5,1,8,0.0
25,5,1,14,0.0
7,2,2,16,0.0041593552
12,2,1,21,0.0080976902
28,5,1,11,0.0
29,5,1,1,0.0
30,5,1,4,0.0
31,5,1,10,0.0
32,5,1,7,0.0
33,5,0,0,0.0
34,5,0,0,0.0
35,5,0,0,0.0
0,6,1,1,0.0
1,6,1,2,0.0
2,6,1,9,0.0
3,6,1,6,0.0
4,6,1,3,0.0
5,6,1,23,0.0
6,6,1,19,0.0
7,6,1,23,0.0
8,6,1,19,0.0
9,6,2,11,0.0
10,6,1,24,0.0
11,6,1,25,0.0
12,6,1,16,0.0
13,6,1,32,0.0
14,6,1,8,0.0
15,6,1,7,0.0
16,6,1,26,0.0
17,6,1,26,0.0
18,6,1,14,0.0
19,6,1,17,0.0
20,6,1,25,0.0
5,0,1,3,0.0039609592
9,2,1,25,0.0165608468
28,13,1,29,0.0080976902
26,7,1,12,0.0124554414
13,1,2,3,0.0080942096
26,6,2,8,0.0
30,12,2,35,0.00407582
20,1,1,3,0.0035763493
29,6,1,9,0.0
30,6,1,5,0.0
31,6,1,5,0.0
32,6,1,5,0.0
33,6,1,2,0.0
34,6,0,0,0.0
35,6,0,0,0.0
0,7,0,0,0.0
1,7,0,0,0.0
2,7,1,7,0.0
3,7,1,18,0.0
4,7,2,9,0.0
5,7,1,14,0.0
6,7,1,12,0.0
7,7,2,28,0.0
8,7,1,22,0.0
9,7,1,18,0.0
10,7,1,12,0.0
11,7,1,32,0.0
12,7,1,31,0.0
13,7,2,33,0.0
14,7,1,16,0.0
15,7,1,37,0.0
16,7,1,22,0.0
17,7,1,15,0.0
18,7,1,23,0.0
19,7,1,8,0.0
20,7,1,23,0.0
21,7,1,16,0.0
22,7,1,19,0.0
23,8,1,31,0.0036337798
4,2,1,2,0.0040671184
9,1,1,4,0.0036320394
25,9,1,59,0.00407582
16,3,1,25,0.0123214371
19,1,1,8,0.0113033523
5,3,1,24,0.003739939
21,2,1,9,0.0042307081
31,7,1,3,0.0
32,7,1,2,0.0
33,7,1,1,0.0
34,7,1,3,0.0
35,7,1,3,0.0
0,8,0,0,0.0
1,8,0,0,0.0
2,8,0,0,0.0
3,8,1,23,0.0
4,8,1,30,0.0
5,8,2,13,0.0
6,8,1,20,0.0
7,8,1,15,0.0
8,8,1,31,0.0
9,8,1,14,0.0
10,8,1,23,0.0
11,8,1,34,0.0
12,8,1,27,0.0
13,8,2,38,0.0
14,8,1,32,0.0
15,8,1,42,0.0
16,8,1,28,0.0
17,8,1,29,0.0
18,8,1,83,0.0
19,8,1,75,0.0
20,8,1,43,0.0
21,8,1,40,0.0
22,8,1,36,0.0
23,8,1,22,0.0
31,8,1,12,0.0087085411
7,1,1,3,0.0079045152
8,2,1,20,0.0080681049
27,8,1,7,0.0038234742
32,11,1,16,0.0125285347
25,9,1,45,0.0193610152
28,12,1,34,0.0040793006
31,8,1,12,0.0
32,8,1,5,0.0
33,8,0,0,0.0
34,8,0,0,0.0
35,8,1,4,0.0
0,9,0,0,0.0
1,9,0,0,0.0
2,9,0,0,0.0
3,9,1,6,0.0
4,9,1,16,0.0
5,9,1,3,0.0
6,9,1,27,0.0
7,9,1,21,0.0
8,9,1,34,0.0
9,9,1,26,0.0
10,9,1,22,0.0
11,9,1,25,0.0
12,9,2,25,0.0
13,9,1,36,0.0
14,9,1,24,0.0
15,9,1,27,0.0
16,9,1,16,0.0
17,9,1,78,0.0
18,9,1,48,0.0
19,9,1,31,0.0
20,9,1,19,0.0
21,9,1,18,0.0
22,9,1,10,0.0
23,9,1,6,0.0
24,9,1,18,0.0
25,9,1,54,0.0
26,9,1,21,0.0
12,2,1,19,0.0078122784
13,2,1,23,0.0153495869
10,0,2,4,0.0156802469
25,4,1,5,0.0038495789
12,0,1,1,0.0158090303
32,9,1,13,0.0
33,9,1,2,0.0
