grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_aller
0,0,0,0,0.0
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,0,0,0.0
5,0,0,0,0.0
6,0,1,1,0.0
7,0,2,4,0.0
8,0,0,0,0.0
9,0,0,0,0.0
3,30,5,497,0.0000762632
3,33,3,310,0.0000528158
4,31,3,332,0.0000480395
13,0,2,5,0.0
14,0,1,2,0.0
15,0,2,4,0.0
16,0,2,2,0.0
17,0,0,0,0.0
18,0,0,0,0.0
19,0,0,0,0.0
20,0,0,0,0.0
21,0,0,0,0.0
22,0,0,0,0.0
23,0,0,0,0.0
24,0,0,0,0.0
25,0,0,0,0.0
26,0,0,0,0.0
27,0,0,0,0.0
28,0,0,0,0.0
29,0,0,0,0.0
30,0,0,0,0.0
31,0,0,0,0.0
32,0,0,0,0.0
33,0,0,0,0.0
34,0,0,0,0.0
35,0,0,0,0.0
0,1,0,0,0.0
1,1,0,0,0.0
2,1,0,0,0.0
3,1,0,0,0.0
4,1,0,0,0.0
5,27,3,410,0.0001023553
10,32,1,320,0.0000265263
9,32,2,234,0.0000519869
1,33,4,219,0.0000792632
3,33,3,219,0.0001808685
3,29,2,320,0.0000738553
9,27,2,223,0.0000245132
1,32,4,243,0.000051079
13,1,1,5,0.0
5,34,4,239,0.0001325132
4,32,1,311,0.0000539211
5,35,3,231,0.0000804079
7,27,2,233,0.0000272369
12,28,1,196,0.0000271184
19,1,1,7,0.0
20,1,2,3,0.0
21,1,1,1,0.0
22,1,0,0,0.0
23,1,0,0,0.0
24,1,0,0,0.0
25,1,0,0,0.0
26,1,0,0,0.0
27,1,0,0,0.0
28,1,0,0,0.0
29,1,0,0,0.0
30,1,0,0,0.0
31,1,0,0,0.0
32,1,0,0,0.0
33,1,0,0,0.0
34,1,0,0,0.0
35,1,0,0,0.0
0,2,0,0,0.0
1,2,0,0,0.0
2,2,0,0,0.0
3,2,0,0,0.0
4,2,1,2,0.0
9,31,3,226,0.0000534869
7,29,2,178,0.000027079
7,33,6,274,0.0000258553
2,34,3,277,0.0000795395
4,30,6,237,0.000025579
9,32,4,287,0.0000256974
0,32,3,387,0.0000735
10,31,6,312,0.0000254605
2,30,6,205,0.0000496184
4,30,4,199,0.000130579
8,33,3,363,0.0000814737
9,27,4,348,0.0000251447
6,30,3,229,0.0000519474
1,31,6,279,0.0001065395
5,34,4,314,0.0000786316
3,31,2,253,0.0000774079
7,27,2,289,0.0000506053
5,29,3,348,0.0000475658
23,2,1,1,0.0
24,2,0,0,0.0
25,2,0,0,0.0
26,2,0,0,0.0
27,2,0,0,0.0
28,2,0,0,0.0
29,2,0,0,0.0
30,2,0,0,0.0
31,2,0,0,0.0
32,2,0,0,0.0
33,2,0,0,0.0
34,2,0,0,0.0
35,2,0,0,0.0
0,3,0,0,0.0
1,3,0,0,0.0
2,3,0,0,0.0
3,3,0,0,0.0
4,3,1,2,0.0
3,29,3,406,0.0000506842
6,3,2,15,0.0
8,34,5,252,0.0000532106
1,34,6,293,0.0001094211
7,32,1,203,0.0001016843
2,30,3,312,0.0000262895
5,28,3,206,0.0000490658
9,28,1,191,0.0000251053
4,28,3,255,0.0000260921
5,28,3,316,0.0000525
15,3,3,16,0.0
16,3,2,7,0.0
17,3,2,6,0.0
2,34,2,386,0.0000223816
19,3,2,7,0.0
5,29,3,235,0.000054829
21,3,1,4,0.0
3,30,2,342,0.0001035395
7,31,8,249,0.0000257369
24,3,1,1,0.0
25,3,1,1,0.0
26,3,0,0,0.0
27,3,0,0,0.0
28,3,0,0,0.0
29,3,0,0,0.0
30,3,0,0,0.0
31,3,0,0,0.0
32,3,0,0,0.0
33,3,0,0,0.0
34,3,0,0,0.0
35,3,0,0,0.0
0,4,0,0,0.0
1,4,0,0,0.0
2,4,0,0,0.0
3,4,0,0,0.0
4,4,1,2,0.0
5,4,2,7,0.0
6,4,1,20,0.0
7,4,1,15,0.0
8,4,1,14,0.0
9,4,1,8,0.0
10,4,1,16,0.0
11,4,1,14,0.0
12,4,1,9,0.0
13,4,1,14,0.0
14,4,4,16,0.0
15,4,2,20,0.0
16,4,1,2,0.0
17,4,1,8,0.0
18,4,1,17,0.0
8,29,4,280,0.0000497369
20,4,1,12,0.0
8,29,2,289,0.0000299211
10,30,4,210,0.0000791842
8,31,7,356,0.000132158
7,34,2,148,0.0000256579
2,32,1,306,0.0001037764
26,4,1,1,0.0
27,4,1,1,0.0
28,4,0,0,0.0
29,4,0,0,0.0
30,4,0,0,0.0
31,4,0,0,0.0
32,4,0,0,0.0
33,4,0,0,0.0
34,4,0,0,0.0
35,4,0,0,0.0
0,5,0,0,0.0
1,5,0,0,0.0
2,5,0,0,0.0
3,5,0,0,0.0
4,5,1,2,0.0
5,5,1,8,0.0
6,5,2,21,0.0
7,5,2,16,0.0
8,5,1,14,0.0
9,5,1,9,0.0
10,5,2,18,0.0
11,5,1,13,0.0
12,5,1,14,0.0
13,5,1,10,0.0
14,5,2,21,0.0
15,5,1,11,0.0
16,5,2,5,0.0
17,5,2,14,0.0
18,5,1,10,0.0
19,5,1,9,0.0
5,34,3,309,0.0000532106
5,27,4,287,0.0000545132
5,28,5,337,0.000026329
1,35,2,320,0.0001292764
11,31,4,189,0.0000244737
4,30,4,161,0.0000541184
1,34,5,394,0.0000530921
1,34,3,212,0.0000789474
28,5,0,0,0.0
29,5,0,0,0.0
30,5,0,0,0.0
31,5,0,0,0.0
32,5,0,0,0.0
33,5,0,0,0.0
34,5,0,0,0.0
35,5,0,0,0.0
0,6,0,0,0.0
1,6,0,0,0.0
2,6,0,0,0.0
3,6,0,0,0.0
4,6,1,3,0.0
5,6,3,5,0.0
6,6,1,22,0.0
7,6,2,14,0.0
8,6,1,11,0.0
9,6,1,14,0.0
10,6,2,16,0.0
11,6,1,13,0.0
12,6,2,11,0.0
13,6,1,9,0.0
14,6,4,27,0.0
15,6,2,5,0.0
16,6,1,9,0.0
17,6,1,15,0.0
18,6,1,10,0.0
19,6,1,16,0.0
20,6,1,14,0.0
10,32,3,180,0.0000238816
2,30,4,283,0.0000548684
7,30,2,195,0.0000784342
6,31,2,195,0.0000500921
7,30,3,298,0.0001097369
4,28,3,323,0.0000504474
27,6,1,5,0.0
2,32,2,285,0.0000793027
29,6,1,2,0.0
30,6,0,0,0.0
31,6,0,0,0.0
32,6,0,0,0.0
33,6,0,0,0.0
34,6,0,0,0.0
35,6,0,0,0.0
0,7,0,0,0.0
1,7,0,0,0.0
2,7,0,0,0.0
3,7,0,0,0.0
4,7,1,7,0.0
5,7,1,6,0.0
6,7,2,21,0.0
7,7,1,13,0.0
8,7,1,14,0.0
9,7,1,20,0.0
10,7,1,14,0.0
11,7,1,13,0.0
12,7,2,15,0.0
13,7,1,15,0.0
14,7,1,20,0.0
15,7,1,2,0.0
16,7,2,18,0.0
17,7,1,11,0.0
18,7,2,10,0.0
19,7,2,21,0.0
20,7,1,10,0.0
21,7,1,16,0.0
22,7,1,18,0.0
12,29,1,189,0.0000484737
3,30,7,335,0.0000789869
6,33,1,248,0.0000261711
26,7,2,15,0.0
27,7,1,5,0.0
7,27,3,309,0.0000254211
2,29,1,161,0.000027829
8,34,2,176,0.0000509606
31,7,1,2,0.0
32,7,0,0,0.0
33,7,0,0,0.0
34,7,0,0,0.0
35,7,0,0,0.0
0,8,0,0,0.0
1,8,0,0,0.0
2,8,0,0,0.0
3,8,0,0,0.0
4,8,1,6,0.0
5,8,1,4,0.0
6,8,1,22,0.0
7,8,2,11,0.0
8,8,1,13,0.0
9,8,1,15,0.0
10,8,1,19,0.0
11,8,1,14,0.0
12,8,1,12,0.0
13,8,1,18,0.0
14,8,1,13,0.0
15,8,1,5,0.0
16,8,1,19,0.0
17,8,4,12,0.0
18,8,2,16,0.0
19,8,1,15,0.0
20,8,2,16,0.0
21,8,1,19,0.0
22,8,1,19,0.0
23,8,1,19,0.0
4,35,3,234,0.0000259342
4,27,1,165,0.0000236842
3,30,4,320,0.0001069343
1,31,3,172,0.0000266053
7,26,3,326,0.0000241974
8,29,4,379,0.0000269605
1,33,4,190,0.0000519079
31,8,2,5,0.0
32,8,0,0,0.0
33,8,0,0,0.0
34,8,0,0,0.0
35,8,0,0,0.0
0,9,0,0,0.0
1,9,0,0,0.0
2,9,0,0,0.0
3,9,0,0,0.0
4,9,1,7,0.0
5,9,1,6,0.0
6,9,2,22,0.0
7,9,1,12,0.0
8,9,1,20,0.0
9,9,1,14,0.0
10,9,1,14,0.0
11,9,1,16,0.0
12,9,1,16,0.0
13,9,1,21,0.0
14,9,1,9,0.0
15,9,1,20,0.0
16,9,1,9,0.0
17,9,1,15,0.0
18,9,2,20,0.0
19,9,1,13,0.0
20,9,1,19,0.0
21,9,1,20,0.0
22,9,1,19,0.0
23,9,1,22,0.0
24,9,1,31,0.0
25,9,1,22,0.0
26,9,1,20,0.0
27,9,2,32,0.0
28,9,1,15,0.0
0,31,3,265,0.0000534474
6,34,4,202,0.0000274342
31,9,2,3,0.0
32,9,0,0,0.0
33,9,0,0,0.0
34,9,0,0,0.0
