grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_retour
0,0,0,0,0.0
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,0,0,0.0
5,0,0,0,0.0
6,0,1,30,0.0
7,0,1,32,0.0
8,0,4,119,0.0
9,0,4,95,0.0
20,4,1,172,0.0001825088
28,7,2,320,0.0001723927
25,9,2,227,0.0001936831
13,0,0,0,0.0
14,0,1,5,0.0
0,0,0,0,0.0
15,0,3,74,0.0
1,0,0,0,0.0
16,0,0,0,0.0
2,0,0,0,0.0
17,0,0,0,0.0
3,0,0,0,0.0
18,0,0,0,0.0
4,0,1,11,0.0
5,0,0,0,0.0
6,0,1,23,0.0
7,0,1,19,0.0
8,0,1,28,0.0
9,0,1,35,0.0
6,1,1,178,0.0001544397
0,0,0,0,0.0
28,7,2,149,0.0003147125
1,0,0,0,0.0
19,0,0,0,0.0
26,9,3,210,0.0001670942
2,0,0,0,0.0
13,0,0,0,0.0
20,0,0,0,0.0
3,0,0,0,0.0
14,0,1,27,0.0
21,0,0,0,0.0
4,0,1,12,0.0
22,0,0,0,0.0
15,0,1,18,0.0
5,0,2,46,0.0
23,0,0,0,0.0
16,0,0,0,0.0
6,0,0,0,0.0
17,0,0,0,0.0
24,0,0,0,0.0
7,0,0,0,0.0
25,0,0,0,0.0
18,0,0,0,0.0
8,0,1,31,0.0
19,0,0,0,0.0
26,0,0,0,0.0
9,0,0,0,0.0
20,0,0,0,0.0
27,0,0,0,0.0
4,1,4,225,0.0002539464
21,0,0,0,0.0
24,3,2,158,0.0001173949
28,0,0,0,0.0
22,0,0,0,0.0
26,7,1,145,0.0001105692
29,0,0,0,0.0
30,0,0,0,0.0
23,0,0,0,0.0
13,0,0,0,0.0
24,0,0,0,0.0
31,0,0,0,0.0
14,0,0,0,0.0
32,0,0,0,0.0
25,0,0,0,0.0
15,0,1,22,0.0
33,0,0,0,0.0
16,0,0,0,0.0
34,0,0,0,0.0
17,0,1,19,0.0
35,0,0,0,0.0
18,0,0,0,0.0
26,0,0,0,0.0
0,1,0,0,0.0
19,0,0,0,0.0
27,0,0,0,0.0
1,1,0,0,0.0
20,0,0,0,0.0
28,0,0,0,0.0
2,1,0,0,0.0
21,0,0,0,0.0
29,0,0,0,0.0
3,1,0,0,0.0
22,0,0,0,0.0
30,0,0,0,0.0
4,1,0,0,0.0
23,0,0,0,0.0
31,0,0,0,0.0
25,4,2,188,0.0002680014
24,0,0,0,0.0
32,0,0,0,0.0
25,3,2,237,0.0001851281
25,0,0,0,0.0
31,10,2,142,0.0001001901
33,0,0,0,0.0
26,0,0,0,0.0
8,1,1,29,0.0
27,0,0,0,0.0
34,0,0,0,0.0
11,1,1,149,0.0001865908
28,0,0,0,0.0
35,0,0,0,0.0
13,2,2,227,0.0003510849
29,0,0,0,0.0
0,1,0,0,0.0
25,4,2,149,0.000187869
30,0,0,0,0.0
1,1,0,0,0.0
12,1,1,47,0.0
31,0,0,0,0.0
2,1,0,0,0.0
10,1,3,204,0.0002812806
32,0,0,0,0.0
3,1,0,0,0.0
9,0,1,211,0.0003765764
33,0,0,0,0.0
4,1,1,2,0.0
29,10,3,144,0.0004480841
34,0,0,0,0.0
25,9,1,112,0.0000785145
30,11,3,242,0.0000965541
29,8,1,217,0.000078757
35,0,0,0,0.0
24,4,1,159,0.0000868265
12,0,2,166,0.0004786487
27,11,3,291,0.0000908698
0,1,0,0,0.0
19,1,4,73,0.0
8,1,1,33,0.0
1,1,0,0,0.0
9,0,1,172,0.0000711857
20,1,1,27,0.0
2,1,0,0,0.0
21,1,1,28,0.0
20,2,4,293,0.0000788475
3,1,0,0,0.0
22,1,0,0,0.0
11,1,2,43,0.0
4,1,3,107,0.0
23,1,0,0,0.0
23,4,2,202,0.0001568226
25,5,2,228,0.0002302549
24,1,0,0,0.0
21,6,2,169,0.0001536453
6,1,1,1,0.0
25,1,0,0,0.0
14,0,4,220,0.0001618971
28,13,3,174,0.000365213
26,1,0,0,0.0
20,3,2,220,0.0002279225
16,3,1,152,0.0002542551
27,1,0,0,0.0
15,0,1,214,0.0002344454
9,1,0,0,0.0
28,1,0,0,0.0
25,3,1,160,0.0001573845
23,6,4,257,0.0001297735
29,1,0,0,0.0
25,6,2,195,0.0001485432
11,1,1,32,0.0
30,1,0,0,0.0
19,1,0,0,0.0
31,1,0,0,0.0
17,3,3,200,0.000120909
20,1,0,0,0.0
32,1,0,0,0.0
13,3,2,199,0.0002237887
21,1,1,20,0.0
33,1,0,0,0.0
28,13,2,178,0.0001281749
34,1,0,0,0.0
22,1,0,0,0.0
26,5,2,132,0.0002401477
35,1,0,0,0.0
23,1,0,0,0.0
14,1,3,233,0.0002550026
0,2,0,0,0.0
19,4,3,155,0.0005907889
24,1,0,0,0.0
1,2,0,0,0.0
26,9,1,190,0.0003493913
25,1,0,0,0.0
2,2,0,0,0.0
19,1,2,40,0.0
26,1,0,0,0.0
3,2,0,0,0.0
20,1,1,23,0.0
27,1,0,0,0.0
21,1,5,108,0.0
4,2,1,29,0.0
28,1,0,0,0.0
26,10,1,306,0.0000864579
22,1,0,0,0.0
29,1,0,0,0.0
27,10,4,162,0.0000872237
23,1,0,0,0.0
30,1,0,0,0.0
7,2,3,109,0.0
24,1,0,0,0.0
31,1,0,0,0.0
8,3,1,196,0.0001792709
25,1,0,0,0.0
32,1,0,0,0.0
29,9,1,148,0.0002816967
26,1,0,0,0.0
33,1,0,0,0.0
10,2,1,46,0.0
27,1,0,0,0.0
34,1,0,0,0.0
28,7,3,227,0.0000990591
28,1,0,0,0.0
35,1,0,0,0.0
29,11,2,153,0.0001008347
0,2,0,0,0.0
29,1,0,0,0.0
26,8,1,185,0.0003808396
30,1,0,0,0.0
1,2,0,0,0.0
8,0,4,258,0.0003467505
2,2,0,0,0.0
31,1,0,0,0.0
25,9,3,223,0.0001825998
32,1,0,0,0.0
19,3,4,215,0.0000836153
3,2,0,0,0.0
8,4,1,180,0.000181203
4,2,1,45,0.0
33,1,0,0,0.0
22,2,1,168,0.0000894764
34,1,0,0,0.0
30,10,3,220,0.0001482995
16,2,2,165,0.0000950323
23,7,3,233,0.0000811014
35,1,0,0,0.0
30,7,3,238,0.0001891288
0,2,0,0,0.0
7,2,4,151,0.0
21,5,1,168,0.0000953907
1,2,0,0,0.0
25,4,1,188,0.0001581664
22,2,1,13,0.0
2,2,0,0,0.0
27,9,3,215,0.0001442702
23,2,0,0,0.0
3,2,0,0,0.0
9,2,2,196,0.0001538305
24,2,0,0,0.0
4,2,2,62,0.0
25,5,2,188,0.0002095109
25,2,0,0,0.0
5,1,1,161,0.0001228919
29,9,4,168,0.0001499022
26,2,0,0,0.0
7,3,1,138,0.0001069401
23,2,4,208,0.0001539339
27,2,0,0,0.0
7,2,1,2,0.0
28,2,0,0,0.0
14,3,1,168,0.0000864549
27,5,2,171,0.0002387548
29,2,0,0,0.0
26,4,2,192,0.0000756983
23,7,1,157,0.000481074
30,2,0,0,0.0
31,10,3,256,0.0000760253
6,3,2,172,0.0001132138
31,2,0,0,0.0
23,6,3,282,0.0000770697
18,1,3,246,0.0001284766
32,2,0,0,0.0
21,5,2,209,0.0003575711
22,5,2,248,0.0000721624
33,2,0,0,0.0
20,1,3,222,0.0001239811
17,1,2,236,0.0001661036
19,1,3,211,0.00047855
28,12,3,142,0.0002311932
34,2,0,0,0.0
35,2,0,0,0.0
27,12,2,182,0.000463824
25,5,1,211,0.0001516507
0,3,0,0,0.0
26,7,1,231,0.0004692471
30,12,1,99,0.000489304
1,3,0,0,0.0
23,2,4,86,0.0
12,3,2,201,0.0004754315
2,3,0,0,0.0
24,2,0,0,0.0
18,2,1,6,0.0
3,3,0,0,0.0
25,2,0,0,0.0
21,1,4,181,0.0003583599
4,3,1,2,0.0
26,2,0,0,0.0
21,5,3,201,0.0002222155
10,1,3,253,0.0000963366
27,2,0,0,0.0
25,6,1,186,0.0002612085
33,12,1,176,0.0000970791
28,2,0,0,0.0
19,2,2,114,0.0004662692
19,4,2,188,0.0001752494
29,2,0,0,0.0
23,2,0,0,0.0
28,5,1,226,0.0001755129
30,2,0,0,0.0
24,2,0,0,0.0
12,0,4,223,0.0000879511
31,2,0,0,0.0
25,2,0,0,0.0
10,3,1,7,0.0
32,2,0,0,0.0
26,2,0,0,0.0
15,2,4,170,0.0001007107
33,2,0,0,0.0
27,2,0,0,0.0
21,3,1,157,0.0001792651
34,2,0,0,0.0
28,2,0,0,0.0
30,7,3,227,0.0002708474
35,2,0,0,0.0
29,2,0,0,0.0
11,0,2,144,0.0002720074
0,3,0,0,0.0
30,2,0,0,0.0
15,3,2,61,0.0
1,3,0,0,0.0
31,2,0,0,0.0
16,3,1,4,0.0
2,3,0,0,0.0
32,2,0,0,0.0
30,11,1,154,0.000090215
3,3,0,0,0.0
33,2,0,0,0.0
23,3,2,183,0.0001861263
4,3,1,3,0.0
34,2,0,0,0.0
18,1,1,123,0.0003028045
30,9,2,175,0.0001984079
35,2,0,0,0.0
21,4,6,240,0.0000758654
20,3,1,6,0.0
0,3,0,0,0.0
