grid_x,grid_y,nb_trp_inside,s_nb_trp_inside
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,1,1
5,0,1,2
6,0,1,2
7,0,1,2
8,0,2,4
9,0,2,8
4,31,5,468
7,27,2,455
2,32,3,659
13,0,1,3
14,0,1,2
15,0,1,1
16,0,0,0
17,0,1,1
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
0,1,0,0
1,1,0,0
2,1,0,0
3,1,0,0
4,1,1,1
10,29,5,695
6,28,1,402
8,31,2,592
5,26,1,403
5,28,2,252
11,28,4,612
8,30,4,794
8,30,5,772
5,32,3,695
4,29,2,527
9,28,3,690
2,31,2,486
6,27,4,592
6,31,4,510
19,1,1,8
20,1,1,4
21,1,0,0
22,1,0,0
23,1,0,0
24,1,0,0
25,1,0,0
26,1,0,0
27,1,0,0
28,1,0,0
29,1,0,0
30,1,0,0
31,1,0,0
32,1,0,0
33,1,0,0
34,1,0,0
35,1,0,0
0,2,0,0
1,2,0,0
2,2,0,0
3,2,0,0
4,2,2,3
9,28,1,425
8,34,2,484
4,31,3,512
6,32,2,244
5,29,4,446
7,30,2,254
3,28,2,261
7,28,5,618
9,30,2,636
14,2,1,25
7,34,5,642
5,34,1,307
6,27,3,389
11,30,2,707
6,34,2,362
6,33,3,459
11,29,1,350
7,31,4,566
23,2,0,0
24,2,0,0
25,2,0,0
26,2,0,0
27,2,0,0
28,2,0,0
29,2,0,0
30,2,0,0
31,2,0,0
32,2,0,0
33,2,0,0
34,2,0,0
35,2,0,0
0,3,0,0
1,3,0,0
2,3,0,0
3,3,0,0
4,3,1,1
5,27,3,457
4,30,4,440
7,3,1,13
7,33,2,363
9,3,3,11
7,28,3,583
11,3,1,26
12,3,1,24
13,3,1,21
12,28,4,710
15,3,2,38
16,3,1,29
6,28,2,501
4,34,3,327
8,30,2,524
10,29,3,614
21,3,1,18
22,3,1,10
7,32,3,609
24,3,1,1
25,3,1,2
26,3,0,0
27,3,0,0
28,3,0,0
29,3,0,0
30,3,0,0
31,3,0,0
32,3,0,0
33,3,0,0
34,3,0,0
35,3,0,0
0,4,0,0
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0
5,4,0,0
6,4,1,5
7,4,1,15
8,4,1,5
9,4,1,15
10,4,1,16
11,4,1,15
12,4,1,29
13,4,1,41
14,4,1,37
15,4,1,20
16,4,1,38
17,4,1,37
18,4,1,29
4,29,3,458
9,32,2,563
21,4,1,28
22,4,1,24
8,29,2,352
4,31,4,402
2,29,3,586
26,4,1,4
27,4,1,1
28,4,0,0
29,4,0,0
30,4,0,0
31,4,0,0
32,4,0,0
33,4,0,0
34,4,0,0
35,4,0,0
0,5,0,0
1,5,0,0
2,5,0,0
3,5,0,0
4,5,0,0
5,5,0,0
6,5,1,3
7,5,1,4
8,5,1,3
9,5,1,6
10,5,1,11
11,5,1,8
12,5,1,11
13,5,1,21
14,5,1,29
15,5,1,43
16,5,1,46
17,5,1,37
18,5,1,63
19,5,1,50
4,33,3,340
3,31,3,631
5,28,5,810
9,29,2,443
24,5,1,24
25,5,1,14
12,28,4,674
12,29,4,627
28,5,1,2
29,5,0,0
30,5,0,0
31,5,0,0
32,5,0,0
33,5,0,0
34,5,0,0
35,5,0,0
0,6,0,0
1,6,0,0
2,6,0,0
3,6,0,0
4,6,0,0
5,6,0,0
6,6,1,2
7,6,1,4
8,6,0,0
9,6,1,2
10,6,1,1
11,6,1,2
12,6,1,6
13,6,1,8
14,6,1,8
15,6,1,16
