grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_aller
0,0,0,0,0.0
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,0,0,0.0
5,0,1,3,0.0
6,0,1,1,0.0
7,0,1,3,0.0
8,0,1,1,0.0
9,0,1,3,0.0
4,34,3,390,0.0021852527
5,28,4,333,0.0004083721
5,27,1,326,0.000431639
13,0,1,16,0.0
14,0,1,5,0.0
15,0,1,4,0.0
16,0,1,1,0.0
17,0,1,1,0.0
18,0,0,0,0.0
19,0,0,0,0.0
20,0,0,0,0.0
21,0,0,0,0.0
22,0,0,0,0.0
23,0,0,0,0.0
24,0,0,0,0.0
25,0,0,0,0.0
26,0,0,0,0.0
27,0,0,0,0.0
28,0,0,0,0.0
29,0,0,0,0.0
30,0,0,0,0.0
31,0,0,0,0.0
32,0,0,0,0.0
33,0,0,0,0.0
34,0,0,0,0.0
35,0,0,0,0.0
0,1,0,0,0.0
1,1,0,0,0.0
2,1,0,0,0.0
3,1,0,0,0.0
4,1,0,0,0.0
4,29,3,278,0.0008495782
5,34,3,529,0.0008564186
7,1,2,17,0.0
7,34,1,474,0.000846158
7,28,2,652,0.0004295774
10,28,4,796,0.0013639767
7,33,5,781,0.0013632926
6,33,2,336,0.0005020857
11,30,4,574,0.0004762252
6,34,1,461,0.0004434482
11,30,4,735,0.0013793676
8,28,4,490,0.0004661261
6,31,2,790,0.0004565685
11,29,2,569,0.0004535188
19,1,1,3,0.0
20,1,1,3,0.0
21,1,1,4,0.0
22,1,0,0,0.0
23,1,0,0,0.0
24,1,0,0,0.0
25,1,0,0,0.0
26,1,0,0,0.0
27,1,0,0,0.0
28,1,0,0,0.0
29,1,0,0,0.0
30,1,0,0,0.0
31,1,0,0,0.0
32,1,0,0,0.0
33,1,0,0,0.0
34,1,0,0,0.0
35,1,0,0,0.0
0,2,0,0,0.0
1,2,0,0,0.0
2,2,0,0,0.0
3,2,0,0,0.0
4,2,1,2,0.0
4,29,3,264,0.0004576231
7,33,6,684,0.0004583071
1,32,2,606,0.0009494481
6,29,2,752,0.0004849847
1,31,1,634,0.000410125
4,28,1,382,0.0008714675
11,2,1,30,0.0
7,34,2,549,0.0013776575
2,34,3,229,0.000506874
14,2,1,26,0.0
7,29,2,588,0.0008995132
7,33,6,777,0.0004107283
10,31,4,571,0.0009207184
6,30,4,327,0.0004311735
9,34,1,521,0.0009275588
8,29,2,467,0.0008746977
6,27,2,573,0.0018713922
4,34,2,711,0.0017272021
23,2,1,6,0.0
24,2,1,1,0.0
25,2,0,0,0.0
26,2,0,0,0.0
27,2,0,0,0.0
28,2,0,0,0.0
29,2,0,0,0.0
30,2,0,0,0.0
31,2,0,0,0.0
32,2,0,0,0.0
33,2,0,0,0.0
34,2,0,0,0.0
35,2,0,0,0.0
0,3,0,0,0.0
1,3,0,0,0.0
2,3,0,0,0.0
3,3,0,0,0.0
4,3,1,2,0.0
6,29,2,221,0.0004323136
10,28,2,379,0.000930295
3,35,3,488,0.0004617273
12,29,1,354,0.0009029334
6,29,3,931,0.0009109566
6,30,4,725,0.0013119896
8,32,1,678,0.0004097402
2,31,2,422,0.0004395102
9,32,3,472,0.0004466784
5,32,5,839,0.0008385576
15,3,1,42,0.0
16,3,1,36,0.0
6,27,2,521,0.0008925018
8,33,6,427,0.0009008813
4,31,1,475,0.0004576231
7,32,1,434,0.0013836856
7,33,5,498,0.0009233026
7,31,1,720,0.0004833553
6,30,6,691,0.001352348
24,3,2,11,0.0
25,3,1,4,0.0
26,3,0,0,0.0
27,3,0,0,0.0
28,3,0,0,0.0
29,3,0,0,0.0
30,3,0,0,0.0
31,3,0,0,0.0
32,3,0,0,0.0
33,3,0,0,0.0
34,3,0,0,0.0
35,3,0,0,0.0
0,4,0,0,0.0
1,4,0,0,0.0
2,4,0,0,0.0
3,4,0,0,0.0
4,4,0,0,0.0
5,4,1,2,0.0
6,4,1,2,0.0
7,4,1,2,0.0
8,4,1,7,0.0
9,4,1,8,0.0
10,4,1,4,0.0
11,4,1,7,0.0
12,4,1,24,0.0
13,4,1,34,0.0
14,4,1,35,0.0
15,4,1,48,0.0
16,4,1,47,0.0
17,4,1,44,0.0
18,4,1,57,0.0
5,33,1,390,0.0013496118
8,30,2,474,0.0008926728
21,4,1,17,0.0
4,35,2,413,0.0004658315
23,4,1,11,0.0
24,4,1,17,0.0
3,33,2,341,0.0004275823
26,4,0,0,0.0
27,4,0,0,0.0
28,4,0,0,0.0
29,4,0,0,0.0
30,4,0,0,0.0
31,4,0,0,0.0
32,4,0,0,0.0
33,4,0,0,0.0
34,4,0,0,0.0
35,4,0,0,0.0
0,5,0,0,0.0
1,5,0,0,0.0
2,5,0,0,0.0
3,5,0,0,0.0
4,5,0,0,0.0
5,5,0,0,0.0
6,5,0,0,0.0
7,5,0,0,0.0
8,5,1,1,0.0
9,5,1,6,0.0
10,5,1,7,0.0
11,5,1,9,0.0
12,5,1,10,0.0
13,5,1,15,0.0
14,5,1,18,0.0
15,5,1,26,0.0
16,5,1,33,0.0
17,5,1,41,0.0
18,5,1,48,0.0
19,5,1,62,0.0
20,5,1,51,0.0
3,34,3,609,0.0009610768
2,35,4,362,0.0004583071
23,5,1,12,0.0
5,31,2,391,0.0009399381
1,35,3,242,0.0004587536
26,5,1,4,0.0
9,31,1,316,0.0004327933
28,5,1,1,0.0
29,5,0,0,0.0
30,5,0,0,0.0
31,5,0,0,0.0
32,5,0,0,0.0
33,5,0,0,0.0
34,5,0,0,0.0
35,5,0,0,0.0
0,6,0,0,0.0
1,6,0,0,0.0
2,6,0,0,0.0
3,6,0,0,0.0
4,6,0,0,0.0
5,6,0,0,0.0
6,6,0,0,0.0
7,6,0,0,0.0
8,6,0,0,0.0
9,6,0,0,0.0
10,6,0,0,0.0
11,6,1,1,0.0
12,6,1,3,0.0
13,6,1,15,0.0
14,6,1,14,0.0
15,6,1,11,0.0
16,6,1,22,0.0
17,6,1,30,0.0
18,6,1,37,0.0
19,6,1,41,0.0
20,6,1,57,0.0
2,31,3,442,0.0004252499
2,32,3,465,0.0004521507
2,33,3,362,0.0004624113
24,6,2,25,0.0
6,28,3,305,0.0004808804
5,35,3,456,0.0004204854
27,6,2,9,0.0
1,32,1,280,0.0004357338
29,6,1,4,0.0
30,6,0,0,0.0
31,6,0,0,0.0
32,6,0,0,0.0
33,6,0,0,0.0
34,6,0,0,0.0
35,6,0,0,0.0
0,7,0,0,0.0
1,7,0,0,0.0
2,7,0,0,0.0
3,7,0,0,0.0
4,7,0,0,0.0
5,7,0,0,0.0
6,7,0,0,0.0
7,7,0,0,0.0
8,7,0,0,0.0
9,7,0,0,0.0
10,7,0,0,0.0
11,7,0,0,0.0
12,7,1,2,0.0
13,7,1,2,0.0
14,7,1,16,0.0
15,7,1,12,0.0
16,7,1,4,0.0
17,7,1,18,0.0
18,7,1,31,0.0
19,7,1,33,0.0
20,7,1,43,0.0
21,7,1,51,0.0
22,7,1,54,0.0
8,26,2,429,0.00047404
2,35,4,420,0.0004302614
7,27,2,505,0.0004357338
2,35,4,425,0.0004566065
7,33,3,591,0.0008463623
10,32,2,443,0.0004954353
10,31,4,428,0.0009358338
4,35,3,383,0.0009431778
31,7,0,0,0.0
32,7,0,0,0.0
33,7,0,0,0.0
34,7,0,0,0.0
35,7,0,0,0.0
0,8,0,0,0.0
1,8,0,0,0.0
2,8,0,0,0.0
3,8,0,0,0.0
4,8,0,0,0.0
5,8,0,0,0.0
6,8,0,0,0.0
7,8,0,0,0.0
8,8,0,0,0.0
9,8,0,0,0.0
10,8,0,0,0.0
11,8,0,0,0.0
12,8,1,2,0.0
13,8,1,4,0.0
14,8,1,4,0.0
15,8,1,10,0.0
16,8,1,11,0.0
17,8,1,9,0.0
18,8,1,17,0.0
19,8,1,35,0.0
20,8,1,44,0.0
21,8,1,56,0.0
22,8,1,37,0.0
23,8,1,63,0.0
0,31,2,344,0.0008550506
1,33,3,497,0.0004873788
26,8,2,16,0.0
7,28,2,300,0.0004371018
6,28,2,508,0.0004282093
9,31,3,525,0.0003909576
2,35,4,494,0.000490457
31,8,1,1,0.0
32,8,0,0,0.0
33,8,0,0,0.0
34,8,0,0,0.0
35,8,0,0,0.0
0,9,0,0,0.0
1,9,0,0,0.0
2,9,0,0,0.0
3,9,0,0,0.0
4,9,0,0,0.0
5,9,0,0,0.0
6,9,0,0,0.0
7,9,0,0,0.0
8,9,0,0,0.0
9,9,0,0,0.0
10,9,0,0,0.0
11,9,1,1,0.0
12,9,1,2,0.0
13,9,1,4,0.0
14,9,1,3,0.0
15,9,1,3,0.0
16,9,1,2,0.0
17,9,1,11,0.0
18,9,2,13,0.0
19,9,1,19,0.0
20,9,1,39,0.0
21,9,1,63,0.0
22,9,1,41,0.0
23,9,1,38,0.0
24,9,1,64,0.0
25,9,1,56,0.0
11,31,4,397,0.0004620978
8,28,2,467,0.0009485693
28,9,3,31,0.0
4,28,2,492,0.0004283566
6,28,3,511,0.000422053
31,9,2,2,0.0
32,9,0,0,0.0
33,9,0,0,0.0
34,9,0,0,0.0
