grid_x,grid_y,nb_trp_inside,s_nb_trp_inside
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,2,28
6,0,1,44
7,0,1,29
8,0,1,10
9,0,1,8
5,1,1,408
23,6,4,872
11,2,1,570
13,0,1,10
14,0,1,77
15,0,2,131
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
0,1,0,0
1,1,0,0
2,1,0,0
3,1,0,0
4,1,2,175
27,5,1,318
13,2,4,461
7,1,2,167
6,1,4,531
6,2,4,611
18,2,1,659
11,1,1,128
13,3,1,694
24,2,2,845
25,9,1,646
21,3,2,847
6,0,1,456
24,4,1,732
18,1,1,11
19,1,1,7
20,1,3,145
21,1,2,141
22,1,0,0
23,1,0,0
24,1,0,0
25,1,0,0
26,1,0,0
27,1,0,0
28,1,0,0
29,1,0,0
30,1,0,0
31,1,0,0
32,1,0,0
33,1,0,0
34,1,0,0
35,1,0,0
0,2,0,0
1,2,0,0
2,2,0,0
3,2,0,0
4,2,1,6
5,2,1,10
20,1,3,395
7,2,1,73
20,2,1,389
9,2,1,67
27,4,3,494
21,3,3,389
6,1,2,464
28,6,3,796
8,3,1,461
5,0,2,672
18,4,1,333
29,7,3,462
26,7,2,586
9,1,1,672
15,0,3,665
26,6,2,358
23,6,4,787
23,2,1,14
24,2,2,59
25,2,0,0
26,2,0,0
27,2,0,0
28,2,0,0
29,2,0,0
30,2,0,0
31,2,0,0
32,2,0,0
33,2,0,0
34,2,0,0
35,2,0,0
0,3,0,0
1,3,0,0
2,3,0,0
3,3,1,4
4,3,2,178
20,1,3,282
27,10,2,415
7,3,2,367
11,0,1,210
9,3,1,163
10,3,2,226
6,3,4,311
4,1,2,714
29,8,2,694
21,1,3,266
15,3,1,74
16,3,1,112
23,2,1,643
22,2,3,416
25,4,1,394
20,3,1,22
13,2,3,673
15,1,4,814
10,0,1,386
24,3,1,2
25,3,1,33
26,3,0,0
27,3,0,0
28,3,0,0
29,3,0,0
30,3,0,0
31,3,0,0
32,3,0,0
33,3,0,0
34,3,0,0
35,3,0,0
0,4,0,0
1,4,0,0
2,4,0,0
3,4,1,4
4,4,1,32
5,4,1,111
6,4,1,226
7,4,1,158
8,4,1,125
9,4,3,408
10,4,1,209
11,4,1,144
12,4,1,119
13,4,1,52
14,4,1,52
15,4,1,50
16,4,1,47
17,4,1,46
18,4,1,170
11,4,1,720
23,6,3,755
21,3,1,653
22,4,1,21
23,4,1,13
29,12,1,427
9,4,3,468
26,4,1,48
27,4,2,73
28,4,0,0
29,4,0,0
30,4,0,0
31,4,0,0
32,4,0,0
33,4,0,0
34,4,0,0
35,4,0,0
0,5,0,0
1,5,0,0
2,5,0,0
3,5,1,5
4,5,1,35
5,5,1,87
6,5,1,165
7,5,1,111
8,5,1,64
9,5,1,56
10,5,1,30
11,5,2,18
12,5,1,23
13,5,1,20
14,5,1,21
15,5,1,19
16,5,1,26
17,5,1,30
18,5,1,25
19,5,1,24
27,9,1,478
13,1,3,655
8,2,1,351
6,1,3,474
25,5,3,671
14,1,3,819
6,3,4,558
22,2,1,680
28,5,2,83
29,5,0,0
30,5,0,0
31,5,0,0
32,5,0,0
33,5,0,0
34,5,0,0
35,5,0,0
0,6,0,0
1,6,0,0
2,6,0,0
3,6,1,4
4,6,1,46
5,6,3,82
6,6,3,202
7,6,2,118
8,6,2,82
9,6,1,62
10,6,1,36
11,6,1,37
12,6,1,37
13,6,1,34
14,6,1,32
15,6,1,38
