grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_aller
0,0,0,0,0.0
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,0,0,0.0
5,0,0,0,0.0
6,0,1,2,0.0
7,0,1,2,0.0
8,0,0,0,0.0
9,0,1,3,0.0
10,0,2,2,0.0
29,11,1,12,0.9575588156
30,10,1,9,0.4507446238
13,0,2,4,0.0
14,0,0,0,0.0
15,0,0,0,0.0
16,0,0,0,0.0
17,0,0,0,0.0
18,0,0,0,0.0
19,0,0,0,0.0
20,0,0,0,0.0
21,0,0,0,0.0
22,0,0,0,0.0
23,0,0,0,0.0
24,0,0,0,0.0
25,0,0,0,0.0
26,0,0,0,0.0
27,0,0,0,0.0
28,0,0,0,0.0
29,0,0,0,0.0
30,0,0,0,0.0
31,0,0,0,0.0
32,0,0,0,0.0
33,0,0,0,0.0
34,0,0,0,0.0
35,0,0,0,0.0
0,1,0,0,0.0
1,1,0,0,0.0
2,1,0,0,0.0
3,1,0,0,0.0
4,1,2,4,0.0
12,2,1,10,0.9310693636
21,7,1,42,0.4563789316
7,1,1,6,0.0
21,3,3,4,2.9065985353
9,1,1,8,0.0
21,4,1,20,1.4297056038
29,9,1,9,0.4202072226
14,1,1,5,0.9247307674
20,1,2,5,0.4887762015
6,3,1,5,0.5120177212
12,0,3,6,0.8859949013
16,1,2,7,0.0
7,3,1,7,1.4075034224
10,0,1,3,0.9507894409
19,1,1,8,0.0
20,1,2,5,0.0
21,1,2,2,0.0
22,1,0,0,0.0
23,1,0,0,0.0
24,1,0,0,0.0
25,1,0,0,0.0
26,1,0,0,0.0
27,1,0,0,0.0
28,1,0,0,0.0
29,1,0,0,0.0
30,1,0,0,0.0
31,1,0,0,0.0
32,1,0,0,0.0
33,1,0,0,0.0
34,1,0,0,0.0
35,1,0,0,0.0
0,2,0,0,0.0
1,2,0,0,0.0
2,2,0,0,0.0
3,2,0,0,0.0
4,2,1,8,0.0
11,3,2,33,1.7487824716
6,2,2,4,0.0
13,0,1,2,1.4142112573
8,2,1,2,0.0
22,4,2,13,1.413862532
29,8,1,13,0.9993853457
26,9,1,15,0.4486317584
28,9,1,20,1.4233670075
20,4,1,6,0.4627175279
30,12,1,12,0.0042462441
30,9,1,8,0.502861971
19,1,1,6,1.4423827963
24,7,1,14,0.4367750961
18,2,1,15,0.0
24,4,4,16,0.9620580565
10,2,1,8,0.4965233747
9,3,2,8,1.4430870848
29,7,1,5,0.5000448171
23,2,1,1,0.0
24,2,0,0,0.0
25,2,0,0,0.0
26,2,0,0,0.0
27,2,0,0,0.0
28,2,0,0,0.0
29,2,0,0,0.0
30,2,0,0,0.0
31,2,0,0,0.0
32,2,0,0,0.0
33,2,0,0,0.0
34,2,0,0,0.0
35,2,0,0,0.0
0,3,0,0,0.0
1,3,0,0,0.0
2,3,0,0,0.0
3,3,0,0,0.0
4,3,1,6,0.0
21,3,2,10,0.4789161628
25,6,1,7,1.3592972695
25,3,2,7,0.8740219972
7,2,1,5,0.4725433778
12,0,2,5,1.714942436
29,12,1,20,0.9134621518
11,3,2,23,0.0
8,1,1,4,0.9416336908
10,4,3,11,0.9726223836
14,3,1,10,0.0
15,3,1,10,0.0
16,3,1,5,0.0
22,6,2,18,0.4887762015
15,3,1,13,1.8710756694
18,3,1,6,0.4676475472
20,3,1,5,0.0
29,9,1,14,1.3980126224
24,8,1,16,1.5321077804
13,3,1,17,0.4831418937
24,3,1,7,0.0
25,3,4,4,0.0
26,3,0,0,0.0
27,3,0,0,0.0
28,3,0,0,0.0
29,3,0,0,0.0
30,3,0,0,0.0
31,3,0,0,0.0
32,3,0,0,0.0
33,3,0,0,0.0
34,3,0,0,0.0
35,3,0,0,0.0
0,4,0,0,0.0
1,4,0,0,0.0
2,4,0,0,0.0
3,4,0,0,0.0
4,4,2,11,0.0
5,4,1,10,0.0
6,4,1,4,0.0
7,4,1,7,0.0
8,4,1,12,0.0
9,4,1,6,0.0
10,4,2,14,0.0
11,4,1,16,0.0
12,4,1,69,0.0
13,4,1,15,0.0
14,4,1,9,0.0
15,4,2,9,0.0
16,4,1,6,0.0
17,4,2,22,0.0
18,4,1,10,0.0
23,7,1,14,1.4451999502
27,11,1,11,0.0042188931
7,1,1,7,0.9233221904
19,3,1,10,2.2741269718
16,1,1,3,0.5114296745
32,10,1,2,0.4687005611
26,4,1,4,0.4606046625
26,4,1,4,0.0
27,4,0,0,0.0
28,4,0,0,0.0
29,4,0,0,0.0
30,4,0,0,0.0
31,4,0,0,0.0
32,4,0,0,0.0
33,4,0,0,0.0
34,4,0,0,0.0
35,4,0,0,0.0
0,5,0,0,0.0
1,5,0,0,0.0
2,5,0,0,0.0
3,5,0,0,0.0
4,5,2,8,0.0
5,5,1,6,0.0
6,5,1,5,0.0
7,5,1,7,0.0
8,5,1,11,0.0
9,5,1,6,0.0
10,5,1,11,0.0
11,5,1,26,0.0
12,5,1,27,0.0
13,5,1,15,0.0
14,5,1,14,0.0
15,5,1,10,0.0
16,5,1,19,0.0
17,5,1,14,0.0
18,5,1,15,0.0
19,5,1,10,0.0
10,1,1,5,0.9374079599
18,5,1,17,1.3839268529
15,2,1,12,0.9268436328
28,10,1,8,0.4658834072
11,3,1,17,0.962762345
27,5,1,5,0.9557194603
26,5,1,4,0.0
24,3,1,9,0.9352950945
28,5,1,1,0.0
29,5,0,0,0.0
30,5,0,0,0.0
31,5,0,0,0.0
32,5,0,0,0.0
33,5,0,0,0.0
34,5,0,0,0.0
35,5,0,0,0.0
0,6,0,0,0.0
1,6,0,0,0.0
2,6,0,0,0.0
3,6,0,0,0.0
4,6,2,15,0.0
5,6,1,5,0.0
6,6,1,3,0.0
7,6,1,13,0.0
8,6,1,9,0.0
9,6,2,7,0.0
10,6,1,14,0.0
11,6,1,38,0.0
12,6,1,16,0.0
13,6,1,15,0.0
14,6,1,8,0.0
15,6,1,9,0.0
16,6,2,23,0.0
17,6,1,11,0.0
18,6,1,17,0.0
19,6,1,8,0.0
20,6,2,24,0.0
28,8,1,21,0.9500851525
29,12,1,20,0.4359545659
24,5,1,8,0.4915933554
26,8,1,8,1.3691367949
19,4,1,13,0.502144007
9,3,1,6,1.4156198343
24,7,1,12,1.382518276
18,1,2,5,0.4725775666
29,6,1,1,0.0
30,6,2,2,0.0
31,6,0,0,0.0
32,6,0,0,0.0
33,6,0,0,0.0
34,6,0,0,0.0
35,6,0,0,0.0
0,7,0,0,0.0
1,7,0,0,0.0
2,7,0,0,0.0
3,7,0,0,0.0
4,7,2,11,0.0
5,7,1,3,0.0
6,7,1,3,0.0
7,7,1,13,0.0
8,7,1,12,0.0
9,7,1,7,0.0
10,7,1,14,0.0
11,7,1,41,0.0
12,7,1,21,0.0
13,7,1,13,0.0
14,7,1,11,0.0
15,7,1,7,0.0
16,7,2,26,0.0
17,7,1,16,0.0
18,7,1,7,0.0
19,7,2,14,0.0
20,7,1,67,0.0
21,7,1,47,0.0
22,7,1,14,0.0
26,9,1,9,1.4304098922
24,7,1,12,0.0
12,3,1,27,1.4191412766
15,3,1,16,0.4507446238
19,1,1,8,0.9113492863
4,3,1,12,0.4204602194
31,12,1,2,0.4838461822
13,0,1,3,1.3881525838
31,7,1,1,0.0
32,7,0,0,0.0
33,7,0,0,0.0
34,7,0,0,0.0
35,7,0,0,0.0
0,8,0,0,0.0
1,8,0,0,0.0
2,8,0,0,0.0
3,8,0,0,0.0
4,8,1,10,0.0
5,8,1,6,0.0
6,8,1,5,0.0
7,8,1,9,0.0
8,8,1,17,0.0
9,8,1,8,0.0
10,8,1,22,0.0
11,8,1,32,0.0
12,8,1,24,0.0
13,8,1,8,0.0
14,8,1,14,0.0
15,8,1,17,0.0
16,8,1,16,0.0
17,8,1,18,0.0
18,8,1,9,0.0
19,8,1,17,0.0
20,8,1,57,0.0
21,8,1,23,0.0
22,8,1,16,0.0
23,8,1,21,0.0
24,5,1,5,0.4591960855
12,0,3,6,0.9296607867
4,1,1,3,1.395899757
20,2,2,6,0.0044513767
29,9,1,17,0.9423379792
24,7,1,14,0.9183921711
30,8,1,3,0.0
31,8,1,3,0.0
32,8,0,0,0.0
33,8,0,0,0.0
34,8,0,0,0.0
35,8,0,0,0.0
0,9,0,0,0.0
1,9,0,0,0.0
2,9,0,0,0.0
3,9,1,1,0.0
4,9,1,9,0.0
5,9,1,3,0.0
6,9,1,8,0.0
7,9,1,6,0.0
8,9,1,19,0.0
9,9,1,12,0.0
10,9,1,31,0.0
11,9,1,26,0.0
12,9,2,22,0.0
13,9,3,13,0.0
14,9,1,10,0.0
15,9,1,18,0.0
16,9,2,22,0.0
17,9,1,14,0.0
18,9,1,14,0.0
19,9,1,48,0.0
20,9,1,40,0.0
21,9,1,14,0.0
22,9,1,20,0.0
23,9,1,13,0.0
24,9,2,5,0.0
25,9,1,6,0.0
21,3,1,8,1.450834258
9,0,2,2,2.2079443684
30,10,1,9,0.4794973718
29,9,1,7,0.0
5,2,1,7,0.9416336908
31,9,1,1,0.0
32,9,1,1,0.0
33,9,0,0,0.0
34,9,0,0,0.0
